,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FS_ba,FC_ba,ST_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
0,2023-06-13,717774,Groundout,field_out,True,650490,660261,Yandy Díaz,Shintaro Fujinami,0,0,0,f1ac1eaf-6537-435b-8391-b9557f5aa98d,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,-279.0,111.0,65.0,107.0,90.0,91.0,118.0,92.0,105.0,94.0,92.0,93.0,138.0,95.0,100.0,0.5660000000000001,0.162,0.19899999999999998,0.073,0.001,0.08,1.27,-1.4,-1.47,-81.55,98.4,88.3,92.8,84.4,75.7,0.243,0.243,0.171,0.235,0.75,,,,,,,,,,,,,,,
1,2023-06-13,717774,Strikeout,strikeout,True,677551,660261,Wander Franco,Shintaro Fujinami,0,0,0,405097c0-a167-4317-97b7-54c5f0a72d95,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,-279.0,111.0,65.0,107.0,90.0,91.0,118.0,92.0,105.0,94.0,92.0,93.0,138.0,95.0,100.0,0.5660000000000001,0.162,0.19899999999999998,0.073,0.001,0.08,1.27,-1.4,-1.47,-81.55,98.4,88.3,92.8,84.4,75.7,0.243,0.243,0.171,0.235,0.75,,,,,,,,,,,,,,,
2,2023-06-13,717774,Single,single,False,623912,660261,Harold Ramírez,Shintaro Fujinami,1,1,0,0f3a22f8-eb9d-4c02-9feb-3626a02a6f76,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,-279.0,111.0,65.0,107.0,90.0,91.0,118.0,92.0,105.0,94.0,92.0,93.0,138.0,95.0,100.0,0.5660000000000001,0.162,0.19899999999999998,0.073,0.001,0.08,1.27,-1.4,-1.47,-81.55,98.4,88.3,92.8,84.4,75.7,0.243,0.243,0.171,0.235,0.75,,,,,,,,,,,,,,,
3,2023-06-13,717774,Flyout,field_out,True,668227,660261,Randy Arozarena,Shintaro Fujinami,1,0,0,5fc8a49f-d7bf-4cc3-b7f1-ac78a73d9e49,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,-279.0,111.0,65.0,107.0,90.0,91.0,118.0,92.0,105.0,94.0,92.0,93.0,138.0,95.0,100.0,0.5660000000000001,0.162,0.19899999999999998,0.073,0.001,0.08,1.27,-1.4,-1.47,-81.55,98.4,88.3,92.8,84.4,75.7,0.243,0.243,0.171,0.235,0.75,,,,,,,,,,,,,,,
4,2023-06-13,717774,Pop Out,field_out,True,665923,656222,Esteury Ruiz,Jalen Beeks,0,0,0,37297f7f-a3e5-43b8-b4e3-034d0270f94d,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,5.95,3.61,42.1,95.0,89.0,90.0,0.7290000000000001,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.43799999999999994,,,,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,,,,0.435,0.107,,0.015,,-0.49,2.73,,-16.85,,94.3,85.7,,81.8,,0.243,,0.125,,1.0,89.6,112.0,95.0,96.0,0.44299999999999995,-0.18,0.267,,,,,,,,
5,2023-06-13,717774,Single,single,False,667670,656222,Brent Rooker,Jalen Beeks,0,0,0,dac2e412-b910-44c5-802f-2d917a7763f0,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,5.95,3.61,42.1,95.0,89.0,90.0,0.7290000000000001,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.43799999999999994,,,,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,,,,0.435,0.107,,0.015,,-0.49,2.73,,-16.85,,94.3,85.7,,81.8,,0.243,,0.125,,1.0,89.6,112.0,95.0,96.0,0.44299999999999995,-0.18,0.267,,,,,,,,
6,2023-06-13,717774,Single,single,False,676116,656222,Ryan Noda,Jalen Beeks,0,0,1,0803956b-3055-4a2a-9d91-886252e1cd20,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,5.95,3.61,42.1,95.0,89.0,90.0,0.7290000000000001,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.43799999999999994,,,,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,,,,0.435,0.107,,0.015,,-0.49,2.73,,-16.85,,94.3,85.7,,81.8,,0.243,,0.125,,1.0,89.6,112.0,95.0,96.0,0.44299999999999995,-0.18,0.267,,,,,,,,
7,2023-06-13,717774,Strikeout,strikeout,True,657656,656222,Ramón Laureano,Jalen Beeks,0,0,1,e0125d95-e0e7-4e6f-ac68-0dabe6f2cb8b,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,5.95,3.61,42.1,95.0,89.0,90.0,0.7290000000000001,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.43799999999999994,,,,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,,,,0.435,0.107,,0.015,,-0.49,2.73,,-16.85,,94.3,85.7,,81.8,,0.243,,0.125,,1.0,89.6,112.0,95.0,96.0,0.44299999999999995,-0.18,0.267,,,,,,,,
8,2023-06-13,717774,Groundout,field_out,True,681146,656222,Jonah Bride,Jalen Beeks,0,0,0,fe3db475-5ba9-4291-98c7-44f876f5b331,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,5.95,3.61,42.1,95.0,89.0,90.0,0.7290000000000001,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.43799999999999994,,,,65.0,95.0,83.0,106.0,71.0,93.0,92.0,105.0,98.0,,,,0.435,0.107,,0.015,,-0.49,2.73,,-16.85,,94.3,85.7,,81.8,,0.243,,0.125,,1.0,89.6,112.0,95.0,96.0,0.44299999999999995,-0.18,0.267,,,,,,,,
9,2023-06-13,717774,Flyout,field_out,True,670623,663687,Isaac Paredes,Hogan Harris,0,0,0,3bfee187-bc77-4139-8b2b-6d4ed0f1f062,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,69.0,92.0,89.0,84.0,98.0,92.0,,,,87.0,104.0,98.0,,,,0.47,0.188,,0.078,0.06,-0.58,-1.58,,-2.5,-1.37,92.6,90.5,,77.4,74.9,0.25,,0.351,,0.278,80.1,75.0,93.0,96.0,0.203,0.61,0.205,0.3,,,,,,,
