,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CU_ba,CH_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-06-17,717719,Single,single,False,680757,674072,Steven Kwan,Tommy Henry,1,0,0,8c4db4f1-8b27-4a17-bd60-9689b87f2730,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-17,717719,Single,single,False,642708,674072,Amed Rosario,Tommy Henry,0,0,1,34c03548-eccd-410f-a238-ca08ca7663c2,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-17,717719,Lineout,field_out,True,608070,674072,José Ramírez,Tommy Henry,0,0,0,5bd20c21-5b36-4534-b1f3-58cf59ac5832,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-17,717719,Flyout,field_out,True,647304,674072,Josh Naylor,Tommy Henry,1,0,0,3cb1bd29-98ed-4889-abf1-b2939a29fc08,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-17,717719,Walk,walk,False,605137,674072,Josh Bell,Tommy Henry,0,0,1,748ab84f-aae9-47c7-874d-48139a7a9bf8,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-06-17,717719,Walk,walk,False,665926,674072,Andrés Giménez,Tommy Henry,0,0,1,cf675ddd-a006-439d-8dc0-0777715b9ce6,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-06-17,717719,Strikeout,strikeout,True,664702,674072,Myles Straw,Tommy Henry,0,0,0,ac0cd789-65c1-4086-88e1-1da3a1bd4f04,674072.0,tommyhenry,Henry,Left,Tommy Henry,4.15,4.3,89.0,96.0,83.0,91.0,0.7879999999999999,6.47,3.54,8.7,1.21,0.82,0.27699999999999997,0.40299999999999997,0.162,0.317,0.40700000000000003,84.0,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,83.1,79.1,0.292,0.229,0.278,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-06-17,717719,Strikeout,strikeout,True,672695,669456,Geraldo Perdomo,Shane Bieber,0,0,0,f19684bf-f85c-4e63-a89d-e25afac0b7e7,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,111.0,107.0,109.0,0.35200000000000004,0.207,,0.035,0.87,0.84,,-4.04,91.3,84.6,,0.257,0.237,0.5,0.18,155.0,104.0,109.0,95.0,94.0,93.0,0.26899999999999996,0.13699999999999998,0.43,-1.29,86.5,82.5,0.316,,,,,,,,,,,,,,
8,2023-06-17,717719,Groundout,field_out,True,606466,669456,Ketel Marte,Shane Bieber,1,0,0,561263b5-035d-4e87-bc6b-b989c4802ee5,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,111.0,107.0,109.0,0.35200000000000004,0.207,,0.035,0.87,0.84,,-4.04,91.3,84.6,,0.257,0.237,0.5,0.18,155.0,104.0,109.0,95.0,94.0,93.0,0.26899999999999996,0.13699999999999998,0.43,-1.29,86.5,82.5,0.316,,,,,,,,,,,,,,
9,2023-06-17,717719,Field Error,field_error,False,682998,669456,Corbin Carroll,Shane Bieber,1,0,0,8cfe98b3-6334-4e57-b4bf-65ae4d1826f8,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,111.0,107.0,109.0,0.35200000000000004,0.207,,0.035,0.87,0.84,,-4.04,91.3,84.6,,0.257,0.237,0.5,0.18,155.0,104.0,109.0,95.0,94.0,93.0,0.26899999999999996,0.13699999999999998,0.43,-1.29,86.5,82.5,0.316,,,,,,,,,,,,,,
