,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,FF_ba,CH_ba,CU_ba,SV_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-08-12,717021,Strikeout,strikeout,True,660670,500779,Ronald Acuña Jr.,Jose Quintana,0,0,0,98c316ca-6944-4540-a81d-91cc18986e6c,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
1,2023-08-12,717021,Pop Out,field_out,True,645277,500779,Ozzie Albies,Jose Quintana,0,0,0,52ab9c32-ad83-4437-adbc-bb190f2302e8,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
2,2023-08-12,717021,Lineout,field_out,True,663586,500779,Austin Riley,Jose Quintana,0,0,0,d41abd37-1777-4bfc-ae76-cc47e79b1eb8,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
3,2023-08-12,717021,Single,single,False,607043,675911,Brandon Nimmo,Spencer Strider,1,0,0,92f6c2e5-7d2b-4fac-a8eb-bf0248bfa4cc,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
4,2023-08-12,717021,Forceout,force_out,True,596019,675911,Francisco Lindor,Spencer Strider,0,0,1,b00ead7c-3907-4f5b-bbcf-18622b0ad9a0,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
5,2023-08-12,717021,Groundout,field_out,True,624413,675911,Pete Alonso,Spencer Strider,1,0,1,94d90262-1fe0-4078-8bad-6af7d5748464,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
6,2023-08-12,717021,Groundout,field_out,True,643446,675911,Jeff McNeil,Spencer Strider,1,0,0,92349096-57ac-4e31-bdeb-abefff98189c,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
7,2023-08-12,717021,Groundout,field_out,True,621566,500779,Matt Olson,Jose Quintana,0,0,0,68f118d7-9f21-40ca-846d-7bbc8a0c9c4d,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
8,2023-08-12,717021,Strikeout,strikeout,True,518595,500779,Travis d'Arnaud,Jose Quintana,0,0,0,4723b3a9-88af-4f6e-899d-9f0a25fdd56a,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
9,2023-08-12,717021,Groundout,field_out,True,542303,500779,Marcell Ozuna,Jose Quintana,1,0,0,e9ee7876-2548-431c-b540-6f88526d0e2e,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
10,2023-08-12,717021,Walk,walk,False,682626,675911,Francisco Alvarez,Spencer Strider,0,0,0,3b6fc093-930d-4c39-91cf-ee5e739d8376,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
11,2023-08-12,717021,Strikeout,strikeout,True,596129,675911,Daniel Vogelbach,Spencer Strider,0,0,0,8f49ca08-db7e-456f-b0c6-e7e8bbad3f75,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
12,2023-08-12,717021,Strikeout,strikeout,True,668901,675911,Mark Vientos,Spencer Strider,0,0,0,904568b4-2eb1-4d23-a057-5e8f44c5686a,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
13,2023-08-12,717021,Walk,walk,False,664901,675911,Danny Mendick,Spencer Strider,1,0,1,47352c34-6871-4d13-a7b2-b299aad4fdd8,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
14,2023-08-12,717021,Strikeout,strikeout,True,641796,675911,Tim Locastro,Spencer Strider,0,0,0,1dee84c4-fe3c-469b-b608-1449d7069ef4,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,0.589,,0.073,0.4,,,0.97,97.2,,,,0.256,0.122,,,104.0,103.0,107.0,0.33799999999999997,1.67,85.6,0.154,,,,,,,
15,2023-08-12,717021,Groundout,field_out,True,606115,500779,Orlando Arcia,Jose Quintana,0,0,0,72c2a05f-1eb9-423d-9f04-41e01cea78bc,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
16,2023-08-12,717021,Groundout,field_out,True,607680,500779,Kevin Pillar,Jose Quintana,0,0,0,eb8786de-40c4-4242-943f-f47762db75a4,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,0.32299999999999995,0.242,0.253,0.18100000000000002,-2.28,3.29,1.45,-1.18,90.2,90.4,77.2,0.196,0.391,0.276,0.214,0.211,,,,,,,,,,,,,,
