,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vSI,vSL,FC_ba,SL_ba,SI_ba,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,CH_ba,ST_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba
0,2023-04-15,718566,Double,double,False,681082,668933,Bryson Stott,Graham Ashcraft,0,0,0,11e35cf7-2f06-464a-a80a-355e736633e4,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
1,2023-04-15,718566,Walk,walk,False,607208,668933,Trea Turner,Graham Ashcraft,0,0,0,0bfda1ae-2887-40c9-827a-f6d86c16abca,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
2,2023-04-15,718566,Pop Out,field_out,True,656941,668933,Kyle Schwarber,Graham Ashcraft,1,0,0,06893a08-1802-494d-a44f-46bf17d45f9c,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
3,2023-04-15,718566,Strikeout,strikeout,True,592206,668933,Nick Castellanos,Graham Ashcraft,0,0,0,3203cb2e-6d56-49e0-93ad-81dc676f37bd,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
4,2023-04-15,718566,Groundout,field_out,True,669016,668933,Brandon Marsh,Graham Ashcraft,0,0,0,ff9aa852-0156-4c18-94ed-21b52ade97ed,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
5,2023-04-15,718566,Walk,walk,False,663697,621381,Jonathan India,Matt Strahm,1,0,0,c13e9131-5664-4792-b96e-e429b5c25d6f,621381.0,mattstrahm,Strahm,Left,Matt Strahm,3.29,3.16,87.2,104.0,104.0,104.0,0.7390000000000001,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.35600000000000004,0.47600000000000003,86.5,95.0,111.0,106.0,118.0,98.0,106.0,96.0,97.0,89.0,0.187,0.10099999999999999,0.256,0.004,-0.5,0.27,2.22,-9.98,87.6,93.2,83.1,0.296,0.133,0.344,114.0,99.0,105.0,101.0,105.0,104.0,0.452,1.08,93.4,0.186,,,,,,,,,
6,2023-04-15,718566,Forceout,force_out,True,668715,621381,Spencer Steer,Matt Strahm,1,0,1,b735e0a3-171b-4f6c-b0a5-edb3bab0b713,621381.0,mattstrahm,Strahm,Left,Matt Strahm,3.29,3.16,87.2,104.0,104.0,104.0,0.7390000000000001,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.35600000000000004,0.47600000000000003,86.5,95.0,111.0,106.0,118.0,98.0,106.0,96.0,97.0,89.0,0.187,0.10099999999999999,0.256,0.004,-0.5,0.27,2.22,-9.98,87.6,93.2,83.1,0.296,0.133,0.344,114.0,99.0,105.0,101.0,105.0,104.0,0.452,1.08,93.4,0.186,,,,,,,,,
7,2023-04-15,718566,Strikeout,strikeout,True,656413,621381,Stuart Fairchild,Matt Strahm,0,0,0,1283bf44-aca2-4740-9296-17603ad83bed,621381.0,mattstrahm,Strahm,Left,Matt Strahm,3.29,3.16,87.2,104.0,104.0,104.0,0.7390000000000001,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.35600000000000004,0.47600000000000003,86.5,95.0,111.0,106.0,118.0,98.0,106.0,96.0,97.0,89.0,0.187,0.10099999999999999,0.256,0.004,-0.5,0.27,2.22,-9.98,87.6,93.2,83.1,0.296,0.133,0.344,114.0,99.0,105.0,101.0,105.0,104.0,0.452,1.08,93.4,0.186,,,,,,,,,
8,2023-04-15,718566,Flyout,field_out,True,663886,621381,Tyler Stephenson,Matt Strahm,0,0,0,e916725b-07e6-44d6-8166-308cf0ae2f83,621381.0,mattstrahm,Strahm,Left,Matt Strahm,3.29,3.16,87.2,104.0,104.0,104.0,0.7390000000000001,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.35600000000000004,0.47600000000000003,86.5,95.0,111.0,106.0,118.0,98.0,106.0,96.0,97.0,89.0,0.187,0.10099999999999999,0.256,0.004,-0.5,0.27,2.22,-9.98,87.6,93.2,83.1,0.296,0.133,0.344,114.0,99.0,105.0,101.0,105.0,104.0,0.452,1.08,93.4,0.186,,,,,,,,,
9,2023-04-15,718566,Walk,walk,False,664761,668933,Alec Bohm,Graham Ashcraft,0,0,0,dbb457f3-7dd9-4740-a689-2c2efcd881e9,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
