,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,CU_ba,FF_ba,CH_ba,SI_ba,FC_ba,Stf+ SL,Loc+ SL,Pit+ SL,FS%,SL%,wFS/C,wSL/C,vFS,vSL,SL_ba,FS_ba,ST_ba,KC%,wKC/C,vKC
0,2023-04-25,718429,Groundout,field_out,True,665862,450203,Jazz Chisholm Jr.,Charlie Morton,1,0,0,d072768f-1fd4-4da5-b398-f5f1013ff6f2,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,94.2,82.3,0.177,0.292,0.25,0.474,0.296,,,,,,,,,,,,,,,
1,2023-04-25,718429,Flyout,field_out,True,624585,450203,Jorge Soler,Charlie Morton,1,0,0,fc287b1a-14b4-4390-ba53-98002d313b05,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,94.2,82.3,0.177,0.292,0.25,0.474,0.296,,,,,,,,,,,,,,,
2,2023-04-25,718429,Strikeout,strikeout,True,650559,450203,Bryan De La Cruz,Charlie Morton,0,0,0,7f3fe792-aebc-440f-8fbf-3a1cd3bb940f,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,94.2,82.3,0.177,0.292,0.25,0.474,0.296,,,,,,,,,,,,,,,
3,2023-04-25,718429,Double,double,False,660670,663773,Ronald Acuña Jr.,Bryan Hoeing,0,0,0,daab8033-2038-4794-9c90-fc8bc8ffc75d,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,87.2,41.0,99.0,76.0,,,,80.0,97.0,87.0,106.0,100.0,99.0,,,,0.526,0.08900000000000001,,,0.026000000000000002,-2.17,,-0.76,,-5.28,93.9,,94.1,,,0.333,0.6,0.275,,97.0,104.0,108.0,0.042,0.318,-5.4,0.98,84.9,83.2,0.179,0.333,,,,
4,2023-04-25,718429,Flyout,field_out,True,621566,663773,Matt Olson,Bryan Hoeing,0,0,0,a3421b30-adae-46f5-a280-41cbf54e9662,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,87.2,41.0,99.0,76.0,,,,80.0,97.0,87.0,106.0,100.0,99.0,,,,0.526,0.08900000000000001,,,0.026000000000000002,-2.17,,-0.76,,-5.28,93.9,,94.1,,,0.333,0.6,0.275,,97.0,104.0,108.0,0.042,0.318,-5.4,0.98,84.9,83.2,0.179,0.333,,,,
5,2023-04-25,718429,Single,single,False,663586,663773,Austin Riley,Bryan Hoeing,0,0,1,e3b85766-53ee-4ff3-ac7a-159b728f3deb,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,87.2,41.0,99.0,76.0,,,,80.0,97.0,87.0,106.0,100.0,99.0,,,,0.526,0.08900000000000001,,,0.026000000000000002,-2.17,,-0.76,,-5.28,93.9,,94.1,,,0.333,0.6,0.275,,97.0,104.0,108.0,0.042,0.318,-5.4,0.98,84.9,83.2,0.179,0.333,,,,
6,2023-04-25,718429,Lineout,field_out,True,669221,663773,Sean Murphy,Bryan Hoeing,0,0,0,501d82d4-ba27-456a-b22f-d6e68674c425,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,87.2,41.0,99.0,76.0,,,,80.0,97.0,87.0,106.0,100.0,99.0,,,,0.526,0.08900000000000001,,,0.026000000000000002,-2.17,,-0.76,,-5.28,93.9,,94.1,,,0.333,0.6,0.275,,97.0,104.0,108.0,0.042,0.318,-5.4,0.98,84.9,83.2,0.179,0.333,,,,
7,2023-04-25,718429,Strikeout,strikeout,True,592696,663773,Eddie Rosario,Bryan Hoeing,0,0,0,998306dc-312b-4160-a479-df244cb34c19,663773.0,bryanhoeing,Hoeing,Right,Bryan Hoeing,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.35700000000000004,0.121,0.335,0.395,87.2,41.0,99.0,76.0,,,,80.0,97.0,87.0,106.0,100.0,99.0,,,,0.526,0.08900000000000001,,,0.026000000000000002,-2.17,,-0.76,,-5.28,93.9,,94.1,,,0.333,0.6,0.275,,97.0,104.0,108.0,0.042,0.318,-5.4,0.98,84.9,83.2,0.179,0.333,,,,
8,2023-04-25,718429,Strikeout,strikeout,True,541645,450203,Avisaíl García,Charlie Morton,0,0,0,e27d9195-45e8-4feb-a21c-715a7e149f6f,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,94.2,82.3,0.177,0.292,0.25,0.474,0.296,,,,,,,,,,,,,,,
9,2023-04-25,718429,Flyout,field_out,True,516416,450203,Jean Segura,Charlie Morton,0,0,0,d0e69d7c-a722-4ca0-96fd-897bc7abb4f0,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,94.2,82.3,0.177,0.292,0.25,0.474,0.296,,,,,,,,,,,,,,,
