,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,SL_ba,SI_ba,FF_ba,CH_ba,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FC_ba,CU_ba,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI
10,2023-09-16,716563,Single,single,False,663647,596133,Ke'Bryan Hayes,Luke Weaver,0,0,0,2ec4cc64-d9bf-4f33-b1af-2ed4c34d8118,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
11,2023-09-16,716563,Strikeout,strikeout,True,669261,596133,Jack Suwinski,Luke Weaver,0,0,0,d183aaf3-200f-4567-8c90-12ac398a9102,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
12,2023-09-16,716563,Walk,walk,False,682848,596133,Endy Rodríguez,Luke Weaver,1,0,1,fbfe4b06-4aea-4040-b454-2fe7f16385e1,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
13,2023-09-16,716563,Strikeout,strikeout,True,641943,596133,Joshua Palacios,Luke Weaver,0,0,0,3eb4b9d8-5da6-4ece-9492-a11a9fbe0d99,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
14,2023-09-16,716563,Strikeout,strikeout,True,680779,596133,Henry Davis,Luke Weaver,0,0,0,fa7906bd-d5ae-422d-a229-0655cba5f81b,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
15,2023-09-16,716563,Flyout,field_out,True,665828,682847,Oswaldo Cabrera,Luis L. Ortiz,1,0,0,ea1a523c-796b-4c37-b18d-4e9e8748a728,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023-09-16,716563,Single,single,False,518934,682847,DJ LeMahieu,Luis L. Ortiz,0,0,0,c3aa6f3e-8f4a-4294-9b82-f9d72e90d1c1,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2023-09-16,716563,Walk,walk,False,592450,682847,Aaron Judge,Luis L. Ortiz,0,0,1,6241e548-0195-4afd-bf94-37d391f27321,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023-09-16,716563,Flyout,field_out,True,650402,682847,Gleyber Torres,Luis L. Ortiz,1,1,0,455d0d02-f0e5-441e-9bf1-57d361b17255,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2023-09-16,716563,Flyout,field_out,True,669224,682847,Austin Wells,Luis L. Ortiz,0,0,0,be563c0f-4bac-48b0-9db9-0a1a1ba03e82,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2023-09-16,716563,Double,double,False,663845,596133,Alfonso Rivas III,Luke Weaver,0,0,0,2b33f442-8d06-456e-bcb9-74be6fd0601c,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
21,2023-09-16,716563,Lineout,field_out,True,678894,596133,Liover Peguero,Luke Weaver,0,0,0,f8352ba4-e4d0-4a8d-af10-7bf40ae1a3de,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
