,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vSI,vSL,FC_ba,SL_ba,SI_ba,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,CH_ba,ST_ba,CU_ba
0,2023-04-26,718424,Groundout,field_out,True,543760,668933,Marcus Semien,Graham Ashcraft,0,0,0,07512f94-6676-4c19-bac9-3ab126a46fcb,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
1,2023-04-26,718424,Groundout,field_out,True,608671,668933,Travis Jankowski,Graham Ashcraft,0,0,0,4749450b-f7eb-43e2-a4a2-d326e17d4e2f,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
2,2023-04-26,718424,Lineout,field_out,True,663993,668933,Nathaniel Lowe,Graham Ashcraft,1,0,0,9e3c65d2-69b6-47e2-b4d7-2a3159f9c31a,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
3,2023-04-26,718424,Groundout,field_out,True,663697,592351,Jonathan India,Jon Gray,1,1,0,ae1313f8-0d53-4f17-896f-04ea001cb310,592351.0,jongray,"Gray, Jn",Right,Jon Gray,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.28800000000000003,0.348,0.157,0.324,0.43700000000000006,88.8,,,,116.0,103.0,109.0,,,,,,0.39799999999999996,0.11599999999999999,,,2.33,1.71,,,87.2,,0.194,,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,0.424,0.062,-1.83,-1.69,95.7,78.2,0.346,0.211,0.105,0.263
4,2023-04-26,718424,Flyout,field_out,True,670770,592351,TJ Friedl,Jon Gray,0,0,0,92f8a94c-d871-44ff-9d4d-acc33c70576e,592351.0,jongray,"Gray, Jn",Right,Jon Gray,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.28800000000000003,0.348,0.157,0.324,0.43700000000000006,88.8,,,,116.0,103.0,109.0,,,,,,0.39799999999999996,0.11599999999999999,,,2.33,1.71,,,87.2,,0.194,,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,0.424,0.062,-1.83,-1.69,95.7,78.2,0.346,0.211,0.105,0.263
5,2023-04-26,718424,Lineout,field_out,True,668715,592351,Spencer Steer,Jon Gray,1,0,0,572d6a8a-5f13-4e72-8afb-cc1a67be5ffa,592351.0,jongray,"Gray, Jn",Right,Jon Gray,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.28800000000000003,0.348,0.157,0.324,0.43700000000000006,88.8,,,,116.0,103.0,109.0,,,,,,0.39799999999999996,0.11599999999999999,,,2.33,1.71,,,87.2,,0.194,,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,0.424,0.062,-1.83,-1.69,95.7,78.2,0.346,0.211,0.105,0.263
6,2023-04-26,718424,Single,single,False,666969,668933,Adolis García,Graham Ashcraft,1,0,0,32319c01-c3b9-4776-9bb0-7817880427b5,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
7,2023-04-26,718424,Hit By Pitch,hit_by_pitch,False,673962,668933,Josh Jung,Graham Ashcraft,0,0,1,9b3f84c7-7069-4315-b4f3-729bd356719c,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
8,2023-04-26,718424,Walk,walk,False,641680,668933,Jonah Heim,Graham Ashcraft,1,0,1,bfbcc7fe-c6a0-4be9-bca0-5b4d350b05a7,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
9,2023-04-26,718424,Pop Out,field_out,True,543257,668933,Robbie Grossman,Graham Ashcraft,1,0,0,a75a6295-cfd3-4735-9545-99bfd98acaab,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,
