,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FS_ba,SL_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
60,2023-07-26,717253,Flyout,field_out,True,518692,543351,Freddie Freeman,Jay Jackson,1,0,0,054bda17-b4aa-4455-915e-3930642097a2,543351.0,jayjackson,"Jackson, J",Right,Jay Jackson,2.12,3.4,29.2,101.0,100.0,98.0,0.705,8.19,2.73,5.46,1.21,1.03,0.203,0.456,0.177,0.24100000000000002,0.41200000000000003,,,,89.0,96.0,91.0,108.0,105.0,103.0,,,,0.373,,0.598,,-0.99,,3.38,,93.3,,84.7,,0.286,,0.116,,87.5,,,,0.002,-1.91,,89.0,73.0,71.0,0.027000000000000003,2.6,92.6,
61,2023-07-26,717253,Single,single,False,593160,668338,Whit Merrifield,Tyson Miller,1,1,0,ba20bfec-9c5f-473f-bf1f-a9edaf90f984,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
62,2023-07-26,717253,Flyout,field_out,True,662139,668338,Daulton Varsho,Tyson Miller,0,0,0,df9ada13-c11d-4dfa-bb83-bc57a8e3fe0d,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
63,2023-07-26,717253,Strikeout,strikeout,True,643376,668338,Danny Jansen,Tyson Miller,0,0,0,74759dc9-ac97-499f-bdae-322453f99312,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
64,2023-07-26,717253,Single,single,False,624415,668338,Cavan Biggio,Tyson Miller,0,0,1,a01327c6-92c8-4079-bc31-f1b730c82534,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
65,2023-07-26,717253,Walk,walk,False,543807,668338,George Springer,Tyson Miller,1,0,1,d47a71e5-8a73-4a77-b831-f02de1f27dd8,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
66,2023-07-26,717253,Single,single,True,666182,668338,Bo Bichette,Tyson Miller,0,0,1,9c06e700-564a-4be0-a75d-376a7634983d,668338.0,tysonmiller,"Miller, T",Right,Tyson Miller,4.7,6.86,15.1,93.0,109.0,98.0,0.779,5.87,3.52,7.63,1.17,0.41,0.298,0.27699999999999997,0.17,0.36200000000000004,0.433,102.0,87.0,90.0,111.0,94.0,99.0,110.0,94.0,107.0,,,,0.585,,0.14300000000000002,0.138,2.4,,2.14,-0.69,91.0,,82.1,80.2,0.216,,0.0,0.143,87.4,137.0,76.0,69.0,0.036000000000000004,-25.59,0.667,92.0,98.0,101.0,0.098,-2.82,91.3,0.5
67,2023-07-26,717253,Strikeout,strikeout,True,502110,543351,J.D. Martinez,Jay Jackson,0,0,0,48f55b28-33e5-4ac2-82af-64eba743abe0,543351.0,jayjackson,"Jackson, J",Right,Jay Jackson,2.12,3.4,29.2,101.0,100.0,98.0,0.705,8.19,2.73,5.46,1.21,1.03,0.203,0.456,0.177,0.24100000000000002,0.41200000000000003,,,,89.0,96.0,91.0,108.0,105.0,103.0,,,,0.373,,0.598,,-0.99,,3.38,,93.3,,84.7,,0.286,,0.116,,87.5,,,,0.002,-1.91,,89.0,73.0,71.0,0.027000000000000003,2.6,92.6,
68,2023-07-26,717253,Strikeout,strikeout,True,621035,543351,Chris Taylor,Jay Jackson,0,0,0,4dd00ded-54cd-417f-8a94-d557a34554ff,543351.0,jayjackson,"Jackson, J",Right,Jay Jackson,2.12,3.4,29.2,101.0,100.0,98.0,0.705,8.19,2.73,5.46,1.21,1.03,0.203,0.456,0.177,0.24100000000000002,0.41200000000000003,,,,89.0,96.0,91.0,108.0,105.0,103.0,,,,0.373,,0.598,,-0.99,,3.38,,93.3,,84.7,,0.286,,0.116,,87.5,,,,0.002,-1.91,,89.0,73.0,71.0,0.027000000000000003,2.6,92.6,
69,2023-07-26,717253,Walk,walk,False,571970,543351,Max Muncy,Jay Jackson,0,0,0,1ba753c7-493a-4a0f-b7d4-5f9ba58be04c,543351.0,jayjackson,"Jackson, J",Right,Jay Jackson,2.12,3.4,29.2,101.0,100.0,98.0,0.705,8.19,2.73,5.46,1.21,1.03,0.203,0.456,0.177,0.24100000000000002,0.41200000000000003,,,,89.0,96.0,91.0,108.0,105.0,103.0,,,,0.373,,0.598,,-0.99,,3.38,,93.3,,84.7,,0.286,,0.116,,87.5,,,,0.002,-1.91,,89.0,73.0,71.0,0.027000000000000003,2.6,92.6,
70,2023-07-26,717253,Single,single,False,571771,543351,Enrique Hernández,Jay Jackson,1,1,1,bd5a2e51-d945-42f9-891b-ee1a937a5e38,543351.0,jayjackson,"Jackson, J",Right,Jay Jackson,2.12,3.4,29.2,101.0,100.0,98.0,0.705,8.19,2.73,5.46,1.21,1.03,0.203,0.456,0.177,0.24100000000000002,0.41200000000000003,,,,89.0,96.0,91.0,108.0,105.0,103.0,,,,0.373,,0.598,,-0.99,,3.38,,93.3,,84.7,,0.286,,0.116,,87.5,,,,0.002,-1.91,,89.0,73.0,71.0,0.027000000000000003,2.6,92.6,
71,2023-07-26,717253,Lineout,field_out,True,681546,641835,James Outman,Tim Mayza,0,0,0,dc5b16e2-3e65-4010-b6f7-82593fb5bb07,641835.0,timmayza,Mayza,Left,Tim Mayza,1.52,3.38,53.1,102.0,111.0,102.0,0.794,8.94,2.53,8.44,0.34,3.04,0.259,0.42200000000000004,0.19699999999999998,0.299,0.39299999999999996,,,,,,,141.0,100.0,108.0,,,,0.001,,0.235,,-3.64,,1.01,,90.6,,86.2,,,,0.231,,,,,,,,,102.0,102.0,100.0,0.764,1.27,93.4,0.26
72,2023-07-26,717253,Flyout,field_out,True,474832,641360,Brandon Belt,Phil Bickford,0,0,0,96e5164d-8441-422d-bd28-a4bef2c77483,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,,,,116.0,100.0,101.0,99.0,101.0,101.0,,,,0.71,,0.26899999999999996,,1.26,,-3.45,,93.7,,83.9,,0.183,,0.325,,87.5,117.0,97.0,88.0,0.02,0.89,0.2,,,,,,,
73,2023-07-26,717253,Lineout,field_out,True,665489,641360,Vladimir Guerrero Jr.,Phil Bickford,1,1,0,a991ab60-1fd5-453e-9a64-eb2c0f1a6723,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,,,,116.0,100.0,101.0,99.0,101.0,101.0,,,,0.71,,0.26899999999999996,,1.26,,-3.45,,93.7,,83.9,,0.183,,0.325,,87.5,117.0,97.0,88.0,0.02,0.89,0.2,,,,,,,
74,2023-07-26,717253,Walk,walk,False,656305,641360,Matt Chapman,Phil Bickford,0,0,0,8973fb98-c74e-498f-a212-c1f8e0005c98,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,,,,116.0,100.0,101.0,99.0,101.0,101.0,,,,0.71,,0.26899999999999996,,1.26,,-3.45,,93.7,,83.9,,0.183,,0.325,,87.5,117.0,97.0,88.0,0.02,0.89,0.2,,,,,,,
75,2023-07-26,717253,Forceout,force_out,True,593160,641360,Whit Merrifield,Phil Bickford,0,0,1,05d273e8-7fc9-48de-ae31-948693fa1961,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,,,,116.0,100.0,101.0,99.0,101.0,101.0,,,,0.71,,0.26899999999999996,,1.26,,-3.45,,93.7,,83.9,,0.183,,0.325,,87.5,117.0,97.0,88.0,0.02,0.89,0.2,,,,,,,
76,2023-07-26,717253,Strikeout,strikeout,True,500743,670950,Miguel Rojas,Trevor Richards,0,0,0,839eb6d8-ba1d-4900-aabd-82ebea2c14ad,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,,,,105.0,97.0,98.0,,,,,,,0.434,,,,-1.19,,,,92.8,,,,0.33,,,,82.5,103.0,98.0,112.0,0.5660000000000001,0.98,0.165,,,,,,,
77,2023-07-26,717253,Flyout,field_out,True,605131,670950,Austin Barnes,Trevor Richards,0,0,0,f98264e1-7412-4623-bfa4-3a13b01a2995,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,,,,105.0,97.0,98.0,,,,,,,0.434,,,,-1.19,,,,92.8,,,,0.33,,,,82.5,103.0,98.0,112.0,0.5660000000000001,0.98,0.165,,,,,,,
78,2023-07-26,717253,Groundout,field_out,True,660634,670950,Yonny Hernández,Trevor Richards,1,0,0,ce0f170f-0206-4f02-bdd9-edcb957ff24d,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,4.95,3.55,72.2,98.0,104.0,106.0,0.647,13.0,4.33,7.8,1.61,0.65,0.289,0.41,0.19699999999999998,0.324,0.331,,,,105.0,97.0,98.0,,,,,,,0.434,,,,-1.19,,,,92.8,,,,0.33,,,,82.5,103.0,98.0,112.0,0.5660000000000001,0.98,0.165,,,,,,,
