,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,FC_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,FS_ba
0,2023-03-28,719409,Lineout,field_out,True,680757,669194,Steven Kwan,Ryne Nelson,0,0,0,4309f62e-468a-49f9-bd06-2c673e18369a,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
1,2023-03-28,719409,Groundout,field_out,True,642708,669194,Amed Rosario,Ryne Nelson,0,0,0,232f8d90-d4ea-4f95-8f6c-2809c68b87c3,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
2,2023-03-28,719409,Strikeout,strikeout,True,686823,669194,Will Brennan,Ryne Nelson,0,0,0,9c2b1c3a-6a6e-40de-a616-4738c3d86d1c,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
3,2023-03-28,719409,Strikeout,strikeout,True,668942,615698,Josh Rojas,Cal Quantrill,0,0,0,1f28762f-ed0e-46d2-bb97-c78bb2d3b3b1,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.22399999999999998,0.451,0.18600000000000003,0.311,0.384,86.1,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,,,,103.0,94.0,93.0,0.01,0.24100000000000002,,0.109,0.10099999999999999,-2.44,-0.89,,1.28,-2.42,93.8,88.1,,82.0,0.333,0.33,,0.344,0.188,86.0,96.0,90.0,113.0,104.0,104.0,0.41600000000000004,0.12300000000000001,-1.13,0.18,86.8,93.7,0.277,0.241
4,2023-03-28,719409,Flyout,field_out,True,606466,615698,Ketel Marte,Cal Quantrill,0,0,0,c6bf5523-dbc5-4e81-ae44-719771101bb9,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.22399999999999998,0.451,0.18600000000000003,0.311,0.384,86.1,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,,,,103.0,94.0,93.0,0.01,0.24100000000000002,,0.109,0.10099999999999999,-2.44,-0.89,,1.28,-2.42,93.8,88.1,,82.0,0.333,0.33,,0.344,0.188,86.0,96.0,90.0,113.0,104.0,104.0,0.41600000000000004,0.12300000000000001,-1.13,0.18,86.8,93.7,0.277,0.241
5,2023-03-28,719409,Flyout,field_out,True,641786,615698,Kyle Lewis,Cal Quantrill,0,0,0,be952ab6-63d1-4e2e-a9bb-ec4fa2b09247,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.22399999999999998,0.451,0.18600000000000003,0.311,0.384,86.1,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,,,,103.0,94.0,93.0,0.01,0.24100000000000002,,0.109,0.10099999999999999,-2.44,-0.89,,1.28,-2.42,93.8,88.1,,82.0,0.333,0.33,,0.344,0.188,86.0,96.0,90.0,113.0,104.0,104.0,0.41600000000000004,0.12300000000000001,-1.13,0.18,86.8,93.7,0.277,0.241
6,2023-03-28,719409,Double,double,False,605137,669194,Josh Bell,Ryne Nelson,0,0,0,a04ab82a-aa55-4fb3-8b0e-5092b4691c65,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
7,2023-03-28,719409,Groundout,field_out,True,683172,669194,Joe Naranjo,Ryne Nelson,0,0,1,d15bbc18-9355-4a83-b458-85fb89ea6a9b,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
8,2023-03-28,719409,Strikeout,strikeout,True,672356,669194,Gabriel Arias,Ryne Nelson,0,0,0,3628ca9d-8872-46dc-890c-3dd62297245b,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
9,2023-03-28,719409,Lineout,field_out,True,595956,669194,Cam Gallagher,Ryne Nelson,0,0,0,e05b6fe8-fa93-48a9-9a05-b8f8f3f1a305,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.22899999999999998,0.413,0.131,0.36200000000000004,0.46299999999999997,83.3,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,101.0,111.0,105.0,0.546,0.135,0.134,0.052000000000000005,0.133,-0.72,-1.72,0.52,-2.44,-0.16,94.4,85.6,81.7,76.4,0.308,0.326,0.177,0.203,0.429,,,,,,,,,,,,,,
