,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,ST_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,SI_ba,FC_ba,SL_ba,FS_ba
54,2023-09-05,716707,Groundout,field_out,True,676116,605135,Ryan Noda,Chris Bassitt,1,1,0,6436a568-58e6-4948-8537-56a0ef8c8609,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
55,2023-09-05,716707,Double,double,False,664913,605135,Seth Brown,Chris Bassitt,1,1,0,50114b9d-c841-4d11-b8a9-5c2111aa47c2,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
56,2023-09-05,716707,Single,single,False,672478,605135,Jordan Diaz,Chris Bassitt,1,0,1,6c007b93-57a0-4589-a201-7905af27da88,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
57,2023-09-05,716707,Forceout,force_out,True,669127,605135,Shea Langeliers,Chris Bassitt,0,0,1,4f91e600-bf25-462f-bbf4-e1671b150ce9,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
58,2023-09-05,716707,Flyout,field_out,True,669289,669674,Santiago Espinal,Sam Long,0,0,0,68224431-4e6e-474c-8618-4354cd7d39ae,669674.0,samlong,Long,Left,Sam Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.0,0.154,,,,,,,,,,,,,,,,,,,,,0.267,0.375
59,2023-09-05,716707,Double,double,False,595281,669674,Kevin Kiermaier,Sam Long,0,0,1,52fdbd0a-f28d-4c00-a16e-b7608c9272f4,669674.0,samlong,Long,Left,Sam Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.0,0.154,,,,,,,,,,,,,,,,,,,,,0.267,0.375
60,2023-09-05,716707,Single,single,False,543807,669674,George Springer,Sam Long,0,0,1,7904cbe2-3b20-4251-b9c1-6e6be5a916b1,669674.0,samlong,Long,Left,Sam Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.0,0.154,,,,,,,,,,,,,,,,,,,,,0.267,0.375
61,2023-09-05,716707,Grounded Into DP,grounded_into_double_play,True,676914,669674,Davis Schneider,Sam Long,0,0,1,e646ee04-6339-441e-ad6e-ba8119ff8cd1,669674.0,samlong,Long,Left,Sam Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,0.0,0.154,,,,,,,,,,,,,,,,,,,,,0.267,0.375
62,2023-09-05,716707,Flyout,field_out,True,691016,605135,Tyler Soderstrom,Chris Bassitt,0,0,0,ca6dbc21-43a6-43af-b152-65148641a2d8,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
63,2023-09-05,716707,Single,single,False,665923,605135,Esteury Ruiz,Chris Bassitt,0,0,0,0552eeed-0ce7-4b59-a308-d9ba349b3e7e,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
64,2023-09-05,716707,Single,single,False,669397,605135,Nick Allen,Chris Bassitt,0,0,1,36057c4e-0956-4360-85ea-172ae904dec3,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
65,2023-09-05,716707,Strikeout,strikeout,True,680869,605135,Zack Gelof,Chris Bassitt,0,0,0,6993e026-013e-4b7c-ab64-871d3aefdc4a,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
66,2023-09-05,716707,Groundout,field_out,True,643393,605135,Tony Kemp,Chris Bassitt,0,0,0,4ecc828b-db77-4f36-aec1-35f1a39e7d27,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.09300000000000001,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,75.6,70.7,0.333,0.197,0.189,0.192,92.0,104.0,98.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.153,0.033,-1.13,-3.07,2.11,87.8,82.6,91.9,0.22,0.274,0.227,0.375
67,2023-09-05,716707,Pop Out,field_out,True,665489,607359,Vladimir Guerrero Jr.,Spencer Patton,1,0,0,0ffd2aa1-908a-4ed1-96aa-4b646b1233b5,607359.0,spencerpatton,"Patton, S",Right,Spencer Patton,5.11,6.99,12.1,95.0,95.0,90.0,0.828,5.11,4.38,9.49,2.19,0.42,0.262,0.405,0.095,0.452,0.429,,,,,,,,82.0,95.0,88.0,112.0,93.0,92.0,0.537,0.434,,,-0.08,-2.27,,,91.3,81.4,,0.192,,,,26.0,104.0,108.0,,,,107.0,106.0,96.0,0.01,,0.02,,0.25,-38.94,,84.1,89.7,,,0.35,
68,2023-09-05,716707,Pop Out,field_out,True,593160,607359,Whit Merrifield,Spencer Patton,0,0,0,acfd418e-2ad8-417f-bfbd-659ff36da326,607359.0,spencerpatton,"Patton, S",Right,Spencer Patton,5.11,6.99,12.1,95.0,95.0,90.0,0.828,5.11,4.38,9.49,2.19,0.42,0.262,0.405,0.095,0.452,0.429,,,,,,,,82.0,95.0,88.0,112.0,93.0,92.0,0.537,0.434,,,-0.08,-2.27,,,91.3,81.4,,0.192,,,,26.0,104.0,108.0,,,,107.0,106.0,96.0,0.01,,0.02,,0.25,-38.94,,84.1,89.7,,,0.35,
69,2023-09-05,716707,Double,double,False,672386,607359,Alejandro Kirk,Spencer Patton,1,1,0,591f736a-ffba-4426-aa6a-53c3dc2aaabe,607359.0,spencerpatton,"Patton, S",Right,Spencer Patton,5.11,6.99,12.1,95.0,95.0,90.0,0.828,5.11,4.38,9.49,2.19,0.42,0.262,0.405,0.095,0.452,0.429,,,,,,,,82.0,95.0,88.0,112.0,93.0,92.0,0.537,0.434,,,-0.08,-2.27,,,91.3,81.4,,0.192,,,,26.0,104.0,108.0,,,,107.0,106.0,96.0,0.01,,0.02,,0.25,-38.94,,84.1,89.7,,,0.35,
70,2023-09-05,716707,Strikeout,strikeout,True,624415,607359,Cavan Biggio,Spencer Patton,0,0,0,662df712-880d-4423-9c8a-a2dca2fd7d51,607359.0,spencerpatton,"Patton, S",Right,Spencer Patton,5.11,6.99,12.1,95.0,95.0,90.0,0.828,5.11,4.38,9.49,2.19,0.42,0.262,0.405,0.095,0.452,0.429,,,,,,,,82.0,95.0,88.0,112.0,93.0,92.0,0.537,0.434,,,-0.08,-2.27,,,91.3,81.4,,0.192,,,,26.0,104.0,108.0,,,,107.0,106.0,96.0,0.01,,0.02,,0.25,-38.94,,84.1,89.7,,,0.35,
71,2023-09-05,716707,Strikeout,strikeout,True,676116,670102,Ryan Noda,Bowden Francis,0,0,0,5e4d01af-f61c-4034-8ba6-490c0edd1dbf,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,1.73,3.69,36.1,102.0,103.0,106.0,0.794,8.67,1.98,5.45,1.24,0.7,0.272,0.402,0.109,0.348,0.455,,,,,96.0,104.0,112.0,109.0,104.0,106.0,98.0,89.0,95.0,0.516,0.145,0.34,,2.17,1.43,1.68,,94.4,85.0,74.3,0.197,,,0.154,,,,,,,,,,,,,,,,,,,,,0.091,
72,2023-09-05,716707,Strikeout,strikeout,True,664913,670102,Seth Brown,Bowden Francis,0,0,0,89e94a1a-468a-4ba3-b196-881ab1e6fe43,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,1.73,3.69,36.1,102.0,103.0,106.0,0.794,8.67,1.98,5.45,1.24,0.7,0.272,0.402,0.109,0.348,0.455,,,,,96.0,104.0,112.0,109.0,104.0,106.0,98.0,89.0,95.0,0.516,0.145,0.34,,2.17,1.43,1.68,,94.4,85.0,74.3,0.197,,,0.154,,,,,,,,,,,,,,,,,,,,,0.091,
73,2023-09-05,716707,Strikeout,strikeout,True,672478,670102,Jordan Diaz,Bowden Francis,0,0,0,35d3c4cc-a11d-49a4-81f0-7ff85a8b5b09,670102.0,bowdenfrancis,Francis,Right,Bowden Francis,1.73,3.69,36.1,102.0,103.0,106.0,0.794,8.67,1.98,5.45,1.24,0.7,0.272,0.402,0.109,0.348,0.455,,,,,96.0,104.0,112.0,109.0,104.0,106.0,98.0,89.0,95.0,0.516,0.145,0.34,,2.17,1.43,1.68,,94.4,85.0,74.3,0.197,,,0.154,,,,,,,,,,,,,,,,,,,,,0.091,
