,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,CH_ba,SI_ba,FF_ba,CU_ba,FC_ba,SL_ba,ST_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FS_ba
0,2023-04-19,718508,Single,single,False,607043,592789,Brandon Nimmo,Noah Syndergaard,1,0,0,eb6def81-a128-40e3-a2cb-646896345376,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,43.0,87.0,84.0,0.261,0.18100000000000002,0.126,0.003,0.067,0.141,0.222,0.68,-0.49,1.25,-1.16,-2.33,-0.93,-2.71,92.2,89.5,87.7,92.3,85.0,77.9,0.286,0.363,0.208,0.233,0.333,0.24,,,,,,,,
1,2023-04-19,718508,Grounded Into DP,grounded_into_double_play,True,516782,592789,Starling Marte,Noah Syndergaard,1,0,1,f758afb1-8795-4786-bb03-cddcd8b497bd,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,43.0,87.0,84.0,0.261,0.18100000000000002,0.126,0.003,0.067,0.141,0.222,0.68,-0.49,1.25,-1.16,-2.33,-0.93,-2.71,92.2,89.5,87.7,92.3,85.0,77.9,0.286,0.363,0.208,0.233,0.333,0.24,,,,,,,,
2,2023-04-19,718508,Lineout,field_out,True,596019,592789,Francisco Lindor,Noah Syndergaard,0,0,0,48463a77-ca23-477b-a003-3985fb3c5269,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,43.0,87.0,84.0,0.261,0.18100000000000002,0.126,0.003,0.067,0.141,0.222,0.68,-0.49,1.25,-1.16,-2.33,-0.93,-2.71,92.2,89.5,87.7,92.3,85.0,77.9,0.286,0.363,0.208,0.233,0.333,0.24,,,,,,,,
3,2023-04-19,718508,Single,single,False,681546,453286,James Outman,Max Scherzer,0,0,0,63b59b4c-faa4-4a61-ac35-e716f8afdfba,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
4,2023-04-19,718508,Pop Out,field_out,True,518692,453286,Freddie Freeman,Max Scherzer,1,0,0,36a6aee7-733f-40ab-9fca-a74a5236f83c,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
5,2023-04-19,718508,Walk,walk,False,502110,453286,J.D. Martinez,Max Scherzer,1,0,1,9c23d699-ffe3-403b-9a3c-ccd99182e287,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
6,2023-04-19,718508,Walk,walk,False,571970,453286,Max Muncy,Max Scherzer,1,0,1,1f09af23-da2a-44f3-bd4b-c52028c4bdc6,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
7,2023-04-19,718508,Strikeout,strikeout,True,518792,453286,Jason Heyward,Max Scherzer,0,0,0,9a54c345-2fbe-46b9-a115-660bf73f4787,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
8,2023-04-19,718508,Forceout,force_out,True,678246,453286,Miguel Vargas,Max Scherzer,0,0,1,ad348642-09db-4f50-bc2c-4f981002ca33,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,,,,0.46299999999999997,0.10400000000000001,,0.168,0.124,0.141,0.72,2.12,,,-0.21,0.51,0.03,93.7,88.4,,,84.0,75.4,0.207,,0.255,0.187,0.135,0.25,,,,,,,,
9,2023-04-19,718508,Pop Out,field_out,True,624413,592789,Pete Alonso,Noah Syndergaard,0,0,0,4d6517af-e6e0-4085-a02d-7351fb7e3906,592789.0,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,6.5,6.48,88.2,104.0,80.0,99.0,0.8340000000000001,5.68,1.93,10.56,2.23,0.94,0.203,0.43799999999999994,0.147,0.363,0.46799999999999997,87.3,72.0,104.0,100.0,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,43.0,87.0,84.0,0.261,0.18100000000000002,0.126,0.003,0.067,0.141,0.222,0.68,-0.49,1.25,-1.16,-2.33,-0.93,-2.71,92.2,89.5,87.7,92.3,85.0,77.9,0.286,0.363,0.208,0.233,0.333,0.24,,,,,,,,
