,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vSL,FF_ba,ST_ba,CH_ba,FC_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,SI_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-09-02,716754,Home Run,home_run,False,650490,671106,Yandy Díaz,Logan Allen,0,0,0,57beb114-3a65-43f5-b758-5d99b5387b50,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-02,716754,Strikeout,strikeout,True,668227,671106,Randy Arozarena,Logan Allen,0,0,0,605535dc-0bc4-4129-aa45-f18150dcc0bd,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-02,716754,Lineout,field_out,True,664040,671106,Brandon Lowe,Logan Allen,0,0,0,f63e3719-c63b-4785-a56f-4161b84aba12,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-02,716754,Single,single,False,623912,671106,Harold Ramírez,Logan Allen,0,0,0,ad4d8615-c327-45dc-bfde-1cae4de42974,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-09-02,716754,Forceout,force_out,True,670623,671106,Isaac Paredes,Logan Allen,1,0,1,63458807-69bc-4a6d-b711-b30d2d982547,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-09-02,716754,Single,single,False,680757,641793,Steven Kwan,Zack Littell,1,0,0,096cc9d2-9307-4a6e-b25d-1ee45db25b98,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,0.57,,0.34,,94.1,,87.1,0.26,0.25,,,0.27,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.268,0.237,,,,,,,,,,,,,
6,2023-09-02,716754,Lineout,field_out,True,608070,641793,José Ramírez,Zack Littell,1,0,0,fc9dfbaa-ccd4-411b-ba16-8b77c7e742b6,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,0.57,,0.34,,94.1,,87.1,0.26,0.25,,,0.27,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.268,0.237,,,,,,,,,,,,,
7,2023-09-02,716754,Single,single,False,594777,641793,Kole Calhoun,Zack Littell,1,0,1,8088abba-49df-4b46-8727-ae6111795c7f,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,0.57,,0.34,,94.1,,87.1,0.26,0.25,,,0.27,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.268,0.237,,,,,,,,,,,,,
8,2023-09-02,716754,Single,single,False,657656,641793,Ramón Laureano,Zack Littell,0,0,1,477395b1-7d43-44ba-9298-d9477b3ec361,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,0.57,,0.34,,94.1,,87.1,0.26,0.25,,,0.27,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.268,0.237,,,,,,,,,,,,,
9,2023-09-02,716754,Groundout,field_out,True,665926,641793,Andrés Giménez,Zack Littell,0,0,1,e43ea650-90c1-4a72-b48c-9957f5acad0a,641793.0,zacklittell,Littell,Right,Zack Littell,4.1,4.24,90.0,105.0,92.0,105.0,0.8009999999999999,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,0.57,,0.34,,94.1,,87.1,0.26,0.25,,,0.27,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.268,0.237,,,,,,,,,,,,,
