,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,CH_ba,FC_ba,SI_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,FS_ba,ST_ba
0,2023-07-16,717381,Single,single,False,643289,542881,Mauricio Dubón,Tyler Anderson,0,0,0,303139a7-7d78-4b27-b8b5-dd0b65b16376,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
1,2023-07-16,717381,Walk,walk,False,608324,542881,Alex Bregman,Tyler Anderson,0,0,1,6ae55e1f-d03c-4b96-8151-903fd4b96023,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
2,2023-07-16,717381,Single,single,False,663656,542881,Kyle Tucker,Tyler Anderson,1,0,1,fbd83a46-003c-4cdb-b039-dea1c1b9950b,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
3,2023-07-16,717381,Pop Out,field_out,True,547989,542881,José Abreu,Tyler Anderson,1,0,0,affa5ae8-af12-4f40-8481-d3a56d116ffb,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
4,2023-07-16,717381,Single,single,False,676801,542881,Chas McCormick,Tyler Anderson,1,1,1,60cc10c8-becc-4431-ad74-f15206acb60e,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
5,2023-07-16,717381,Strikeout,strikeout,True,673237,542881,Yainer Diaz,Tyler Anderson,0,0,0,16cba013-7813-4c99-a2af-8c8bbab638fb,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
6,2023-07-16,717381,Groundout,field_out,True,676694,542881,Jake Meyers,Tyler Anderson,1,0,0,ffc83a01-7e95-40d2-b70f-4d04d28227ac,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
7,2023-07-16,717381,Strikeout,strikeout,True,687263,664299,Zach Neto,Cristian Javier,0,0,0,f9b981fc-19eb-4bd0-af6b-7dec509958ac,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
8,2023-07-16,717381,Lineout,field_out,True,660271,664299,Shohei Ohtani,Cristian Javier,1,0,0,277afcf1-f0f3-4eba-9e0f-e9b4c2edebcf,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
9,2023-07-16,717381,Flyout,field_out,True,666160,664299,Mickey Moniak,Cristian Javier,0,0,0,20a0c3dc-d718-4945-a6b7-cc3f0b2a7470,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
10,2023-07-16,717381,Double,double,False,666197,542881,Grae Kessinger,Tyler Anderson,1,0,0,4834589e-bf72-4ff6-891d-44d69fb7dba8,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
11,2023-07-16,717381,Strikeout,strikeout,True,455117,542881,Martín Maldonado,Tyler Anderson,0,0,0,d70d502c-be78-4519-a35c-f34ec4f36b72,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
12,2023-07-16,717381,Strikeout,strikeout,True,643289,542881,Mauricio Dubón,Tyler Anderson,0,0,0,92492a12-954a-4c35-b400-5b74e728d6ac,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
13,2023-07-16,717381,Flyout,field_out,True,608324,542881,Alex Bregman,Tyler Anderson,0,0,0,123c81c8-8043-41df-82d6-a16819d0a3b2,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.22399999999999998,0.001,0.006999999999999999,0.002,0.33799999999999997,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,0.08,90.1,85.1,90.1,88.5,78.1,72.9,0.301,0.238,0.239,0.36,0.2,,,,,,,,,
14,2023-07-16,717381,Flyout,field_out,True,621493,664299,Taylor Ward,Cristian Javier,1,0,0,45f096d1-b4d4-4a4a-a25a-66b987a9aec8,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
15,2023-07-16,717381,Home Run,home_run,False,519058,664299,Mike Moustakas,Cristian Javier,0,0,0,acb43527-110e-4809-a175-595df44d8d71,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
16,2023-07-16,717381,Strikeout,strikeout,True,642136,664299,Matt Thaiss,Cristian Javier,0,0,0,f0350a98-20e5-40de-9211-afd568120bdd,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
17,2023-07-16,717381,Walk,walk,False,592669,664299,Hunter Renfroe,Cristian Javier,1,0,0,1ee4bcf0-00c3-4e15-b300-0b90d8600bdd,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
18,2023-07-16,717381,Single,single,False,663550,664299,Trey Cabbage,Cristian Javier,0,0,1,a9640f8c-88b1-4d1d-8186-8103c3c0f1ab,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
19,2023-07-16,717381,Strikeout,strikeout,True,650859,664299,Luis Rengifo,Cristian Javier,0,0,0,e2fb4e33-be89-41aa-b1f3-0d06824158c6,664299.0,cristianjavier,Javier,Right,Cristian Javier,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.39899999999999997,83.7,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,,0.3,,0.040999999999999995,0.44,,,,-0.09,,-1.29,92.7,,,,79.5,,0.236,0.28,,,0.211,91.0,99.0,102.0,0.075,-1.17,76.6,0.268,,
