,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vSI,vSL,SI_ba,SL_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,ST_ba,CU_ba,FC%,wFC/C,vFC,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba
0,2023-08-03,717151,Single,single,False,682998,518397,Corbin Carroll,Scott Alexander,1,0,0,d50032e2-d089-46fc-abcc-989773bc249a,518397.0,scottalexander,Alexander,Left,Scott Alexander,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.17600000000000002,0.43,0.158,0.33299999999999996,0.465,85.9,68.0,92.0,87.0,84.0,101.0,97.0,110.0,103.0,103.0,0.758,0.16,0.08199999999999999,0.64,1.06,0.57,92.8,83.0,0.306,0.192,0.167,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-03,717151,Grounded Into DP,grounded_into_double_play,True,656896,518397,Emmanuel Rivera,Scott Alexander,0,0,1,00481362-3e9a-4481-9cde-d9e9dcc5f3cf,518397.0,scottalexander,Alexander,Left,Scott Alexander,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.17600000000000002,0.43,0.158,0.33299999999999996,0.465,85.9,68.0,92.0,87.0,84.0,101.0,97.0,110.0,103.0,103.0,0.758,0.16,0.08199999999999999,0.64,1.06,0.57,92.8,83.0,0.306,0.192,0.167,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-03,717151,Lineout,field_out,True,502054,518397,Tommy Pham,Scott Alexander,0,0,0,289aacf7-c61c-48a4-ab2c-172bfbb7b63a,518397.0,scottalexander,Alexander,Left,Scott Alexander,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.17600000000000002,0.43,0.158,0.33299999999999996,0.465,85.9,68.0,92.0,87.0,84.0,101.0,97.0,110.0,103.0,103.0,0.758,0.16,0.08199999999999999,0.64,1.06,0.57,92.8,83.0,0.306,0.192,0.167,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-03,717151,Strikeout,strikeout,True,664774,694297,LaMonte Wade Jr.,Brandon Pfaadt,0,0,0,8fbeff37-7afe-4e6d-8c73-42e8d43b55d3,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.27,0.122,-0.03,1.21,-3.66,93.1,83.8,0.313,,0.4,106.0,89.0,97.0,97.0,105.0,102.0,0.45399999999999996,0.055,-1.63,-1.24,93.6,78.8,0.327,0.18,0.294,,,,,,,
4,2023-08-03,717151,Groundout,field_out,True,592626,694297,Joc Pederson,Brandon Pfaadt,1,0,0,f0dbd40d-34f3-43ba-8e7d-96541164469e,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.27,0.122,-0.03,1.21,-3.66,93.1,83.8,0.313,,0.4,106.0,89.0,97.0,97.0,105.0,102.0,0.45399999999999996,0.055,-1.63,-1.24,93.6,78.8,0.327,0.18,0.294,,,,,,,
5,2023-08-03,717151,Groundout,field_out,True,605204,694297,J.D. Davis,Brandon Pfaadt,1,0,0,0730e8f7-6de4-4909-905f-0f5f8aaf0354,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.44299999999999995,0.14800000000000002,0.386,0.466,86.7,90.0,100.0,97.0,97.0,108.0,100.0,119.0,106.0,117.0,0.099,0.27,0.122,-0.03,1.21,-3.66,93.1,83.8,0.313,,0.4,106.0,89.0,97.0,97.0,105.0,102.0,0.45399999999999996,0.055,-1.63,-1.24,93.6,78.8,0.327,0.18,0.294,,,,,,,
6,2023-08-03,717151,Pop Out,field_out,True,572233,663941,Christian Walker,Tristan Beck,0,0,0,86fa4ce8-c2d7-4711-ab27-d82c553dda49,663941.0,tristanbeck,Beck,Right,Tristan Beck,3.92,3.71,85.0,99.0,102.0,101.0,0.782,7.2,2.22,8.79,1.06,1.03,0.243,0.384,0.152,0.312,0.43,86.6,75.0,84.0,78.0,,,,118.0,102.0,108.0,,0.55,0.004,,-0.35,-2.94,,85.5,,0.309,,88.0,97.0,98.0,85.0,96.0,93.0,0.36700000000000005,0.079,3.24,-2.73,94.7,79.2,0.17,0.25,0.385,,,,,,,
7,2023-08-03,717151,Strikeout,strikeout,True,666971,663941,Lourdes Gurriel Jr.,Tristan Beck,0,0,0,5d5eeaa6-ab01-4a95-ae2f-fc9602091af9,663941.0,tristanbeck,Beck,Right,Tristan Beck,3.92,3.71,85.0,99.0,102.0,101.0,0.782,7.2,2.22,8.79,1.06,1.03,0.243,0.384,0.152,0.312,0.43,86.6,75.0,84.0,78.0,,,,118.0,102.0,108.0,,0.55,0.004,,-0.35,-2.94,,85.5,,0.309,,88.0,97.0,98.0,85.0,96.0,93.0,0.36700000000000005,0.079,3.24,-2.73,94.7,79.2,0.17,0.25,0.385,,,,,,,
8,2023-08-03,717151,Single,single,False,672695,663941,Geraldo Perdomo,Tristan Beck,0,0,0,e110cf89-023d-4cee-b653-a1f117020833,663941.0,tristanbeck,Beck,Right,Tristan Beck,3.92,3.71,85.0,99.0,102.0,101.0,0.782,7.2,2.22,8.79,1.06,1.03,0.243,0.384,0.152,0.312,0.43,86.6,75.0,84.0,78.0,,,,118.0,102.0,108.0,,0.55,0.004,,-0.35,-2.94,,85.5,,0.309,,88.0,97.0,98.0,85.0,96.0,93.0,0.36700000000000005,0.079,3.24,-2.73,94.7,79.2,0.17,0.25,0.385,,,,,,,
9,2023-08-03,717151,Forceout,force_out,True,605113,663941,Nick Ahmed,Tristan Beck,0,0,1,d317d2f0-0cf2-4cf2-87e4-395544265169,663941.0,tristanbeck,Beck,Right,Tristan Beck,3.92,3.71,85.0,99.0,102.0,101.0,0.782,7.2,2.22,8.79,1.06,1.03,0.243,0.384,0.152,0.312,0.43,86.6,75.0,84.0,78.0,,,,118.0,102.0,108.0,,0.55,0.004,,-0.35,-2.94,,85.5,,0.309,,88.0,97.0,98.0,85.0,96.0,93.0,0.36700000000000005,0.079,3.24,-2.73,94.7,79.2,0.17,0.25,0.385,,,,,,,
