,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SI_ba,CH_ba,FF_ba,SL_ba,CU_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FS%,wFS/C,vFS,FS_ba,vSC (sc),SC%,wSC/C,SC_ba
0,2023-05-30,717963,Groundout,field_out,True,630105,645261,Jake Cronenworth,Sandy Alcantara,1,1,0,94188a2c-33df-4099-886e-2ff54d4b44aa,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
1,2023-05-30,717963,Strikeout,strikeout,True,665487,645261,Fernando Tatis Jr.,Sandy Alcantara,0,0,0,91790871-2737-4910-a381-223a680de926,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
2,2023-05-30,717963,Walk,walk,False,665742,645261,Juan Soto,Sandy Alcantara,1,0,0,dfe4aa17-7aec-43c6-a9f7-f9fc7c56942d,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
3,2023-05-30,717963,Single,single,False,593428,645261,Xander Bogaerts,Sandy Alcantara,0,0,1,536708ba-890d-42f1-b7f6-c075008dd053,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
4,2023-05-30,717963,Pop Out,field_out,True,596059,645261,Rougned Odor,Sandy Alcantara,0,0,0,bf767b47-ce5d-4bf7-ba43-2e4de3389604,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
5,2023-05-30,717963,Strikeout,strikeout,True,650559,677960,Bryan De La Cruz,Ryan Weathers,0,0,0,a310b63b-69ca-4e33-927d-bb59ff93306d,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,105.0,99.0,100.0,0.01,0.551,0.203,,0.23600000000000002,-1.58,9.15,-1.09,,-1.24,95.1,94.9,80.8,,0.0,0.304,0.35,,,0.229,,,,,,,,,,,,,,,
6,2023-05-30,717963,Walk,walk,False,624585,677960,Jorge Soler,Ryan Weathers,1,0,0,c1c6cde3-ac05-4192-8316-819283c9d95a,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,105.0,99.0,100.0,0.01,0.551,0.203,,0.23600000000000002,-1.58,9.15,-1.09,,-1.24,95.1,94.9,80.8,,0.0,0.304,0.35,,,0.229,,,,,,,,,,,,,,,
7,2023-05-30,717963,Grounded Into DP,grounded_into_double_play,True,650333,677960,Luis Arraez,Ryan Weathers,1,0,1,88769cc2-c9ef-4ee1-8f14-5e2cf479b08f,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,105.0,99.0,100.0,0.01,0.551,0.203,,0.23600000000000002,-1.58,9.15,-1.09,,-1.24,95.1,94.9,80.8,,0.0,0.304,0.35,,,0.229,,,,,,,,,,,,,,,
8,2023-05-30,717963,Flyout,field_out,True,572761,645261,Matt Carpenter,Sandy Alcantara,0,0,0,cc83fb2a-eedb-4b0f-8085-7d08fae60385,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
9,2023-05-30,717963,Groundout,field_out,True,596142,645261,Gary Sánchez,Sandy Alcantara,1,0,0,eaf701f7-32bf-4065-bc4f-21526a04de71,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
10,2023-05-30,717963,Single,single,False,663757,645261,Trent Grisham,Sandy Alcantara,0,0,0,9c9ab5ed-4157-4b26-a921-cb01cf6fddd2,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
11,2023-05-30,717963,Forceout,force_out,True,673490,645261,Ha-Seong Kim,Sandy Alcantara,0,0,1,05588277-fcea-4c9b-a72a-17a848618b85,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022000000000000002,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,97.6,89.9,86.1,0.237,0.282,0.253,0.227,0.308,,,,,,,,,,,,,,,,
12,2023-05-30,717963,Flyout,field_out,True,643265,677960,Garrett Cooper,Ryan Weathers,1,0,0,2bc65e1d-806f-4da7-a2f8-efb3fb145988,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,105.0,99.0,100.0,0.01,0.551,0.203,,0.23600000000000002,-1.58,9.15,-1.09,,-1.24,95.1,94.9,80.8,,0.0,0.304,0.35,,,0.229,,,,,,,,,,,,,,,
