,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,ST_ba,SI_ba,CH_ba,CU_ba,FC_ba,SL_ba,KC%,wKC/C,vKC
0,2023-04-17,718539,Field Error,field_error,False,543760,543475,Marcus Semien,Jordan Lyles,0,0,0,18fa9ad2-ddc7-40a0-abd1-568c278ee260,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
1,2023-04-17,718539,Single,single,False,608671,543475,Travis Jankowski,Jordan Lyles,0,0,1,4a73e8c4-468e-4819-a8fc-6a86a0ce88a0,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
2,2023-04-17,718539,Pop Out,field_out,True,663993,543475,Nathaniel Lowe,Jordan Lyles,0,0,0,dd8a1ab6-8d7b-4240-9236-a7f76fc610aa,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
3,2023-04-17,718539,Home Run,home_run,False,673962,543475,Josh Jung,Jordan Lyles,0,0,1,dc251cb8-fb28-4626-b06f-29b348315527,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
4,2023-04-17,718539,Walk,walk,False,641680,543475,Jonah Heim,Jordan Lyles,0,0,0,14ceec40-e9c1-454a-9213-a85e888e6ec0,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
5,2023-04-17,718539,Grounded Into DP,grounded_into_double_play,True,543257,543475,Robbie Grossman,Jordan Lyles,0,0,1,1942b93f-c060-43d7-af9d-3272518e0ef9,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
6,2023-04-17,718539,Groundout,field_out,True,677951,594798,Bobby Witt Jr.,Jacob deGrom,0,0,0,8d8aaef1-66f5-467d-8e38-4565a14c2260,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.33299999999999996,0.273,0.212,0.212,0.371,91.4,132.0,101.0,106.0,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,0.521,,0.37,0.02,0.08900000000000001,2.0,,,0.39,6.08,3.57,98.7,,,91.8,84.8,0.177,,,0.1,,,0.189,,,
7,2023-04-17,718539,Flyout,field_out,True,669004,594798,MJ Melendez,Jacob deGrom,1,0,0,8786b3ed-3c09-4050-bc18-ed47720a3961,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.33299999999999996,0.273,0.212,0.212,0.371,91.4,132.0,101.0,106.0,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,0.521,,0.37,0.02,0.08900000000000001,2.0,,,0.39,6.08,3.57,98.7,,,91.8,84.8,0.177,,,0.1,,,0.189,,,
8,2023-04-17,718539,Flyout,field_out,True,686469,594798,Vinnie Pasquantino,Jacob deGrom,0,0,0,3e57a8be-d3c4-4e22-8bda-71060a15a7c3,594798.0,jacobdegrom,deGrom,Right,Jacob deGrom,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.33299999999999996,0.273,0.212,0.212,0.371,91.4,132.0,101.0,106.0,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,0.521,,0.37,0.02,0.08900000000000001,2.0,,,0.39,6.08,3.57,98.7,,,91.8,84.8,0.177,,,0.1,,,0.189,,,
9,2023-04-17,718539,Pop Out,field_out,True,669701,543475,Josh Smith,Jordan Lyles,0,0,0,dd18884a-da54-4e80-9ffd-5ce7717461ec,543475.0,jordanlyles,Lyles,Right,Jordan Lyles,6.28,4.96,177.2,101.0,85.0,97.0,0.8170000000000001,6.08,2.28,8.92,1.98,0.69,0.217,0.46299999999999997,0.139,0.332,0.402,85.5,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-0.01,-1.31,-1.6,-1.66,91.2,86.8,90.5,80.2,79.4,0.227,0.28,0.248,0.26,0.238,0.314,,,,
