,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FS_ba,SI_ba,CU_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,FF_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-07-05,717490,Strikeout,strikeout,True,641487,502171,J.P. Crawford,Alex Cobb,0,0,0,41d019e5-9abb-4b59-90a4-e4603608bca8,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-05,717490,Single,single,False,677594,502171,Julio Rodríguez,Alex Cobb,1,0,0,7fd61d9c-5cb6-41f3-b69d-19689153a71d,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-05,717490,Grounded Into DP,grounded_into_double_play,True,606192,502171,Teoscar Hernández,Alex Cobb,1,0,1,a25f1e58-5db2-483b-aaa0-24733f4ac22d,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-05,717490,Walk,walk,False,596103,543548,Austin Slater,Tommy Milone,1,0,0,5e6f5e65-eb61-428a-baf0-65171de46917,543548.0,tommymilone,Milone,Left,Tommy Milone,2.0,5.52,9.0,109.0,86.0,104.0,0.857,3.0,6.0,7.0,1.0,0.67,0.19399999999999998,0.484,0.129,0.226,0.368,97.0,110.0,102.0,,,,83.0,94.0,96.0,,,,,,,,0.374,,0.19,,-0.67,,,3.12,,86.6,,,76.9,,,,,0.0,79.0,78.0,115.0,110.0,0.436,0.07,0.25,0.2,,,,,,,,,,,,,,
4,2023-07-05,717490,Flyout,field_out,True,527038,543548,Wilmer Flores,Tommy Milone,1,1,0,b3e2dd86-0cc5-46c8-a32a-f373708fba2c,543548.0,tommymilone,Milone,Left,Tommy Milone,2.0,5.52,9.0,109.0,86.0,104.0,0.857,3.0,6.0,7.0,1.0,0.67,0.19399999999999998,0.484,0.129,0.226,0.368,97.0,110.0,102.0,,,,83.0,94.0,96.0,,,,,,,,0.374,,0.19,,-0.67,,,3.12,,86.6,,,76.9,,,,,0.0,79.0,78.0,115.0,110.0,0.436,0.07,0.25,0.2,,,,,,,,,,,,,,
5,2023-07-05,717490,Flyout,field_out,True,664774,543548,LaMonte Wade Jr.,Tommy Milone,1,0,0,f0599de2-0ff4-41c4-a3d6-d7e789ea8a04,543548.0,tommymilone,Milone,Left,Tommy Milone,2.0,5.52,9.0,109.0,86.0,104.0,0.857,3.0,6.0,7.0,1.0,0.67,0.19399999999999998,0.484,0.129,0.226,0.368,97.0,110.0,102.0,,,,83.0,94.0,96.0,,,,,,,,0.374,,0.19,,-0.67,,,3.12,,86.6,,,76.9,,,,,0.0,79.0,78.0,115.0,110.0,0.436,0.07,0.25,0.2,,,,,,,,,,,,,,
6,2023-07-05,717490,Forceout,force_out,True,605204,543548,J.D. Davis,Tommy Milone,0,0,1,502d0826-b427-412e-b325-ddde72c6f857,543548.0,tommymilone,Milone,Left,Tommy Milone,2.0,5.52,9.0,109.0,86.0,104.0,0.857,3.0,6.0,7.0,1.0,0.67,0.19399999999999998,0.484,0.129,0.226,0.368,97.0,110.0,102.0,,,,83.0,94.0,96.0,,,,,,,,0.374,,0.19,,-0.67,,,3.12,,86.6,,,76.9,,,,,0.0,79.0,78.0,115.0,110.0,0.436,0.07,0.25,0.2,,,,,,,,,,,,,,
7,2023-07-05,717490,Strikeout,strikeout,True,645801,502171,Mike Ford,Alex Cobb,0,0,0,8942a009-18e0-419f-872e-7afda3b12328,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
8,2023-07-05,717490,Groundout,field_out,True,553993,502171,Eugenio Suárez,Alex Cobb,0,0,0,65ac99c0-ab5b-4b57-8685-eb0f5741303d,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
9,2023-07-05,717490,Single,single,False,672284,502171,Jarred Kelenic,Alex Cobb,0,0,0,30c2481d-5cfc-4889-85fd-0218aa41f04d,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,,,,,,,,,
