,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,SL_ba,CH_ba,FC_ba,SI_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,ST_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
39,2023-04-19,718510,Flyout,field_out,True,592663,621383,J.T. Realmuto,Tanner Banks,0,0,0,d36b59d1-b5b1-4e03-b522-5ab9d3f809e9,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
40,2023-04-19,718510,Strikeout,strikeout,True,664761,621383,Alec Bohm,Tanner Banks,0,0,0,b69e9ddb-7a0f-46de-8934-4fd8cc30ba2e,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
41,2023-04-19,718510,Strikeout,strikeout,True,693049,592836,Oscar Colás,Taijuan Walker,0,0,0,82491a42-fd6a-439b-9a2a-30eddf563b1a,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.026000000000000002,0.057,,-0.82,-0.44,0.53,-1.43,-1.07,,92.8,87.1,92.4,82.5,74.8,0.257,,,0.284,0.273,0.212,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.158,,,,,,
42,2023-04-19,718510,Groundout,field_out,True,672820,592836,Lenyn Sosa,Taijuan Walker,0,0,0,3d016ec5-6f96-4adc-83c6-aa0f015ec874,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.026000000000000002,0.057,,-0.82,-0.44,0.53,-1.43,-1.07,,92.8,87.1,92.4,82.5,74.8,0.257,,,0.284,0.273,0.212,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.158,,,,,,
43,2023-04-19,718510,Lineout,field_out,True,462101,592836,Elvis Andrus,Taijuan Walker,0,0,0,449a6265-6277-4b3c-aa4e-a086a0aff91c,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.026000000000000002,0.057,,-0.82,-0.44,0.53,-1.43,-1.07,,92.8,87.1,92.4,82.5,74.8,0.257,,,0.284,0.273,0.212,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.158,,,,,,
44,2023-04-19,718510,Flyout,field_out,True,595909,621383,Jake Cave,Tanner Banks,0,0,0,3190c59e-6d91-4dbd-bbd1-aa30cbcdaa74,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
45,2023-04-19,718510,Groundout,field_out,True,543281,621383,Josh Harrison,Tanner Banks,1,0,0,816a0268-cd11-482a-825e-b849be3de578,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
46,2023-04-19,718510,Single,single,False,681082,621383,Bryson Stott,Tanner Banks,1,0,0,0b5ac310-6abc-4c3d-8791-82226f94b72c,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
47,2023-04-19,718510,Lineout,field_out,True,607208,621383,Trea Turner,Tanner Banks,0,0,0,9c1eed5e-a462-412e-a495-5fabde9f9e01,621383.0,tannerbanks,Banks,Left,Tanner Banks,4.43,4.39,61.0,101.0,88.0,101.0,0.7879999999999999,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.10300000000000001,0.37,0.445,86.3,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.027999999999999997,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,91.4,86.3,80.9,0.291,0.225,0.162,,0.5,0.31,,,,,,,,,,,,,,
48,2023-04-19,718510,Groundout,field_out,True,643217,592836,Andrew Benintendi,Taijuan Walker,0,0,0,087877c9-a6bb-4c6f-85ed-99461bf356cf,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.026000000000000002,0.057,,-0.82,-0.44,0.53,-1.43,-1.07,,92.8,87.1,92.4,82.5,74.8,0.257,,,0.284,0.273,0.212,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.158,,,,,,
