,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vCU,vKC,ST_ba,FF_ba,SI_ba,CU_ba,FC_ba,CH_ba,SL_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-30,716784,Double,double,False,680757,543243,Steven Kwan,Sonny Gray,0,0,0,41d2ae2c-20a7-42c9-8d6a-0a830fa5848d,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
1,2023-08-30,716784,Strikeout,strikeout,True,608070,543243,José Ramírez,Sonny Gray,0,0,0,0f2960bd-a4b4-4bd8-baf6-3e7985346299,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
2,2023-08-30,716784,Groundout,field_out,True,594777,543243,Kole Calhoun,Sonny Gray,0,0,1,7dd3cbf8-70bf-419f-b21f-b427bf125af1,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
3,2023-08-30,716784,Strikeout,strikeout,True,657656,543243,Ramón Laureano,Sonny Gray,0,0,0,392c0e93-4fb5-404c-b647-ef910f79dbb2,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
4,2023-08-30,716784,Strikeout,strikeout,True,666397,676440,Edouard Julien,Tanner Bibee,0,0,0,56347c44-4150-4c66-9a0b-3576d4c39dbb,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,,,,0.47100000000000003,,0.27,0.09300000000000001,,0.166,0.6,,,1.35,-1.11,,1.07,94.9,,,84.7,78.3,,,0.243,,0.271,,0.213,0.206,,,,,,,
5,2023-08-30,716784,Walk,walk,False,593871,676440,Jorge Polanco,Tanner Bibee,0,0,0,c05a9fd7-449f-49d7-ad77-5fad3f20fd10,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,,,,0.47100000000000003,,0.27,0.09300000000000001,,0.166,0.6,,,1.35,-1.11,,1.07,94.9,,,84.7,78.3,,,0.243,,0.271,,0.213,0.206,,,,,,,
6,2023-08-30,716784,Strikeout,strikeout,True,621043,676440,Carlos Correa,Tanner Bibee,0,0,0,16417f04-0c44-4b52-bc16-9cdb7e845fc6,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,,,,0.47100000000000003,,0.27,0.09300000000000001,,0.166,0.6,,,1.35,-1.11,,1.07,94.9,,,84.7,78.3,,,0.243,,0.271,,0.213,0.206,,,,,,,
7,2023-08-30,716784,Strikeout,strikeout,True,596146,676440,Max Kepler,Tanner Bibee,0,0,0,efd7f881-a190-4c84-aeb7-cd33a33ae311,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.38299999999999995,0.168,0.302,0.42700000000000005,83.8,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,,,,0.47100000000000003,,0.27,0.09300000000000001,,0.166,0.6,,,1.35,-1.11,,1.07,94.9,,,84.7,78.3,,,0.243,,0.271,,0.213,0.206,,,,,,,
8,2023-08-30,716784,Strikeout,strikeout,True,665926,543243,Andrés Giménez,Sonny Gray,0,0,0,27fac337-97aa-49e6-a1ab-ea49c56ab5d0,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
9,2023-08-30,716784,Groundout,field_out,True,686823,543243,Will Brennan,Sonny Gray,0,0,0,cf44d0c6-c27c-46da-865e-c9822fb98441,543243.0,sonnygray,"Gray, So",Right,Sonny Gray,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.14300000000000002,0.3,0.42200000000000004,87.9,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.001,0.067,0.61,1.3,-0.46,3.25,0.87,-0.41,-0.63,92.9,87.6,92.8,84.3,79.6,72.9,0.096,0.301,0.275,0.257,0.265,0.27,,,,,,,,
