,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,FF_ba,CH_ba,SL_ba,ST_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,FC_ba,CU_ba
0,2023-05-10,718230,Flyout,field_out,True,657041,640455,Lane Thomas,Sean Manaea,1,0,0,fa9b457a-e892-4829-957e-3d058d346a3e,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
1,2023-05-10,718230,Strikeout,strikeout,True,671277,640455,Luis García Jr.,Sean Manaea,0,0,0,55c597ba-2c25-46c0-bb15-b93ca2e0a91c,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
2,2023-05-10,718230,Groundout,field_out,True,608841,640455,Joey Meneses,Sean Manaea,1,0,0,2644267a-e7db-4575-9774-dcffdae68c42,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
3,2023-05-10,718230,Flyout,field_out,True,664774,680686,LaMonte Wade Jr.,Josiah Gray,0,0,0,a288251a-90e0-4509-9aba-047a7306c4d0,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,88.6,44.0,96.0,90.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,0.17600000000000002,0.166,0.18100000000000002,0.299,0.016,-1.21,-0.09,0.15,-0.07,0.6,93.5,88.8,93.1,85.1,0.291,0.286,0.239,0.163,0.313,96.0,95.0,97.0,95.0,95.0,83.0,0.161,0.24,82.2,0.243,0.221
4,2023-05-10,718230,Groundout,field_out,True,592626,680686,Joc Pederson,Josiah Gray,0,0,0,5a91bdb6-4992-4fc8-89d2-e7af232c53eb,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,88.6,44.0,96.0,90.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,0.17600000000000002,0.166,0.18100000000000002,0.299,0.016,-1.21,-0.09,0.15,-0.07,0.6,93.5,88.8,93.1,85.1,0.291,0.286,0.239,0.163,0.313,96.0,95.0,97.0,95.0,95.0,83.0,0.161,0.24,82.2,0.243,0.221
5,2023-05-10,718230,Strikeout,strikeout,True,605204,680686,J.D. Davis,Josiah Gray,0,0,0,725c9126-76b9-4e8c-b096-63877e67ba29,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,88.6,44.0,96.0,90.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,0.17600000000000002,0.166,0.18100000000000002,0.299,0.016,-1.21,-0.09,0.15,-0.07,0.6,93.5,88.8,93.1,85.1,0.291,0.286,0.239,0.163,0.313,96.0,95.0,97.0,95.0,95.0,83.0,0.161,0.24,82.2,0.243,0.221
6,2023-05-10,718230,Strikeout,strikeout,True,600869,640455,Jeimer Candelario,Sean Manaea,0,0,0,ecf13899-6156-4d11-8990-7543b1184575,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
7,2023-05-10,718230,Walk,walk,False,669743,640455,Alex Call,Sean Manaea,1,0,0,2f1e0c75-aca6-4c2e-b536-2accc4f2d810,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
8,2023-05-10,718230,Single,single,False,642086,640455,Dominic Smith,Sean Manaea,1,0,1,e6120bbf-0dc9-4400-9a2c-28e6c0243039,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
9,2023-05-10,718230,Single,single,False,656448,640455,Stone Garrett,Sean Manaea,0,0,1,3d2a172e-ea7a-4c87-bb61-2b1a72ad3bcf,640455.0,seanmanaea,Manaea,Left,Sean Manaea,4.44,4.18,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.14300000000000002,0.305,0.44799999999999995,86.6,90.0,97.0,94.0,90.0,105.0,95.0,121.0,109.0,108.0,92.0,95.0,98.0,0.008,0.562,0.0,0.26,0.17,0.91,-5.8,-6.19,-0.93,1.06,93.6,90.3,94.0,82.3,0.235,0.224,0.317,0.122,0.4,,,,,,,,,,,
