,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,ST_ba,FS_ba
0,2023-07-21,717313,Groundout,field_out,True,660670,642547,Ronald Acuña Jr.,Freddy Peralta,0,0,0,b0c53dab-a164-4849-8ef4-ffbcb2776d51,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,82.4,76.9,0.213,0.203,0.214,0.224,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-21,717313,Groundout,field_out,True,645277,642547,Ozzie Albies,Freddy Peralta,0,0,0,247ad895-0bfc-4fa1-9cee-acce07eaad34,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,82.4,76.9,0.213,0.203,0.214,0.224,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-21,717313,Pop Out,field_out,True,663586,642547,Austin Riley,Freddy Peralta,0,0,0,6fabe2c2-27e9-4c96-afba-22ac00ef7580,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,82.4,76.9,0.213,0.203,0.214,0.224,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-21,717313,Double,double,False,592885,647336,Christian Yelich,Michael Soroka,0,0,0,28f1bea5-60d2-41b6-a324-ad5724895a7d,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,6.4,5.7,32.1,98.0,91.0,95.0,0.794,8.07,3.34,10.02,2.51,1.29,0.22,0.42,0.15,0.29,0.408,82.0,79.0,88.0,87.0,,,,85.0,104.0,96.0,115.0,96.0,102.0,0.324,0.266,,0.182,-1.72,-2.58,,-2.1,93.2,83.1,,0.271,0.36,,0.2,83.0,100.0,90.0,0.22699999999999998,1.07,92.5,0.286,,,,,,,,,,,,,,,
4,2023-07-21,717313,Double,double,False,661388,647336,William Contreras,Michael Soroka,0,0,1,1719c9b0-12de-4fbc-80b7-481e9ceb3392,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,6.4,5.7,32.1,98.0,91.0,95.0,0.794,8.07,3.34,10.02,2.51,1.29,0.22,0.42,0.15,0.29,0.408,82.0,79.0,88.0,87.0,,,,85.0,104.0,96.0,115.0,96.0,102.0,0.324,0.266,,0.182,-1.72,-2.58,,-2.1,93.2,83.1,,0.271,0.36,,0.2,83.0,100.0,90.0,0.22699999999999998,1.07,92.5,0.286,,,,,,,,,,,,,,,
5,2023-07-21,717313,Strikeout,strikeout,True,642715,647336,Willy Adames,Michael Soroka,0,0,0,6efb866a-fefa-4dbe-8a36-d44872fdbbd2,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,6.4,5.7,32.1,98.0,91.0,95.0,0.794,8.07,3.34,10.02,2.51,1.29,0.22,0.42,0.15,0.29,0.408,82.0,79.0,88.0,87.0,,,,85.0,104.0,96.0,115.0,96.0,102.0,0.324,0.266,,0.182,-1.72,-2.58,,-2.1,93.2,83.1,,0.271,0.36,,0.2,83.0,100.0,90.0,0.22699999999999998,1.07,92.5,0.286,,,,,,,,,,,,,,,
6,2023-07-21,717313,Single,single,True,608385,647336,Jesse Winker,Michael Soroka,0,0,1,f8b570a9-5da5-4724-9eba-43aa1aa51ed8,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,6.4,5.7,32.1,98.0,91.0,95.0,0.794,8.07,3.34,10.02,2.51,1.29,0.22,0.42,0.15,0.29,0.408,82.0,79.0,88.0,87.0,,,,85.0,104.0,96.0,115.0,96.0,102.0,0.324,0.266,,0.182,-1.72,-2.58,,-2.1,93.2,83.1,,0.271,0.36,,0.2,83.0,100.0,90.0,0.22699999999999998,1.07,92.5,0.286,,,,,,,,,,,,,,,
7,2023-07-21,717313,Groundout,field_out,True,605170,647336,Victor Caratini,Michael Soroka,0,0,0,2a4b10a1-3e76-45d9-b527-af6337ecb13c,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,6.4,5.7,32.1,98.0,91.0,95.0,0.794,8.07,3.34,10.02,2.51,1.29,0.22,0.42,0.15,0.29,0.408,82.0,79.0,88.0,87.0,,,,85.0,104.0,96.0,115.0,96.0,102.0,0.324,0.266,,0.182,-1.72,-2.58,,-2.1,93.2,83.1,,0.271,0.36,,0.2,83.0,100.0,90.0,0.22699999999999998,1.07,92.5,0.286,,,,,,,,,,,,,,,
8,2023-07-21,717313,Walk,walk,False,621566,642547,Matt Olson,Freddy Peralta,0,0,0,dc320cd8-9fb5-4946-afa2-cd176399e4c5,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,82.4,76.9,0.213,0.203,0.214,0.224,,,,,,,,,,,,,,,,,,,,,,
9,2023-07-21,717313,Single,single,False,669221,642547,Sean Murphy,Freddy Peralta,1,1,1,006c144c-6380-4646-b103-5bcd7755004d,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,82.4,76.9,0.213,0.203,0.214,0.224,,,,,,,,,,,,,,,,,,,,,,
