,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,SI%,wSI/C,vSI,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SI_ba,FC_ba
0,2023-09-12,716614,Pop Out,field_out,True,643393,434378,Tony Kemp,Justin Verlander,0,0,0,d32a018f-a8ee-498c-897f-43161aebf277,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
1,2023-09-12,716614,Double,double,False,680869,434378,Zack Gelof,Justin Verlander,1,0,0,7d84076c-7216-49a1-9d1a-637cf51d72fc,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
2,2023-09-12,716614,Single,single,False,676116,434378,Ryan Noda,Justin Verlander,0,0,1,20afc41b-916e-4c6b-a6f9-0ce8562eb13c,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
3,2023-09-12,716614,Strikeout,strikeout,True,664913,434378,Seth Brown,Justin Verlander,0,0,0,0e6f5037-ade8-40f7-ae08-1c8a0b73f79f,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
4,2023-09-12,716614,Home Run,home_run,False,669127,434378,Shea Langeliers,Justin Verlander,0,0,1,68cac10f-179f-4457-98a2-0a198dc1ea5b,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
5,2023-09-12,716614,Groundout,field_out,True,671732,434378,Lawrence Butler,Justin Verlander,1,0,0,c7b5946c-31a8-4a9c-8ccb-27ad2251b45d,434378.0,justinverlander,Verlander,Right,Justin Verlander,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.23199999999999998,0.43799999999999994,0.168,0.307,0.433,85.2,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,127.0,112.0,111.0,0.5,0.253,0.2,0.047,0.89,0.97,0.43,-0.23,94.3,86.9,78.2,0.235,0.201,0.241,0.214,,,,,,,,,,,,,,,
6,2023-09-12,716614,Single,single,False,514888,676664,Jose Altuve,JP Sears,1,0,0,8e84dc65-925c-4e71-88f3-9eea0641dcd5,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.34600000000000003,,0.151,-0.84,-0.06,,0.36,93.1,81.4,,0.256,0.21,,0.277,0.001,0.63,92.1,0.234,,,,,,,,,,,
7,2023-09-12,716614,Flyout,field_out,True,665161,676664,Jeremy Peña,JP Sears,0,0,0,377a6ba0-050c-481c-82db-0339429dbd72,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.34600000000000003,,0.151,-0.84,-0.06,,0.36,93.1,81.4,,0.256,0.21,,0.277,0.001,0.63,92.1,0.234,,,,,,,,,,,
8,2023-09-12,716614,Single,single,False,670541,676664,Yordan Alvarez,JP Sears,0,0,1,62e0bcf7-7a2b-4a5d-b54d-44e4bbe8f6e7,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.34600000000000003,,0.151,-0.84,-0.06,,0.36,93.1,81.4,,0.256,0.21,,0.277,0.001,0.63,92.1,0.234,,,,,,,,,,,
9,2023-09-12,716614,Walk,walk,False,608324,676664,Alex Bregman,JP Sears,0,0,1,bf3c989d-7c25-4103-ad53-c5de1356f59b,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.34600000000000003,,0.151,-0.84,-0.06,,0.36,93.1,81.4,,0.256,0.21,,0.277,0.001,0.63,92.1,0.234,,,,,,,,,,,
