,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CU_ba,SL_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,SI_ba,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
31,2023-05-01,718349,Groundout,field_out,True,660688,592767,Keibert Ruiz,Drew Smyly,0,0,0,a33aa934-f768-4c80-8b86-f32793595366,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
32,2023-05-01,718349,Groundout,field_out,True,657041,592767,Lane Thomas,Drew Smyly,0,0,0,34b6be6c-261a-47e8-9e05-4696deec04cf,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
33,2023-05-01,718349,Single,single,False,663538,669022,Nico Hoerner,MacKenzie Gore,1,1,0,8009c175-4519-4456-9bfa-6dcaba04fd65,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,0.279,0.257,0.213,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2023-05-01,718349,Home Run,home_run,False,621020,669022,Dansby Swanson,MacKenzie Gore,0,0,1,80cdf6da-2c10-4029-9af5-2d24477a0cc5,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,0.279,0.257,0.213,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2023-05-01,718349,Walk,walk,False,641355,669022,Cody Bellinger,MacKenzie Gore,1,0,0,4abee46e-b5c0-4999-b66c-0297ab9ec2f7,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,4.42,5.2,136.1,97.0,100.0,101.0,0.7490000000000001,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,86.5,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.028999999999999998,-0.27,0.77,-0.85,1.1,95.0,88.5,83.2,0.279,0.257,0.213,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2023-05-01,718349,Pop Out,field_out,True,673548,666168,Seiya Suzuki,Mason Thompson,0,0,0,9c34de6e-58d6-4ef2-aaf7-d24969ef3238,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,104.0,104.0,106.0,0.06,0.285,0.084,0.002,-0.68,2.35,-2.96,1.86,94.6,84.7,80.5,0.2,0.353,0.14,,106.0,94.0,94.0,,,,,,,0.569,,,,-1.59,,,94.7,,0.369,,,,,,,,,
37,2023-05-01,718349,Strikeout,strikeout,True,641820,666168,Trey Mancini,Mason Thompson,0,0,0,dd1ae85e-428a-4ea7-97c2-fe1c33022aba,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,104.0,104.0,106.0,0.06,0.285,0.084,0.002,-0.68,2.35,-2.96,1.86,94.6,84.7,80.5,0.2,0.353,0.14,,106.0,94.0,94.0,,,,,,,0.569,,,,-1.59,,,94.7,,0.369,,,,,,,,,
38,2023-05-01,718349,Strikeout,strikeout,True,621550,666168,Patrick Wisdom,Mason Thompson,0,0,0,c1d1a406-e668-421b-88cf-4640e8c8d103,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,104.0,104.0,106.0,0.06,0.285,0.084,0.002,-0.68,2.35,-2.96,1.86,94.6,84.7,80.5,0.2,0.353,0.14,,106.0,94.0,94.0,,,,,,,0.569,,,,-1.59,,,94.7,,0.369,,,,,,,,,
39,2023-05-01,718349,Double,double,False,642086,592767,Dominic Smith,Drew Smyly,0,0,0,f9f715e0-076c-4250-91c2-ac0ad85229d4,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
40,2023-05-01,718349,Groundout,field_out,True,645302,592767,Victor Robles,Drew Smyly,0,0,0,1055567b-b201-4e72-8acc-9516ebf7da74,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
41,2023-05-01,718349,Pop Out,field_out,True,682928,592767,CJ Abrams,Drew Smyly,1,0,0,e36d6bc2-ca20-4b64-9e9b-c14de1cf0759,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
42,2023-05-01,718349,Pop Out,field_out,True,669743,592767,Alex Call,Drew Smyly,0,0,0,dc7619fd-2b87-4fc4-bfae-707713005139,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
43,2023-05-01,718349,Strikeout,strikeout,True,571466,663658,Tucker Barnhart,Thaddeus Ward,0,0,0,ac8e8454-9b80-41ed-b8d8-592c075d0eec,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
44,2023-05-01,718349,Single,single,False,664023,663658,Ian Happ,Thaddeus Ward,1,0,0,a2dae511-c2ec-4c55-85c0-76edad75da48,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
45,2023-05-01,718349,Groundout,field_out,True,663611,663658,Nick Madrigal,Thaddeus Ward,0,0,1,dd1131eb-0fe9-4119-9562-fc0d35650912,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
46,2023-05-01,718349,Single,single,False,671277,592767,Luis García Jr.,Drew Smyly,0,0,0,be7b3298-69e1-4466-9cdb-cb0a6ba889dc,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
47,2023-05-01,718349,Strikeout,strikeout,True,600869,592767,Jeimer Candelario,Drew Smyly,0,0,0,f6689eb1-2079-417d-b0c7-71221ef52500,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
