,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,FF_ba,CU_ba,CH_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-09-01,716771,Single,single,False,650333,663623,Luis Arraez,Jake Irvin,1,0,0,aa024ae8-b163-49aa-a0c9-c672d913a545,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-01,716771,Groundout,field_out,True,605137,663623,Josh Bell,Jake Irvin,0,0,1,5dac238c-7edb-4c00-aef0-c2f370792640,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-01,716771,Strikeout,strikeout,True,669394,663623,Jake Burger,Jake Irvin,0,0,0,c1912e0f-049f-4da9-9001-62c2f2ca4d4c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-01,716771,Single,single,False,665862,663623,Jazz Chisholm Jr.,Jake Irvin,0,0,1,7841cf00-4e98-4afa-850f-145c8709193b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-09-01,716771,Pop Out,field_out,True,650559,663623,Bryan De La Cruz,Jake Irvin,0,0,0,97ce9a61-28ee-4348-b448-2d68fe8ce795,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-09-01,716771,Home Run,home_run,False,682928,691587,CJ Abrams,Eury Pérez,1,0,0,b8b18f86-a88a-4683-9def-ce7d8195e1ae,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,89.7,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,,0.45399999999999996,0.14,0.098,-0.47,,1.89,0.99,97.5,,81.2,,0.289,0.098,0.045,101.0,102.0,107.0,0.308,0.99,86.4,0.183,,,,,,,,,,,,,,,,,,,,
6,2023-09-01,716771,Strikeout,strikeout,True,657041,691587,Lane Thomas,Eury Pérez,0,0,0,e664a24c-1980-4d86-a18c-e7661d51dccb,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,89.7,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,,0.45399999999999996,0.14,0.098,-0.47,,1.89,0.99,97.5,,81.2,,0.289,0.098,0.045,101.0,102.0,107.0,0.308,0.99,86.4,0.183,,,,,,,,,,,,,,,,,,,,
7,2023-09-01,716771,Walk,walk,False,608841,691587,Joey Meneses,Eury Pérez,1,0,0,35e27334-e7a1-47ba-aa56-604e35cffc9b,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,89.7,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,,0.45399999999999996,0.14,0.098,-0.47,,1.89,0.99,97.5,,81.2,,0.289,0.098,0.045,101.0,102.0,107.0,0.308,0.99,86.4,0.183,,,,,,,,,,,,,,,,,,,,
8,2023-09-01,716771,Strikeout,strikeout,True,660688,691587,Keibert Ruiz,Eury Pérez,0,0,0,8927ea45-c21d-4cf9-99fe-778b26667964,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,89.7,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,,0.45399999999999996,0.14,0.098,-0.47,,1.89,0.99,97.5,,81.2,,0.289,0.098,0.045,101.0,102.0,107.0,0.308,0.99,86.4,0.183,,,,,,,,,,,,,,,,,,,,
9,2023-09-01,716771,Walk,walk,False,663905,691587,Travis Blankenhorn,Eury Pérez,1,0,1,377eb855-82a7-4c54-88ec-b149a6693829,691587.0,euryperez,"Pérez, Eu",Right,Eury Pérez,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.20600000000000002,0.46399999999999997,0.159,0.391,0.40700000000000003,89.7,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,,0.45399999999999996,0.14,0.098,-0.47,,1.89,0.99,97.5,,81.2,,0.289,0.098,0.045,101.0,102.0,107.0,0.308,0.99,86.4,0.183,,,,,,,,,,,,,,,,,,,,
