,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,ST_ba
46,2023-05-04,718316,Sac Fly,sac_fly,True,662139,678394,Daulton Varsho,Brayan Bello,1,1,1,423b7b12-4aa5-4328-bd97-5158e9cf9a21,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
47,2023-05-04,718316,Lineout,field_out,True,656305,678394,Matt Chapman,Brayan Bello,0,0,0,e0e116a3-96b8-4a21-aef3-78cc61016548,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
48,2023-05-04,718316,Groundout,field_out,True,571771,641835,Enrique Hernández,Tim Mayza,1,0,0,21e2f28f-fd36-4034-9d36-a3aa6e37181d,641835.0,timmayza,Mayza,Left,Tim Mayza,1.52,3.38,53.1,102.0,111.0,102.0,0.794,8.94,2.53,8.44,0.34,3.04,0.259,0.42200000000000004,0.19699999999999998,0.299,0.39299999999999996,,,,,,,,102.0,102.0,100.0,141.0,100.0,108.0,,,,0.764,0.001,,0.235,,-3.64,,1.27,1.01,,90.6,,93.4,86.2,0.26,,,0.231,,,,,,,,,,,,,,,,
49,2023-05-04,718316,Single,single,False,624512,641835,Reese McGuire,Tim Mayza,0,0,0,8029ea56-dd47-45d3-83a2-269eca5481c5,641835.0,timmayza,Mayza,Left,Tim Mayza,1.52,3.38,53.1,102.0,111.0,102.0,0.794,8.94,2.53,8.44,0.34,3.04,0.259,0.42200000000000004,0.19699999999999998,0.299,0.39299999999999996,,,,,,,,102.0,102.0,100.0,141.0,100.0,108.0,,,,0.764,0.001,,0.235,,-3.64,,1.27,1.01,,90.6,,93.4,86.2,0.26,,,0.231,,,,,,,,,,,,,,,,
50,2023-05-04,718316,Strikeout,strikeout,True,606132,641835,Raimel Tapia,Tim Mayza,0,0,0,1b96fb66-4d15-4796-b9e3-83d1fa6e0516,641835.0,timmayza,Mayza,Left,Tim Mayza,1.52,3.38,53.1,102.0,111.0,102.0,0.794,8.94,2.53,8.44,0.34,3.04,0.259,0.42200000000000004,0.19699999999999998,0.299,0.39299999999999996,,,,,,,,102.0,102.0,100.0,141.0,100.0,108.0,,,,0.764,0.001,,0.235,,-3.64,,1.27,1.01,,90.6,,93.4,86.2,0.26,,,0.231,,,,,,,,,,,,,,,,
51,2023-05-04,718316,Groundout,field_out,True,807799,641835,Masataka Yoshida,Tim Mayza,0,0,0,b7040363-d086-4110-bc58-30359cc645b9,641835.0,timmayza,Mayza,Left,Tim Mayza,1.52,3.38,53.1,102.0,111.0,102.0,0.794,8.94,2.53,8.44,0.34,3.04,0.259,0.42200000000000004,0.19699999999999998,0.299,0.39299999999999996,,,,,,,,102.0,102.0,100.0,141.0,100.0,108.0,,,,0.764,0.001,,0.235,,-3.64,,1.27,1.01,,90.6,,93.4,86.2,0.26,,,0.231,,,,,,,,,,,,,,,,
52,2023-05-04,718316,Groundout,field_out,True,672386,657514,Alejandro Kirk,Brennan Bernardino,0,0,0,effd28f7-ca07-4a91-962a-d4f839c63c8a,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,,,,,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,
53,2023-05-04,718316,Groundout,field_out,True,643376,657514,Danny Jansen,Brennan Bernardino,0,0,0,71f22161-c8ce-4ae4-bcc7-23fe139b9d49,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,,,,,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,
54,2023-05-04,718316,Groundout,field_out,True,593160,657514,Whit Merrifield,Brennan Bernardino,1,1,0,4cc29e91-f3e6-4a21-acee-3c77862de38f,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,,,,,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,
55,2023-05-04,718316,Flyout,field_out,True,457759,657024,Justin Turner,Erik Swanson,1,0,0,e9e05e73-f289-411a-afc2-4549f6961e76,657024.0,erikswanson,"Swanson, E",Right,Erik Swanson,2.97,3.04,66.2,98.0,99.0,102.0,0.691,10.13,2.84,7.02,1.08,0.87,0.24100000000000002,0.428,0.127,0.325,0.40399999999999997,,,,,87.0,98.0,94.0,,,,89.0,93.0,95.0,,,,,0.34600000000000003,,0.179,,-0.4,,,-0.56,,93.7,,,86.6,,,0.267,0.423,,111.0,100.0,109.0,0.475,3.04,85.1,0.162,,,,,,,,
