,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,CH_ba,SI_ba,ST_ba,FF_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,KC%,wFC/C,wCU/C,wKC/C,vFC,vCU,vKC,SL_ba,FC_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-13,717008,Single,single,False,543760,657277,Marcus Semien,Logan Webb,1,0,0,40cb7ef2-c55d-4f33-ac60-3b800ff94afd,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-13,717008,Single,single,False,608369,657277,Corey Seager,Logan Webb,0,0,1,14fab9f2-3469-43fc-b612-8d92e180bb10,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-13,717008,Forceout,force_out,True,663993,657277,Nathaniel Lowe,Logan Webb,0,0,1,8da99189-1113-4b10-ae60-009bda0709d4,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-13,717008,Strikeout,strikeout,True,666969,657277,Adolis García,Logan Webb,0,0,0,3c158d35-a743-46b1-b6ee-8cf2e66b951c,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-13,717008,Groundout,field_out,True,641680,657277,Jonah Heim,Logan Webb,0,0,0,9559dd67-9f2c-4975-91a4-c564fc6c38ce,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-13,717008,Lineout,field_out,True,664774,641540,LaMonte Wade Jr.,Dane Dunning,0,0,0,ff4eda68-902f-44ab-8b0c-05f12d1660e3,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,0.331,0.032,0.23399999999999999,0.156,-3.75,1.37,0.14,-0.87,90.5,91.0,82.1,0.301,0.246,,0.294,78.0,82.0,84.0,90.0,100.0,95.0,0.2,0.016,0.032,0.82,-3.56,-0.43,88.9,78.1,77.5,0.212,0.258,0.25,,,,,,,
6,2023-08-13,717008,Strikeout,strikeout,True,642731,641540,Thairo Estrada,Dane Dunning,0,0,0,255a0817-59ad-48a1-a5cf-85225d629839,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,0.331,0.032,0.23399999999999999,0.156,-3.75,1.37,0.14,-0.87,90.5,91.0,82.1,0.301,0.246,,0.294,78.0,82.0,84.0,90.0,100.0,95.0,0.2,0.016,0.032,0.82,-3.56,-0.43,88.9,78.1,77.5,0.212,0.258,0.25,,,,,,,
7,2023-08-13,717008,Single,single,False,592626,641540,Joc Pederson,Dane Dunning,1,0,0,92370ecc-a61f-4b60-8832-7a2c238848ec,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,0.331,0.032,0.23399999999999999,0.156,-3.75,1.37,0.14,-0.87,90.5,91.0,82.1,0.301,0.246,,0.294,78.0,82.0,84.0,90.0,100.0,95.0,0.2,0.016,0.032,0.82,-3.56,-0.43,88.9,78.1,77.5,0.212,0.258,0.25,,,,,,,
8,2023-08-13,717008,Strikeout,strikeout,True,672275,641540,Patrick Bailey,Dane Dunning,0,0,0,563c00bc-7324-4dd1-8909-3e58ac034aab,641540.0,danedunning,Dunning,Right,Dane Dunning,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.44299999999999995,0.146,0.315,0.415,85.7,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,0.331,0.032,0.23399999999999999,0.156,-3.75,1.37,0.14,-0.87,90.5,91.0,82.1,0.301,0.246,,0.294,78.0,82.0,84.0,90.0,100.0,95.0,0.2,0.016,0.032,0.82,-3.56,-0.43,88.9,78.1,77.5,0.212,0.258,0.25,,,,,,,
9,2023-08-13,717008,Groundout,field_out,True,679881,657277,J.P. Martínez,Logan Webb,1,0,0,6bdf0a5b-5050-4bde-bc57-7316f361a28e,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,,,,
