,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FS_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,CH%,wFC/C,wSI/C,wKC/C,wCH/C,vFC,vSI,vKC,CU_ba,FC_ba,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba
0,2023-08-03,717150,Strikeout,strikeout,True,668939,592332,Adley Rutschman,Kevin Gausman,0,0,0,b136f852-9136-40f2-b80a-5c74fdbdd96a,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.10800000000000001,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.201,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-03,717150,Groundout,field_out,True,683002,592332,Gunnar Henderson,Kevin Gausman,0,0,0,14744d2b-43c9-4e00-b018-0e8df892c5d7,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.10800000000000001,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.201,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-03,717150,Strikeout,strikeout,True,623993,592332,Anthony Santander,Kevin Gausman,0,0,0,87691616-a017-4613-9f4a-dd7ffed8897a,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.10800000000000001,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.201,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-03,717150,Single,single,False,593160,656427,Whit Merrifield,Jack Flaherty,0,0,0,845a2a41-f65e-4af8-8fbf-4ad73e88bfca,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.41700000000000004,,0.24600000000000002,-0.44,,-1.15,93.1,,84.2,0.29,,0.339,85.3,68.0,89.0,84.0,75.0,82.0,71.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.091,0.19399999999999998,0.033,-1.05,-2.28,0.23,0.86,88.7,90.1,76.2,0.204,0.318,0.154,0.333,,,,,,,
4,2023-08-03,717150,Walk,walk,False,474832,656427,Brandon Belt,Jack Flaherty,1,0,1,a0a7cc28-be07-42ef-a903-3e8a335be058,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.41700000000000004,,0.24600000000000002,-0.44,,-1.15,93.1,,84.2,0.29,,0.339,85.3,68.0,89.0,84.0,75.0,82.0,71.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.091,0.19399999999999998,0.033,-1.05,-2.28,0.23,0.86,88.7,90.1,76.2,0.204,0.318,0.154,0.333,,,,,,,
5,2023-08-03,717150,Lineout,field_out,True,665489,656427,Vladimir Guerrero Jr.,Jack Flaherty,0,0,1,0b8a7d8b-1756-494c-a3b5-ed91bb957294,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.41700000000000004,,0.24600000000000002,-0.44,,-1.15,93.1,,84.2,0.29,,0.339,85.3,68.0,89.0,84.0,75.0,82.0,71.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.091,0.19399999999999998,0.033,-1.05,-2.28,0.23,0.86,88.7,90.1,76.2,0.204,0.318,0.154,0.333,,,,,,,
6,2023-08-03,717150,Strikeout,strikeout,True,543807,656427,George Springer,Jack Flaherty,0,0,0,1fe91b2d-8882-4b82-a3d7-bdb4756206e5,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.41700000000000004,,0.24600000000000002,-0.44,,-1.15,93.1,,84.2,0.29,,0.339,85.3,68.0,89.0,84.0,75.0,82.0,71.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.091,0.19399999999999998,0.033,-1.05,-2.28,0.23,0.86,88.7,90.1,76.2,0.204,0.318,0.154,0.333,,,,,,,
7,2023-08-03,717150,Strikeout,strikeout,True,656305,656427,Matt Chapman,Jack Flaherty,0,0,0,d6b16b3d-b232-4113-9eb9-60c542037e2c,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.41700000000000004,,0.24600000000000002,-0.44,,-1.15,93.1,,84.2,0.29,,0.339,85.3,68.0,89.0,84.0,75.0,82.0,71.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.091,0.19399999999999998,0.033,-1.05,-2.28,0.23,0.86,88.7,90.1,76.2,0.204,0.318,0.154,0.333,,,,,,,
8,2023-08-03,717150,Groundout,field_out,True,656811,592332,Ryan O'Hearn,Kevin Gausman,1,1,0,bcc5ca86-c3b0-45f3-be82-e118e0391a44,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.10800000000000001,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.201,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-08-03,717150,Single,single,False,663624,592332,Ryan Mountcastle,Kevin Gausman,1,0,0,6be19061-b71d-4727-bd38-40e1265a1195,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.10800000000000001,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.201,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
