,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,CH_ba,SI_ba,FF_ba,CU_ba,Stf+ SL,Loc+ SL,Pit+ SL,FC%,SL%,wFC/C,wSL/C,vFC,vSL,ST_ba,SL_ba,FC_ba,Stf+ FC,Loc+ FC,Pit+ FC,EP%,wEP/C,vEP,KC%,wKC/C,vKC
0,2023-08-04,717141,Flyout,field_out,True,660670,543294,Ronald Acuña Jr.,Kyle Hendricks,1,0,0,a9a08354-fdd4-40a3-8677-9d806a044390,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
1,2023-08-04,717141,Strikeout,strikeout,True,645277,543294,Ozzie Albies,Kyle Hendricks,0,0,0,09b6a783-0d5c-4899-b799-179581af4560,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
2,2023-08-04,717141,Strikeout,strikeout,True,663586,543294,Austin Riley,Kyle Hendricks,0,0,0,cdd35902-1c9a-42ec-a1f2-d2395e7d964b,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
3,2023-08-04,717141,Flyout,field_out,True,663611,608331,Nick Madrigal,Max Fried,1,1,0,0c1479dc-04a0-41b7-90be-b7519f45e59a,608331.0,maxfried,Fried,Left,Max Fried,2.55,2.75,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.39299999999999996,0.147,0.242,0.379,86.2,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,0.11699999999999999,0.332,0.231,0.165,0.71,-0.71,2.64,1.75,94.0,93.5,74.2,0.232,0.302,0.291,0.109,105.0,98.0,105.0,0.044000000000000004,0.11,1.44,-0.19,87.5,83.6,0.154,0.4,0.091,,,,,,,,,
4,2023-08-04,717141,Strikeout,strikeout,True,621020,608331,Dansby Swanson,Max Fried,0,0,0,50b054af-0ebe-4e7b-a009-2bbecc0107b9,608331.0,maxfried,Fried,Left,Max Fried,2.55,2.75,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.39299999999999996,0.147,0.242,0.379,86.2,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,0.11699999999999999,0.332,0.231,0.165,0.71,-0.71,2.64,1.75,94.0,93.5,74.2,0.232,0.302,0.291,0.109,105.0,98.0,105.0,0.044000000000000004,0.11,1.44,-0.19,87.5,83.6,0.154,0.4,0.091,,,,,,,,,
5,2023-08-04,717141,Groundout,field_out,True,664023,608331,Ian Happ,Max Fried,0,0,0,d92108af-3bc8-4c98-bf84-7e613ea31df1,608331.0,maxfried,Fried,Left,Max Fried,2.55,2.75,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.39299999999999996,0.147,0.242,0.379,86.2,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,0.11699999999999999,0.332,0.231,0.165,0.71,-0.71,2.64,1.75,94.0,93.5,74.2,0.232,0.302,0.291,0.109,105.0,98.0,105.0,0.044000000000000004,0.11,1.44,-0.19,87.5,83.6,0.154,0.4,0.091,,,,,,,,,
6,2023-08-04,717141,Groundout,field_out,True,621566,543294,Matt Olson,Kyle Hendricks,1,1,0,25b7f3a1-56d3-4e0d-8dcf-080072db9506,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
7,2023-08-04,717141,Groundout,field_out,True,669221,543294,Sean Murphy,Kyle Hendricks,1,0,0,760a9655-9926-43f3-aa82-e42e3c2973a2,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
8,2023-08-04,717141,Groundout,field_out,True,542303,543294,Marcell Ozuna,Kyle Hendricks,1,1,0,e4649f57-1343-4bfe-b7c7-5c7d3c88860e,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,
9,2023-08-04,717141,Groundout,field_out,True,641355,608331,Cody Bellinger,Max Fried,1,0,0,58b6862b-eb55-480f-93dc-bdba78e35f3c,608331.0,maxfried,Fried,Left,Max Fried,2.55,2.75,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.39299999999999996,0.147,0.242,0.379,86.2,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,0.11699999999999999,0.332,0.231,0.165,0.71,-0.71,2.64,1.75,94.0,93.5,74.2,0.232,0.302,0.291,0.109,105.0,98.0,105.0,0.044000000000000004,0.11,1.44,-0.19,87.5,83.6,0.154,0.4,0.091,,,,,,,,,
