,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vSI,vSL,FC_ba,SL_ba,SI_ba,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,CU%,wFA/C,wFS/C,wCU/C,vFA,vFS,vCU,FF_ba,CU_ba,CH_ba,FS_ba,ST_ba
0,2023-06-08,717844,Groundout,field_out,True,605141,668933,Mookie Betts,Graham Ashcraft,0,0,0,c84b0b86-89e8-4438-b8d8-1eac65685724,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-08,717844,Walk,walk,False,518692,668933,Freddie Freeman,Graham Ashcraft,1,0,0,1c2d4b0a-dc47-4d75-ade8-030ec5305323,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-08,717844,Flyout,field_out,True,502110,668933,J.D. Martinez,Graham Ashcraft,0,0,0,62c0b90d-74d7-4f94-8b53-ebab5b92a950,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-08,717844,Flyout,field_out,True,571970,668933,Max Muncy,Graham Ashcraft,1,1,0,d43824d5-93b5-47f0-a6c8-e22dff333f4f,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-08,717844,Walk,walk,False,621028,477132,Kevin Newman,Clayton Kershaw,0,0,0,d6fa2fe8-5f3e-42eb-a5da-76ff6c029249,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,,0.434,0.017,,14.84,2.06,-0.46,,90.9,86.5,,0.167,0.0,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,116.0,127.0,165.0,0.369,0.002,0.175,0.23,13.51,0.13,90.7,84.4,73.4,0.281,0.212,0.2,0.0,
5,2023-06-08,717844,Strikeout,strikeout,True,680574,477132,Matt McLain,Clayton Kershaw,0,0,0,a15df363-eae7-4e9a-9f0a-09ed9c1d780d,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,,0.434,0.017,,14.84,2.06,-0.46,,90.9,86.5,,0.167,0.0,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,116.0,127.0,165.0,0.369,0.002,0.175,0.23,13.51,0.13,90.7,84.4,73.4,0.281,0.212,0.2,0.0,
6,2023-06-08,717844,Grounded Into DP,grounded_into_double_play,True,663697,477132,Jonathan India,Clayton Kershaw,0,0,1,87f76096-d347-4fa9-8b00-a1ad8960ef58,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,,0.434,0.017,,14.84,2.06,-0.46,,90.9,86.5,,0.167,0.0,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,116.0,127.0,165.0,0.369,0.002,0.175,0.23,13.51,0.13,90.7,84.4,73.4,0.281,0.212,0.2,0.0,
7,2023-06-08,717844,Single,single,False,444482,668933,David Peralta,Graham Ashcraft,0,0,0,c090e45d-3e74-404b-85f1-c21668274f61,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-06-08,717844,Grounded Into DP,grounded_into_double_play,True,678246,668933,Miguel Vargas,Graham Ashcraft,0,0,1,d198e587-205c-4e96-b840-ba2dbd1af349,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-06-08,717844,Strikeout,strikeout,True,621035,668933,Chris Taylor,Graham Ashcraft,0,0,0,16075206-30d2-47ea-abd7-461f9d27ae31,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,
