,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,SI_ba,CU_ba,FF_ba,CH_ba,FC%,wFC/C,vFC,FC_ba,Stf+ FC,Loc+ FC,Pit+ FC,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,FS%,wFS/C,vFS,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba
0,2023-05-28,717990,Strikeout,strikeout,True,543760,680694,Marcus Semien,Kyle Bradish,0,0,0,112536e4-7c44-4791-b7d8-5690576c5478,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.168,0.23,0.142,0.366,0.259,,,,,,,,,,,,,,,,,,,,,
1,2023-05-28,717990,Strikeout,strikeout,True,608369,680694,Corey Seager,Kyle Bradish,0,0,0,3bca930b-a88b-484f-96a2-757e34fe391e,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.168,0.23,0.142,0.366,0.259,,,,,,,,,,,,,,,,,,,,,
2,2023-05-28,717990,Strikeout,strikeout,True,663993,680694,Nathaniel Lowe,Kyle Bradish,0,0,0,97ced367-f184-4133-b7b4-1f45ce19d3d0,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.168,0.23,0.142,0.366,0.259,,,,,,,,,,,,,,,,,,,,,
3,2023-05-28,717990,Single,single,False,656775,674003,Cedric Mullins,Cody Bradford,0,0,0,45e159e2-1085-4337-bd37-88bb9580e521,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
4,2023-05-28,717990,Single,single,False,668939,674003,Adley Rutschman,Cody Bradford,1,0,1,b66ba8b1-1930-47e7-bd72-7740a4ff1d10,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
5,2023-05-28,717990,Single,single,False,669720,674003,Austin Hays,Cody Bradford,0,0,1,82e2399f-d3b4-49e6-84e9-a58abd7c5bcb,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
6,2023-05-28,717990,Walk,walk,False,623993,674003,Anthony Santander,Cody Bradford,1,0,1,80320b72-e3c3-4936-bd2e-40eaafdb199b,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
7,2023-05-28,717990,Sac Fly,sac_fly,True,663624,674003,Ryan Mountcastle,Cody Bradford,1,0,1,0bf0cad6-3294-4663-8cb1-7aef81d1ad5e,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
8,2023-05-28,717990,Grounded Into DP,grounded_into_double_play,True,602104,674003,Ramón Urías,Cody Bradford,1,0,1,fbce68b2-92dd-4bf0-b5e0-ae4ec17dd13a,674003.0,codybradford,Bradford,Left,Cody Bradford,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,82.1,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,66.0,104.0,103.0,,0.546,0.044000000000000004,,0.276,0.16,,-6.76,,0.74,90.4,,83.1,,0.5,,,0.26,0.2,0.134,-1.23,86.6,0.316,,,,,,,,,,,,,,,,,
9,2023-05-28,717990,Single,single,False,666969,680694,Adolis García,Kyle Bradish,1,0,0,8abfa493-526f-4267-8c01-240376ac9e6e,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.168,0.23,0.142,0.366,0.259,,,,,,,,,,,,,,,,,,,,,
