,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FS_ba,SI_ba,FC_ba,FF_ba,CU_ba,ST_ba,FO%,wFO/C,vFO,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-06-23,717656,Lineout,field_out,True,607043,592836,Brandon Nimmo,Taijuan Walker,1,0,0,70c404ac-a585-4010-b7b2-3392de929262,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,104.0,97.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.332,0.026000000000000002,0.057,-0.82,-0.44,0.48,0.53,-1.43,-1.07,92.8,87.1,87.9,92.4,82.5,74.8,0.205,0.273,0.284,0.257,0.212,0.158,,,,,,,,,,,,,,,,,
1,2023-06-23,717656,Groundout,field_out,True,516782,592836,Starling Marte,Taijuan Walker,1,0,0,8e418438-e3b4-4c77-b54f-1147462e278e,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,104.0,97.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.332,0.026000000000000002,0.057,-0.82,-0.44,0.48,0.53,-1.43,-1.07,92.8,87.1,87.9,92.4,82.5,74.8,0.205,0.273,0.284,0.257,0.212,0.158,,,,,,,,,,,,,,,,,
2,2023-06-23,717656,Strikeout,strikeout,True,596019,592836,Francisco Lindor,Taijuan Walker,0,0,0,d55fa64d-8b12-4d7a-8bc1-526c73a1650c,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,4.38,4.36,172.2,99.0,94.0,97.0,0.8079999999999999,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.16699999999999998,0.326,0.382,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,104.0,97.0,100.0,0.233,0.17600000000000002,0.17600000000000002,0.332,0.026000000000000002,0.057,-0.82,-0.44,0.48,0.53,-1.43,-1.07,92.8,87.1,87.9,92.4,82.5,74.8,0.205,0.273,0.284,0.257,0.212,0.158,,,,,,,,,,,,,,,,,
3,2023-06-23,717656,Field Error,field_error,False,656941,673540,Kyle Schwarber,Kodai Senga,1,1,0,a81aa8fc-916f-4428-9de7-db46238afa1f,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
4,2023-06-23,717656,Walk,walk,False,607208,673540,Trea Turner,Kodai Senga,1,0,1,c9696339-e6c0-4269-9af6-73f855c71331,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
5,2023-06-23,717656,Strikeout,strikeout,True,592206,673540,Nick Castellanos,Kodai Senga,0,0,0,c4b9c2ee-06c6-46d3-bf58-9b6178489682,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
6,2023-06-23,717656,Single,single,False,547180,673540,Bryce Harper,Kodai Senga,0,0,1,abb21a90-f517-475e-a80a-6d5bb527be7c,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
7,2023-06-23,717656,Walk,walk,False,592663,673540,J.T. Realmuto,Kodai Senga,0,0,1,6763eb37-66f1-4880-bcb8-eaaa58960a94,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
8,2023-06-23,717656,Sac Fly,sac_fly,True,681082,673540,Bryson Stott,Kodai Senga,0,0,1,91360b49-5a15-4082-9da3-113928650f41,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
9,2023-06-23,717656,Lineout,field_out,True,664761,673540,Alec Bohm,Kodai Senga,0,0,0,44b85ee5-d784-4b09-9317-8c4852b5d9bf,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.11599999999999999,0.027000000000000003,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.11,,0.244,0.244,0.125,0.333,0.237,0.95,83.2,0.219,,,,,,,,,,,,,
