,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,FO%,SL%,CU%,wFA/C,wFC/C,wFO/C,wSL/C,wCU/C,vFA,vFC,vFO,vSL,vCU,FF_ba,FC_ba,FS_ba,SL_ba,ST_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vSI,CH_ba,SI_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-08-25,716855,Groundout,field_out,True,694384,673540,Nolan Schanuel,Kodai Senga,0,0,0,b0af821b-4ccd-4608-b27b-d3899f1185d4,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
1,2023-08-25,716855,Walk,walk,False,660271,673540,Shohei Ohtani,Kodai Senga,0,0,0,c3bd9f44-9d75-4dcd-b50d-2082c5404dc1,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
2,2023-08-25,716855,Strikeout,strikeout,True,592273,673540,Brandon Drury,Kodai Senga,0,0,0,b8df9785-94a4-413d-b469-b9379ab47b4d,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
3,2023-08-25,716855,Groundout,field_out,True,519058,673540,Mike Moustakas,Kodai Senga,1,0,0,3a8b7e02-469f-4905-a60f-f8de2642983f,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
4,2023-08-25,716855,Pop Out,field_out,True,607043,663776,Brandon Nimmo,Patrick Sandoval,1,0,0,4e1ce3ff-1e9a-4c15-9543-5104b82520b8,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.42700000000000005,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,123.0,100.0,107.0,,,,0.256,,,0.285,0.09,-1.22,,,0.02,0.27,93.0,,,86.5,76.5,0.336,,,0.267,0.2,0.286,83.0,99.0,98.0,100.0,69.0,97.0,86.0,0.111,0.258,0.36,0.3,93.2,0.184,0.269,,,,,,
5,2023-08-25,716855,Strikeout,strikeout,True,596019,663776,Francisco Lindor,Patrick Sandoval,0,0,0,827c51e4-ce93-405b-8486-d2771f554716,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.42700000000000005,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,123.0,100.0,107.0,,,,0.256,,,0.285,0.09,-1.22,,,0.02,0.27,93.0,,,86.5,76.5,0.336,,,0.267,0.2,0.286,83.0,99.0,98.0,100.0,69.0,97.0,86.0,0.111,0.258,0.36,0.3,93.2,0.184,0.269,,,,,,
6,2023-08-25,716855,Groundout,field_out,True,643446,663776,Jeff McNeil,Patrick Sandoval,1,1,0,9ef5a534-cdc8-4df9-9ff2-a7a0a173ef9d,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.42700000000000005,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,123.0,100.0,107.0,,,,0.256,,,0.285,0.09,-1.22,,,0.02,0.27,93.0,,,86.5,76.5,0.336,,,0.267,0.2,0.286,83.0,99.0,98.0,100.0,69.0,97.0,86.0,0.111,0.258,0.36,0.3,93.2,0.184,0.269,,,,,,
7,2023-08-25,716855,Single,single,False,650859,673540,Luis Rengifo,Kodai Senga,1,1,0,03cc6497-db6e-422f-91be-14c187cd37c3,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
8,2023-08-25,716855,Single,single,False,681351,673540,Logan O'Hoppe,Kodai Senga,0,0,1,d09f34d4-928e-4880-b612-69a3fe8fe15f,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
9,2023-08-25,716855,Strikeout,strikeout,True,592669,673540,Hunter Renfroe,Kodai Senga,0,0,0,699f6bbf-ea6f-4537-9055-189030a67fd1,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
10,2023-08-25,716855,Strikeout,strikeout,True,666160,673540,Mickey Moniak,Kodai Senga,0,0,0,5218be9e-bd4b-4328-9795-5fb8a500056c,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
11,2023-08-25,716855,Groundout,field_out,True,545341,673540,Randal Grichuk,Kodai Senga,1,0,0,199790d3-1bbc-4cbe-968d-c87f253495f1,673540.0,kodaisenga,Senga,Right,Kodai Senga,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.41600000000000004,0.161,0.33299999999999996,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.237,0.11599999999999999,0.027000000000000003,0.17,2.52,0.95,-0.96,-0.23,95.7,90.8,83.2,82.7,72.8,0.244,0.244,0.11,0.219,0.333,0.125,,,,,,,,,,,,,,,,,,,,
12,2023-08-25,716855,Walk,walk,False,624413,663776,Pete Alonso,Patrick Sandoval,1,0,0,aee223c8-a840-4e60-a32b-887d2db748b8,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.42700000000000005,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,123.0,100.0,107.0,,,,0.256,,,0.285,0.09,-1.22,,,0.02,0.27,93.0,,,86.5,76.5,0.336,,,0.267,0.2,0.286,83.0,99.0,98.0,100.0,69.0,97.0,86.0,0.111,0.258,0.36,0.3,93.2,0.184,0.269,,,,,,
