,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,FF_ba,ST_ba,CH_ba,SL_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,FC_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba
0,2023-08-08,717069,Strikeout,strikeout,True,543760,676664,Marcus Semien,JP Sears,0,0,0,2fb92f61-13c7-47fd-9928-d7d1abe2bd3d,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
1,2023-08-08,717069,Single,single,False,608369,676664,Corey Seager,JP Sears,0,0,0,21c4871e-1ab2-4ea8-a451-97d5d7e3f003,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
2,2023-08-08,717069,Forceout,force_out,True,663993,676664,Nathaniel Lowe,JP Sears,0,0,1,3555341a-b907-46d5-8981-4dc7090ba8cd,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
3,2023-08-08,717069,Strikeout,strikeout,True,666969,676664,Adolis García,JP Sears,0,0,0,a8ce0e96-659e-4f56-afa0-f9888d753acd,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
4,2023-08-08,717069,Groundout,field_out,True,643393,453286,Tony Kemp,Max Scherzer,1,0,0,c8e0088e-d94f-4a5e-93d3-e1805be2fe1f,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,,0.46299999999999997,0.168,0.141,0.72,,-0.21,0.03,93.7,,84.0,0.255,,0.207,0.25,96.0,101.0,104.0,98.0,108.0,99.0,0.10400000000000001,0.124,2.12,0.51,88.4,75.4,0.187,0.135,,,,
5,2023-08-08,717069,Groundout,field_out,True,668709,453286,JJ Bleday,Max Scherzer,0,0,0,6579d7c5-49b2-4b67-8d0c-03382342e9d6,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,,0.46299999999999997,0.168,0.141,0.72,,-0.21,0.03,93.7,,84.0,0.255,,0.207,0.25,96.0,101.0,104.0,98.0,108.0,99.0,0.10400000000000001,0.124,2.12,0.51,88.4,75.4,0.187,0.135,,,,
6,2023-08-08,717069,Walk,walk,False,680869,453286,Zack Gelof,Max Scherzer,0,0,0,614131e4-0bd9-412f-83f2-e755bedccda0,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,,0.46299999999999997,0.168,0.141,0.72,,-0.21,0.03,93.7,,84.0,0.255,,0.207,0.25,96.0,101.0,104.0,98.0,108.0,99.0,0.10400000000000001,0.124,2.12,0.51,88.4,75.4,0.187,0.135,,,,
7,2023-08-08,717069,Strikeout,strikeout,True,664913,453286,Seth Brown,Max Scherzer,0,0,0,78e0eea4-f918-4ac2-8d21-3945e0a5dcb1,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.41200000000000003,0.183,0.319,0.434,83.8,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,,0.46299999999999997,0.168,0.141,0.72,,-0.21,0.03,93.7,,84.0,0.255,,0.207,0.25,96.0,101.0,104.0,98.0,108.0,99.0,0.10400000000000001,0.124,2.12,0.51,88.4,75.4,0.187,0.135,,,,
8,2023-08-08,717069,Pop Out,field_out,True,641598,676664,Mitch Garver,JP Sears,1,0,0,ec9067f1-fb3d-4c03-beda-a859f0206779,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
9,2023-08-08,717069,Double,double,False,543257,676664,Robbie Grossman,JP Sears,0,0,0,0d11bf86-c332-4e22-9d8a-9a49fdc764ee,676664.0,jpsears,Sears,Left,JP Sears,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.28300000000000003,0.41600000000000004,0.17800000000000002,0.301,0.43799999999999994,84.1,83.0,100.0,102.0,93.0,102.0,96.0,93.0,102.0,106.0,0.001,0.501,0.34600000000000003,0.151,-0.84,0.63,-0.06,0.36,93.1,92.1,81.4,0.256,0.234,0.277,0.21,,,,,,,,,,,,,,,,,,
