,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,CH_ba,FF_ba,SI_ba,FC_ba,CU_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SV_ba,ST_ba,FS_ba
0,2023-09-18,716526,Groundout,field_out,True,453568,608379,Charlie Blackmon,Michael Wacha,1,0,0,ad6963a5-542c-47d8-80cb-a1ae70067c1a,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
1,2023-09-18,716526,Groundout,field_out,True,678662,608379,Ezequiel Tovar,Michael Wacha,1,0,0,4135cbad-049e-481a-a994-f35512afa81c,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
2,2023-09-18,716526,Groundout,field_out,True,592178,608379,Kris Bryant,Michael Wacha,0,0,0,922fefa5-4d41-4a77-afc3-2c62657e1da0,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
3,2023-09-18,716526,Flyout,field_out,True,593428,621389,Xander Bogaerts,Ty Blach,1,0,0,1973696f-56f4-4c65-9b93-9c8210a2190e,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,170.0,99.0,85.0,0.55,,0.165,0.064,0.221,,-2.26,-1.22,-0.44,-1.35,,83.7,89.3,78.9,0.371,,0.322,0.348,0.211,,,,,,,,,,
4,2023-09-18,716526,Walk,walk,False,665487,621389,Fernando Tatis Jr.,Ty Blach,0,0,0,fb95f63f-3eb4-4b6a-8a05-ec1dc3a3c027,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,170.0,99.0,85.0,0.55,,0.165,0.064,0.221,,-2.26,-1.22,-0.44,-1.35,,83.7,89.3,78.9,0.371,,0.322,0.348,0.211,,,,,,,,,,
5,2023-09-18,716526,Flyout,field_out,True,665742,621389,Juan Soto,Ty Blach,1,0,0,d9f359c2-919a-4f40-ab15-3d4d91e248b2,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,170.0,99.0,85.0,0.55,,0.165,0.064,0.221,,-2.26,-1.22,-0.44,-1.35,,83.7,89.3,78.9,0.371,,0.322,0.348,0.211,,,,,,,,,,
6,2023-09-18,716526,Flyout,field_out,True,592518,621389,Manny Machado,Ty Blach,0,0,0,a37ddf2f-e353-46e1-8cd1-113699bc9b8f,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,170.0,99.0,85.0,0.55,,0.165,0.064,0.221,,-2.26,-1.22,-0.44,-1.35,,83.7,89.3,78.9,0.371,,0.322,0.348,0.211,,,,,,,,,,
7,2023-09-18,716526,Groundout,field_out,True,666134,608379,Nolan Jones,Michael Wacha,0,0,0,942dbbc6-00bc-4aac-b9a9-7d45ae07c046,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
8,2023-09-18,716526,Single,single,False,660707,608379,Elehuris Montero,Michael Wacha,0,0,0,dbbed4a6-391f-4424-a164-7ba50a002a17,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
9,2023-09-18,716526,Field Error,field_error,False,553869,608379,Elias Díaz,Michael Wacha,1,0,1,f0fc7b4d-8d88-4758-ba25-d552447a54e3,608379.0,michaelwacha,Wacha,Right,Michael Wacha,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,81.6,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,96.0,100.0,96.0,0.133,0.28800000000000003,0.124,0.11,0.345,1.23,-2.13,-0.36,1.04,1.06,92.0,86.9,91.9,74.0,0.207,0.188,0.25,0.364,0.172,,,,,,,,,,
