,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,ST_ba,SI_ba
0,2023-07-07,717464,Flyout,field_out,True,663538,607074,Nico Hoerner,Carlos Rodón,0,0,0,ffce7549-baba-45b3-9ff4-55fadd4d98ec,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
1,2023-07-07,717464,Flyout,field_out,True,673548,607074,Seiya Suzuki,Carlos Rodón,1,0,0,ce6666e5-c0e6-4301-9b70-5b2f478fbb5d,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
2,2023-07-07,717464,Strikeout,strikeout,True,664023,607074,Ian Happ,Carlos Rodón,0,0,0,c0fd91b4-fbd7-4490-854f-99578949431c,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
3,2023-07-07,717464,Lineout,field_out,True,683011,592791,Anthony Volpe,Jameson Taillon,0,0,0,7878019a-8413-4a3b-be3c-b8d7264f4d2b,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.43700000000000006,86.5,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.149,0.031,-0.69,0.75,-0.12,-0.22,93.7,80.9,80.5,0.261,,0.198,0.28,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.222,-0.32,0.9,88.6,93.9,0.311,0.233,0.296
4,2023-07-07,717464,Single,single,False,650402,592791,Gleyber Torres,Jameson Taillon,1,1,0,b6da746e-43f2-47ba-b838-0a80b1cc1583,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.43700000000000006,86.5,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.149,0.031,-0.69,0.75,-0.12,-0.22,93.7,80.9,80.5,0.261,,0.198,0.28,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.222,-0.32,0.9,88.6,93.9,0.311,0.233,0.296
5,2023-07-07,717464,Lineout,field_out,True,519203,592791,Anthony Rizzo,Jameson Taillon,0,0,0,fea8c83b-5caf-428b-a0a5-d947b1b86d0f,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.43700000000000006,86.5,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.149,0.031,-0.69,0.75,-0.12,-0.22,93.7,80.9,80.5,0.261,,0.198,0.28,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.222,-0.32,0.9,88.6,93.9,0.311,0.233,0.296
6,2023-07-07,717464,Strikeout,strikeout,True,519317,592791,Giancarlo Stanton,Jameson Taillon,0,0,0,82c51cfa-61f6-4a0d-80e3-287184522c27,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.43700000000000006,86.5,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.149,0.031,-0.69,0.75,-0.12,-0.22,93.7,80.9,80.5,0.261,,0.198,0.28,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.222,-0.32,0.9,88.6,93.9,0.311,0.233,0.296
7,2023-07-07,717464,Pop Out,field_out,True,543228,607074,Yan Gomes,Carlos Rodón,0,0,0,55383289-dbe9-4d63-81b1-bf8e00e86422,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
8,2023-07-07,717464,Flyout,field_out,True,666624,607074,Christopher Morel,Carlos Rodón,0,0,0,9b2eec5c-7de4-4e1b-835a-1d930462dd50,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
9,2023-07-07,717464,Flyout,field_out,True,641820,607074,Trey Mancini,Carlos Rodón,0,0,0,1fe52618-e126-48fe-98d2-a0e0caba6e91,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,
