,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,FC_ba,SI_ba,SL_ba,CU_ba,CH_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-16,718147,Pop Out,field_out,True,680757,458681,Steven Kwan,Lance Lynn,0,0,0,8419995f-d081-4a2b-a2c8-e607b8efb98d,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
1,2023-05-16,718147,Strikeout,strikeout,True,642708,458681,Amed Rosario,Lance Lynn,0,0,0,9786d091-f8a7-4b6d-bf57-0e9b0e8f82fa,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
2,2023-05-16,718147,Flyout,field_out,True,647304,458681,Josh Naylor,Lance Lynn,0,0,0,b55a6b53-24e6-4153-a317-76080e243e2a,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
3,2023-05-16,718147,Strikeout,strikeout,True,641313,669456,Tim Anderson,Shane Bieber,0,0,0,d035d49f-a530-486d-adbd-555c6948db0d,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.35200000000000004,0.26899999999999996,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,,84.6,,0.257,0.316,,0.18,0.237,0.5,155.0,104.0,109.0,0.13699999999999998,-1.29,82.5,,,,,,,
4,2023-05-16,718147,Single,single,False,643217,669456,Andrew Benintendi,Shane Bieber,0,0,0,92af31d3-158e-4c07-9829-77043d0ccec4,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.35200000000000004,0.26899999999999996,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,,84.6,,0.257,0.316,,0.18,0.237,0.5,155.0,104.0,109.0,0.13699999999999998,-1.29,82.5,,,,,,,
5,2023-05-16,718147,Groundout,field_out,True,673357,669456,Luis Robert Jr.,Shane Bieber,0,0,1,025cd235-5098-4939-b4c4-f86b44cff98a,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.35200000000000004,0.26899999999999996,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,,84.6,,0.257,0.316,,0.18,0.237,0.5,155.0,104.0,109.0,0.13699999999999998,-1.29,82.5,,,,,,,
6,2023-05-16,718147,Strikeout,strikeout,True,660162,669456,Yoán Moncada,Shane Bieber,0,0,0,1a7c6e91-4672-486a-9a58-c54699cb85d4,669456.0,shanebieber,Bieber,Right,Shane Bieber,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.23800000000000002,0.395,0.147,0.32799999999999996,0.42,87.2,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.35200000000000004,0.26899999999999996,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,,84.6,,0.257,0.316,,0.18,0.237,0.5,155.0,104.0,109.0,0.13699999999999998,-1.29,82.5,,,,,,,
7,2023-05-16,718147,Lineout,field_out,True,605137,458681,Josh Bell,Lance Lynn,0,0,0,23b073eb-0f60-4a7e-a0d1-87682d425d9e,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
8,2023-05-16,718147,Groundout,field_out,True,665926,458681,Andrés Giménez,Lance Lynn,0,0,0,ed2fe814-cf23-4bcb-b957-8fcdecb8540e,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
9,2023-05-16,718147,Strikeout,strikeout,True,672356,458681,Gabriel Arias,Lance Lynn,0,0,0,674946f2-2997-46f6-860b-acbd105bbc67,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,84.9,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.43700000000000006,0.23,0.063,0.07400000000000001,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,91.4,83.0,80.8,0.255,0.273,0.239,0.286,0.208,0.302,,,,,,,,,,,,,
