,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,CU_ba,FC_ba,FS_ba,ST_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,SI_ba,vCH (sc),CH%,wCH/C,SL_ba,Stf+ CH,Loc+ CH,Pit+ CH,CH_ba
0,2023-07-29,717214,Flyout,field_out,True,650490,686613,Yandy Díaz,Hunter Brown,0,0,0,7464fa8b-baa5-4c6f-87b6-e7821495f830,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
1,2023-07-29,717214,Single,single,False,677551,686613,Wander Franco,Hunter Brown,1,0,0,b4cb471b-e1b7-46ac-bbde-f0957c6afeb0,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
2,2023-07-29,717214,Double Play,double_play,True,664040,686613,Brandon Lowe,Hunter Brown,0,0,1,236032c4-998e-4153-80bd-11b74eedfdab,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
3,2023-07-29,717214,Strikeout,strikeout,True,514888,671737,Jose Altuve,Taj Bradley,0,0,0,5a0f2239-b7c4-4e34-a972-02986fb8fed5,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,131.0,101.0,109.0,,,,,,,,,,,,,0.001,0.449,0.248,0.136,,,-0.8,-1.32,0.62,0.0,,,96.1,88.9,89.3,97.8,,,0.277,0.169,0.312,0.19,,88.0,107.0,111.0,106.0,99.0,99.0,0.16699999999999998,0.04,79.0,,,,,,,,,
4,2023-07-29,717214,Field Error,field_error,False,665161,671737,Jeremy Peña,Taj Bradley,0,0,1,a882c7f8-e8ea-4762-822d-ba792ad2b307,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,131.0,101.0,109.0,,,,,,,,,,,,,0.001,0.449,0.248,0.136,,,-0.8,-1.32,0.62,0.0,,,96.1,88.9,89.3,97.8,,,0.277,0.169,0.312,0.19,,88.0,107.0,111.0,106.0,99.0,99.0,0.16699999999999998,0.04,79.0,,,,,,,,,
5,2023-07-29,717214,Strikeout,strikeout,True,663656,671737,Kyle Tucker,Taj Bradley,0,0,0,7b4d2be5-6880-4bd5-8624-f7520baa76f5,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,131.0,101.0,109.0,,,,,,,,,,,,,0.001,0.449,0.248,0.136,,,-0.8,-1.32,0.62,0.0,,,96.1,88.9,89.3,97.8,,,0.277,0.169,0.312,0.19,,88.0,107.0,111.0,106.0,99.0,99.0,0.16699999999999998,0.04,79.0,,,,,,,,,
6,2023-07-29,717214,Walk,walk,False,608324,671737,Alex Bregman,Taj Bradley,1,0,0,c5a1083b-bbb7-49fd-9ff7-305e226954ca,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,131.0,101.0,109.0,,,,,,,,,,,,,0.001,0.449,0.248,0.136,,,-0.8,-1.32,0.62,0.0,,,96.1,88.9,89.3,97.8,,,0.277,0.169,0.312,0.19,,88.0,107.0,111.0,106.0,99.0,99.0,0.16699999999999998,0.04,79.0,,,,,,,,,
7,2023-07-29,717214,Flyout,field_out,True,670541,671737,Yordan Alvarez,Taj Bradley,1,0,0,e32f3d25-89d3-4b2f-b193-ddea1d868f5f,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,131.0,101.0,109.0,,,,,,,,,,,,,0.001,0.449,0.248,0.136,,,-0.8,-1.32,0.62,0.0,,,96.1,88.9,89.3,97.8,,,0.277,0.169,0.312,0.19,,88.0,107.0,111.0,106.0,99.0,99.0,0.16699999999999998,0.04,79.0,,,,,,,,,
8,2023-07-29,717214,Groundout,field_out,True,668227,686613,Randy Arozarena,Hunter Brown,1,0,0,866fdcd1-6bd7-4da0-9c7b-f1d3a3d47551,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
9,2023-07-29,717214,Flyout,field_out,True,670623,686613,Isaac Paredes,Hunter Brown,1,0,0,42f5b96a-3374-4573-b137-a8e4beaa854a,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.27399999999999997,0.364,0.135,0.36200000000000004,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.23800000000000002,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.247,0.297,0.121,0.25,,,,,,,,,,,,,,,,,,
