,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SV_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,FC_ba,CU_ba,SL_ba,ST_ba
0,2023-09-08,716668,Groundout,field_out,True,453568,690986,Charlie Blackmon,Kyle Harrison,1,0,0,0089515d-f6e8-4792-91a2-23e537c2a63e,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,4.15,4.55,34.2,99.0,95.0,98.0,0.7959999999999999,9.09,2.86,7.53,2.08,0.5,0.35100000000000003,0.361,0.155,0.32,0.42700000000000005,86.6,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,87.5,82.2,0.182,0.273,0.25,,,,,,,,,,,,,,,,,
1,2023-09-08,716668,Strikeout,strikeout,True,678662,690986,Ezequiel Tovar,Kyle Harrison,0,0,0,b5adcf09-9444-4d6d-9341-047b6463d65a,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,4.15,4.55,34.2,99.0,95.0,98.0,0.7959999999999999,9.09,2.86,7.53,2.08,0.5,0.35100000000000003,0.361,0.155,0.32,0.42700000000000005,86.6,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,87.5,82.2,0.182,0.273,0.25,,,,,,,,,,,,,,,,,
2,2023-09-08,716668,Flyout,field_out,True,553869,690986,Elias Díaz,Kyle Harrison,0,0,0,d06bd9e3-3104-43aa-8ec6-9f5eec12557e,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,4.15,4.55,34.2,99.0,95.0,98.0,0.7959999999999999,9.09,2.86,7.53,2.08,0.5,0.35100000000000003,0.361,0.155,0.32,0.42700000000000005,86.6,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,87.5,82.2,0.182,0.273,0.25,,,,,,,,,,,,,,,,,
3,2023-09-08,716668,Single,single,False,682641,621389,Luis Matos,Ty Blach,0,0,0,9406916b-eac6-4d05-91b4-0fde3687f615,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,,,0.064,0.221,,,-0.44,-1.35,,,78.9,,,0.371,69.0,104.0,84.0,170.0,99.0,85.0,0.55,0.165,-2.26,-1.22,83.7,89.3,0.322,0.348,0.211,,
4,2023-09-08,716668,Single,single,False,527038,621389,Wilmer Flores,Ty Blach,0,0,1,11568339-3c03-43f7-b821-b42a0efd9fa0,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,,,0.064,0.221,,,-0.44,-1.35,,,78.9,,,0.371,69.0,104.0,84.0,170.0,99.0,85.0,0.55,0.165,-2.26,-1.22,83.7,89.3,0.322,0.348,0.211,,
5,2023-09-08,716668,Pop Out,field_out,True,571745,621389,Mitch Haniger,Ty Blach,1,1,0,b78f174c-ec22-4e63-93a8-af624bcde7e5,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,,,0.064,0.221,,,-0.44,-1.35,,,78.9,,,0.371,69.0,104.0,84.0,170.0,99.0,85.0,0.55,0.165,-2.26,-1.22,83.7,89.3,0.322,0.348,0.211,,
6,2023-09-08,716668,Strikeout,strikeout,True,605204,621389,J.D. Davis,Ty Blach,0,0,0,40e05235-626c-46f1-9167-294fed4b6cc9,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,,,0.064,0.221,,,-0.44,-1.35,,,78.9,,,0.371,69.0,104.0,84.0,170.0,99.0,85.0,0.55,0.165,-2.26,-1.22,83.7,89.3,0.322,0.348,0.211,,
7,2023-09-08,716668,Strikeout,strikeout,True,669477,621389,Casey Schmitt,Ty Blach,0,0,0,3287ab13-8f42-4ef4-ac7c-3d6e6d87836b,621389.0,tyblach,Blach,Left,Ty Blach,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.27899999999999997,0.371,0.121,0.39,0.447,79.9,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,,,0.064,0.221,,,-0.44,-1.35,,,78.9,,,0.371,69.0,104.0,84.0,170.0,99.0,85.0,0.55,0.165,-2.26,-1.22,83.7,89.3,0.322,0.348,0.211,,
8,2023-09-08,716668,Groundout,field_out,True,666134,690986,Nolan Jones,Kyle Harrison,1,0,0,c629bd28-0096-4260-95d3-78e0c4ba379f,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,4.15,4.55,34.2,99.0,95.0,98.0,0.7959999999999999,9.09,2.86,7.53,2.08,0.5,0.35100000000000003,0.361,0.155,0.32,0.42700000000000005,86.6,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,87.5,82.2,0.182,0.273,0.25,,,,,,,,,,,,,,,,,
9,2023-09-08,716668,Field Error,field_error,False,663898,690986,Brendan Rodgers,Kyle Harrison,0,0,0,61f96adf-6787-4e7f-99dc-6dc584483e07,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,4.15,4.55,34.2,99.0,95.0,98.0,0.7959999999999999,9.09,2.86,7.53,2.08,0.5,0.35100000000000003,0.361,0.155,0.32,0.42700000000000005,86.6,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,87.5,82.2,0.182,0.273,0.25,,,,,,,,,,,,,,,,,
