,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,ST_ba
76,2023-04-29,718385,Flyout,field_out,True,647304,445276,Josh Naylor,Kenley Jansen,1,0,0,790d53c9-86b4-436b-8132-efce6c861118,445276.0,kenleyjansen,Jansen,Right,Kenley Jansen,3.63,3.14,44.2,103.0,120.0,111.0,0.752,10.48,3.43,8.06,1.01,0.4,0.316,0.35,0.239,0.299,0.47,83.0,,,,,,,125.0,96.0,92.0,82.0,105.0,109.0,125.0,104.0,114.0,0.09300000000000001,,0.7879999999999999,0.11800000000000001,0.001,,0.92,-2.09,-1.41,-3.64,,94.3,95.3,84.1,0.214,,,0.25,0.237,,,,,,,,,,,,,,,
77,2023-04-29,718385,Flyout,field_out,True,605137,445276,Josh Bell,Kenley Jansen,1,0,0,f8a5032b-55f3-449d-9097-ba9fc31682e9,445276.0,kenleyjansen,Jansen,Right,Kenley Jansen,3.63,3.14,44.2,103.0,120.0,111.0,0.752,10.48,3.43,8.06,1.01,0.4,0.316,0.35,0.239,0.299,0.47,83.0,,,,,,,125.0,96.0,92.0,82.0,105.0,109.0,125.0,104.0,114.0,0.09300000000000001,,0.7879999999999999,0.11800000000000001,0.001,,0.92,-2.09,-1.41,-3.64,,94.3,95.3,84.1,0.214,,,0.25,0.237,,,,,,,,,,,,,,,
78,2023-04-29,718385,Pop Out,field_out,True,807799,669212,Masataka Yoshida,Eli Morgan,1,0,0,d5cc00f8-5051-4666-9fa9-30cc481d2a0a,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
79,2023-04-29,718385,Single,single,False,457759,669212,Justin Turner,Eli Morgan,1,0,0,004254c1-bcb3-40f7-a63c-f92cf62301d1,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
80,2023-04-29,718385,Forceout,force_out,True,646240,669212,Rafael Devers,Eli Morgan,0,0,1,2c7acb6e-6820-4bc5-9eb1-0584f840d940,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
81,2023-04-29,718385,Single,single,False,680776,669212,Jarren Duran,Eli Morgan,0,0,1,7c25eed3-8775-42c2-97d8-d5e7fcf1ef17,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
82,2023-04-29,718385,Walk,walk,False,606132,669212,Raimel Tapia,Eli Morgan,1,0,1,0a703797-f265-4026-8b2d-378c566f575d,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
83,2023-04-29,718385,Flyout,field_out,True,665839,669212,Enmanuel Valdez,Eli Morgan,1,0,0,dba497d3-3d22-43f2-9985-89d4336eff5a,669212.0,elimorgan,Morgan,Right,Eli Morgan,4.01,3.96,67.1,103.0,83.0,104.0,0.735,10.02,3.21,9.76,1.2,1.17,0.24100000000000002,0.397,0.191,0.256,0.40299999999999997,78.6,38.0,103.0,107.0,80.0,102.0,95.0,,,,135.0,104.0,114.0,,,,,0.40399999999999997,,0.254,0.317,-0.62,,,-0.19,0.4,92.5,,,85.5,,0.236,0.317,0.243,,116.0,104.0,109.0,0.025,-3.92,84.7,0.5,,,,,,,,
84,2023-04-29,718385,Groundout,field_out,True,686823,657514,Will Brennan,Brennan Bernardino,1,0,0,d1f22669-4dce-4acd-baa8-58b5ed0e1d1e,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,,,,,,,,
85,2023-04-29,718385,Strikeout,strikeout,True,665926,657514,Andrés Giménez,Brennan Bernardino,0,0,0,eb29f2d4-be57-4b86-9008-29216ddc0e6b,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,,,,,,,,
86,2023-04-29,718385,Single,single,False,572287,657514,Mike Zunino,Brennan Bernardino,0,0,1,23dd05c6-f584-42bf-8a1d-6245411a77a1,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,,,,,,,,
87,2023-04-29,718385,Single,single,False,664702,657514,Myles Straw,Brennan Bernardino,0,0,1,baba6d08-2f4d-4164-bba1-1958f98b754a,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,,,,,,,,
88,2023-04-29,718385,Strikeout,strikeout,True,680757,657514,Steven Kwan,Brennan Bernardino,0,0,0,d296cb63-7c6f-4f22-b3ac-108e2fb388e9,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,,,,,,,,
89,2023-04-29,718385,Single,single,False,624414,661403,Christian Arroyo,Emmanuel Clase,1,0,1,cce284ad-9663-4929-a76e-691ba43a23ab,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,3.22,3.04,72.2,104.0,154.0,117.0,0.747,7.93,1.98,8.42,0.5,2.18,0.33,0.294,0.163,0.303,0.47600000000000003,,,,,132.0,110.0,120.0,,,,160.0,106.0,126.0,151.0,103.0,113.0,,0.004,0.6759999999999999,0.32,,4.05,0.76,,1.55,,98.5,99.1,,91.1,,,,0.19,0.267,,,,,,,,,,,,,,,
90,2023-04-29,718385,Sac Bunt,sac_bunt,True,657136,661403,Connor Wong,Emmanuel Clase,0,0,1,3b136137-9b7a-4e5e-bb01-6b6b8d84dcb9,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,3.22,3.04,72.2,104.0,154.0,117.0,0.747,7.93,1.98,8.42,0.5,2.18,0.33,0.294,0.163,0.303,0.47600000000000003,,,,,132.0,110.0,120.0,,,,160.0,106.0,126.0,151.0,103.0,113.0,,0.004,0.6759999999999999,0.32,,4.05,0.76,,1.55,,98.5,99.1,,91.1,,,,0.19,0.267,,,,,,,,,,,,,,,
91,2023-04-29,718385,Single,single,False,657077,661403,Alex Verdugo,Emmanuel Clase,0,0,1,f52b0887-7379-4dee-868a-e53949f49ae7,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,3.22,3.04,72.2,104.0,154.0,117.0,0.747,7.93,1.98,8.42,0.5,2.18,0.33,0.294,0.163,0.303,0.47600000000000003,,,,,132.0,110.0,120.0,,,,160.0,106.0,126.0,151.0,103.0,113.0,,0.004,0.6759999999999999,0.32,,4.05,0.76,,1.55,,98.5,99.1,,91.1,,,,0.19,0.267,,,,,,,,,,,,,,,
