,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vSI,vSL,vKC,FF_ba,SL_ba,CU_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba
0,2023-04-10,718629,Groundout,field_out,True,680977,608566,Brendan Donovan,Germán Márquez,0,0,0,05ddf677-2961-4aa6-98a1-702671205682,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
1,2023-04-10,718629,Strikeout,strikeout,True,676475,608566,Alec Burleson,Germán Márquez,0,0,0,bc55b676-fa31-47cd-b35c-fe4c6753ff7e,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
2,2023-04-10,718629,Groundout,field_out,True,502671,608566,Paul Goldschmidt,Germán Márquez,0,0,0,11847b48-017a-405a-a9ce-bd240a36f934,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
3,2023-04-10,718629,Single,single,False,595777,571927,Jurickson Profar,Steven Matz,1,0,0,644971b4-a537-406b-9375-2969f1af66a4,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
4,2023-04-10,718629,Grounded Into DP,grounded_into_double_play,True,453568,571927,Charlie Blackmon,Steven Matz,0,0,1,663e342c-c992-4459-a3b7-8cdb655a95d2,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
5,2023-04-10,718629,Strikeout,strikeout,True,592178,571927,Kris Bryant,Steven Matz,0,0,0,f61a908e-bc28-4b12-8eed-c71601880528,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
6,2023-04-10,718629,Groundout,field_out,True,571448,608566,Nolan Arenado,Germán Márquez,1,1,0,75e021e1-8656-4e7b-b891-15f6ad966b2c,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
7,2023-04-10,718629,Groundout,field_out,True,575929,608566,Willson Contreras,Germán Márquez,0,0,0,bd97e67e-7588-4b33-9311-95f0ab209b3e,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
8,2023-04-10,718629,Groundout,field_out,True,669357,608566,Nolan Gorman,Germán Márquez,0,0,0,404cefa9-5628-4668-901f-ec320ba7e9ce,608566.0,germanmarquez,Márquez,Right,Germán Márquez,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052000000000000005,0.414,0.45,85.8,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.21899999999999997,0.342,0.249,0.17600000000000002,0.013000000000000001,-1.46,-1.84,2.84,-0.42,0.49,95.7,94.8,88.5,86.4,0.348,0.158,0.167,0.357,,,,,,,,,,,,,,,
9,2023-04-10,718629,Single,single,False,543068,571927,C.J. Cron,Steven Matz,1,0,0,fe5da4b2-30ac-4c21-b771-bdd10c5ed15b,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
10,2023-04-10,718629,Grounded Into DP,grounded_into_double_play,True,553869,571927,Elias Díaz,Steven Matz,0,0,1,17a1302b-b3bf-4704-896b-23c90ba7d170,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
11,2023-04-10,718629,Field Error,field_error,False,660707,571927,Elehuris Montero,Steven Matz,0,0,0,ecb45174-5df0-480c-81cf-dc12622d6184,571927.0,stevenmatz,Matz,Left,Steven Matz,3.86,3.87,105.0,102.0,95.0,100.0,0.7759999999999999,8.4,2.74,9.26,0.94,1.4,0.29100000000000004,0.37,0.146,0.31,0.446,84.2,106.0,109.0,107.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,0.018000000000000002,,0.27399999999999997,,0.41,-1.27,,-0.09,,94.1,88.9,,,0.5,0.259,0.24,108.0,96.0,100.0,0.14800000000000002,-0.6,78.5,0.291,,,,,,,,
