,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vSI,vSL,FC_ba,SL_ba,SI_ba,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CH_ba,CU_ba,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-07-14,717412,Groundout,field_out,True,592885,668933,Christian Yelich,Graham Ashcraft,1,0,0,18c4eeb0-a280-4194-8a8f-dd476e473f15,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-14,717412,Double,double,False,661388,668933,William Contreras,Graham Ashcraft,0,0,0,1f7b0f84-bf97-4407-a271-1f307b01b4d5,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-14,717412,Flyout,field_out,True,642715,668933,Willy Adames,Graham Ashcraft,0,0,1,cdde1028-48a5-4095-8d05-bc5b567999f5,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-14,717412,Strikeout,strikeout,True,680911,668933,Owen Miller,Graham Ashcraft,0,0,0,4bd89327-476e-448c-a359-f5efcbb58ba5,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-07-14,717412,Lineout,field_out,True,670770,669203,TJ Friedl,Corbin Burnes,1,0,0,dcaaaea6-468c-4d45-83cb-24fdcd09b94d,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.11199999999999999,1.51,-2.42,1.12,1.07,94.4,95.3,86.0,0.209,0.159,0.291,82.0,105.0,112.0,160.0,104.0,113.0,0.171,1.35,79.8,0.204,0.133,,,,,,,,,,,,,,
5,2023-07-14,717412,Walk,walk,False,680574,669203,Matt McLain,Corbin Burnes,1,0,0,bff46a46-845d-40db-a30f-550608ef6d43,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.11199999999999999,1.51,-2.42,1.12,1.07,94.4,95.3,86.0,0.209,0.159,0.291,82.0,105.0,112.0,160.0,104.0,113.0,0.171,1.35,79.8,0.204,0.133,,,,,,,,,,,,,,
6,2023-07-14,717412,Strikeout,strikeout,True,641584,669203,Jake Fraley,Corbin Burnes,0,0,0,ff7db05f-2551-49bf-b81c-5d8bc2173589,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.11199999999999999,1.51,-2.42,1.12,1.07,94.4,95.3,86.0,0.209,0.159,0.291,82.0,105.0,112.0,160.0,104.0,113.0,0.171,1.35,79.8,0.204,0.133,,,,,,,,,,,,,,
7,2023-07-14,717412,Strikeout,strikeout,True,682829,669203,Elly De La Cruz,Corbin Burnes,0,0,1,0886ad73-8f1a-49b7-bc63-3ca91213383d,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.45899999999999996,0.19,0.29,0.38,89.3,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,0.5539999999999999,0.085,0.11199999999999999,1.51,-2.42,1.12,1.07,94.4,95.3,86.0,0.209,0.159,0.291,82.0,105.0,112.0,160.0,104.0,113.0,0.171,1.35,79.8,0.204,0.133,,,,,,,,,,,,,,
8,2023-07-14,717412,Walk,walk,False,605170,668933,Victor Caratini,Graham Ashcraft,0,0,0,526b7553-7e73-4c61-b1ee-8d4fb1eda585,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-07-14,717412,Grounded Into DP,grounded_into_double_play,True,655316,668933,Andruw Monasterio,Graham Ashcraft,1,0,1,83d3ae48-4d09-4ef3-864f-6e8154e41cb4,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.16399999999999998,0.302,0.435,90.4,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.09699999999999999,0.529,0.373,0.0,0.15,-1.17,-0.37,-25.75,95.8,96.5,88.3,0.292,0.221,0.286,,,,,,,,,,,,,,,,,,,,,,,,,
