,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,CH_ba,SI_ba,ST_ba,FF_ba,SL_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,CU_ba
11,2023-08-30,716789,Strikeout,strikeout,True,672275,668881,Patrick Bailey,Hunter Greene,0,0,0,ff7c3bba-3fe0-403b-9a1b-c4412eba3409,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
12,2023-08-30,716789,Groundout,field_out,True,573262,668881,Mike Yastrzemski,Hunter Greene,1,1,0,b9ade711-43c8-4123-9c66-caaf8723fdb9,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
13,2023-08-30,716789,Flyout,field_out,True,682622,657277,Noelvi Marte,Logan Webb,0,0,0,047420c9-341c-48bc-9a86-44c67236fa83,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
14,2023-08-30,716789,Flyout,field_out,True,571912,657277,Luke Maile,Logan Webb,1,0,0,152bb06e-a5b5-40c6-9dc1-6c0f9f86f59c,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
15,2023-08-30,716789,Groundout,field_out,True,670770,657277,TJ Friedl,Logan Webb,0,0,0,5acd331a-2cb9-4c7e-9e7d-335dfce4d7f1,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
16,2023-08-30,716789,Lineout,field_out,True,657557,668881,Paul DeJong,Hunter Greene,0,0,0,9327582d-2dc7-4750-9ba8-682b0a831efa,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
17,2023-08-30,716789,Strikeout,strikeout,True,685133,668881,Wade Meckler,Hunter Greene,0,0,0,b7288a5c-f9fa-420e-a280-500e3f84ed0c,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
18,2023-08-30,716789,Double,double,False,669477,668881,Casey Schmitt,Hunter Greene,0,0,0,55356b39-4dbc-4826-9e9a-af103b018236,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
19,2023-08-30,716789,Strikeout,strikeout,True,664774,668881,LaMonte Wade Jr.,Hunter Greene,0,0,0,1b084723-9d00-4330-b0c5-f816236a9e5c,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.24100000000000002,0.40700000000000003,0.128,0.345,0.42,91.1,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.40399999999999997,0.053,-0.95,,0.16,-2.39,98.3,,87.3,0.304,,,0.265,0.229,,,,,,,,,,,,,,,,,,,,,
20,2023-08-30,716789,Strikeout,strikeout,True,668715,657277,Spencer Steer,Logan Webb,0,0,0,00435aee-175d-418a-9e28-41cb982f627f,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
21,2023-08-30,716789,Strikeout,strikeout,True,682829,657277,Elly De La Cruz,Logan Webb,0,0,0,07940be7-a149-40b4-a384-9753d77153e1,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
22,2023-08-30,716789,Single,single,False,605361,657277,Nick Martini,Logan Webb,1,0,0,05c6b67c-3f1d-4fd3-89c2-cc2364f9c028,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
23,2023-08-30,716789,Double,double,False,687952,657277,Christian Encarnacion-Strand,Logan Webb,1,0,1,63eb9312-9d93-41f3-968d-fac94775970e,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,,,,,,,,,,,,,,,
