,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,FF_ba,CU_ba,CH_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,vSC (sc),SC%,wSC/C,ST_ba,SC_ba,FC_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
29,2023-05-25,718035,Groundout,field_out,True,664954,663623,Brett Sullivan,Jake Irvin,0,0,0,a6966490-1199-4804-ac15-140d4168787b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2023-05-25,718035,Strikeout,strikeout,True,600869,605483,Jeimer Candelario,Blake Snell,0,0,0,094e8c88-cd1c-412b-bef9-0ecda4285329,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
31,2023-05-25,718035,Strikeout,strikeout,True,656448,605483,Stone Garrett,Blake Snell,0,0,0,39548340-5269-4193-ba14-65a83248c6aa,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
32,2023-05-25,718035,Double,double,False,642086,605483,Dominic Smith,Blake Snell,0,0,0,c6573a9f-6281-4208-8209-acb9c2f37a1a,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
33,2023-05-25,718035,Walk,walk,False,669743,605483,Alex Call,Blake Snell,1,0,0,7dc174da-f2b8-42dd-891f-c5750011ebc5,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
34,2023-05-25,718035,Walk,walk,False,656180,605483,Riley Adams,Blake Snell,0,0,1,3bb15113-f60c-4c90-bf68-1f4d60bc42b5,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
35,2023-05-25,718035,Forceout,force_out,True,682928,605483,CJ Abrams,Blake Snell,1,0,1,d287b014-4303-47be-aca3-8f27851d36b7,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
36,2023-05-25,718035,Single,single,False,665487,600921,Fernando Tatis Jr.,Andrés Machado,0,0,0,91feffae-94e7-433e-94ba-14fc26523224,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
37,2023-05-25,718035,Flyout,field_out,True,630105,600921,Jake Cronenworth,Andrés Machado,0,0,0,2c6285ea-46a0-4479-b771-c7b1f32d8c1b,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
38,2023-05-25,718035,Walk,walk,False,665742,600921,Juan Soto,Andrés Machado,1,0,1,384fa2db-3a6d-49a8-9b21-13dc57dbcbe5,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
