,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,CH_ba,CU_ba,FF_ba,SI_ba,SL_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FC_ba,ST_ba
0,2023-06-02,717927,Flyout,field_out,True,665923,665795,Esteury Ruiz,Edward Cabrera,0,0,0,c281a697-485d-4014-8116-3e183f95bc22,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.09300000000000001,0.27899999999999997,0.081,0.23399999999999999,0.314,0.19,-0.3,-0.71,-0.37,1.29,96.2,96.1,88.2,84.6,0.186,0.24,0.211,0.28,0.222,,,,,,,,,,,,,,,
1,2023-06-02,717927,Strikeout,strikeout,True,676116,665795,Ryan Noda,Edward Cabrera,0,0,0,db6d025c-c9a9-4666-b822-c35bea98a4b1,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.09300000000000001,0.27899999999999997,0.081,0.23399999999999999,0.314,0.19,-0.3,-0.71,-0.37,1.29,96.2,96.1,88.2,84.6,0.186,0.24,0.211,0.28,0.222,,,,,,,,,,,,,,,
2,2023-06-02,717927,Single,single,False,667670,665795,Brent Rooker,Edward Cabrera,1,1,0,99ecd1d7-d8f2-407d-a9da-ddc2b35928ac,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.09300000000000001,0.27899999999999997,0.081,0.23399999999999999,0.314,0.19,-0.3,-0.71,-0.37,1.29,96.2,96.1,88.2,84.6,0.186,0.24,0.211,0.28,0.222,,,,,,,,,,,,,,,
3,2023-06-02,717927,Strikeout,strikeout,True,664913,665795,Seth Brown,Edward Cabrera,0,0,1,98fa2c95-5267-4ffe-be60-627d2d8abf20,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.09300000000000001,0.27899999999999997,0.081,0.23399999999999999,0.314,0.19,-0.3,-0.71,-0.37,1.29,96.2,96.1,88.2,84.6,0.186,0.24,0.211,0.28,0.222,,,,,,,,,,,,,,,
4,2023-06-02,717927,Pop Out,field_out,True,650333,660261,Luis Arraez,Shintaro Fujinami,1,0,0,6eba09f5-8ff3-4f2a-8e03-f75106fc7e9d,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,,0.5660000000000001,0.073,0.001,,0.08,,-1.47,-81.55,,98.4,,84.4,75.7,,,0.243,,0.75,94.0,92.0,93.0,138.0,95.0,100.0,0.162,0.19899999999999998,1.27,-1.4,88.3,92.8,0.243,0.171,0.235
5,2023-06-02,717927,Flyout,field_out,True,624585,660261,Jorge Soler,Shintaro Fujinami,0,0,0,ebfcf6ac-8e44-425f-ac77-2d8fa6397829,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,,0.5660000000000001,0.073,0.001,,0.08,,-1.47,-81.55,,98.4,,84.4,75.7,,,0.243,,0.75,94.0,92.0,93.0,138.0,95.0,100.0,0.162,0.19899999999999998,1.27,-1.4,88.3,92.8,0.243,0.171,0.235
6,2023-06-02,717927,Single,single,False,650559,660261,Bryan De La Cruz,Shintaro Fujinami,1,0,0,5d40be7e-a995-4cc2-b31c-ff22d4aeb693,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,,0.5660000000000001,0.073,0.001,,0.08,,-1.47,-81.55,,98.4,,84.4,75.7,,,0.243,,0.75,94.0,92.0,93.0,138.0,95.0,100.0,0.162,0.19899999999999998,1.27,-1.4,88.3,92.8,0.243,0.171,0.235
7,2023-06-02,717927,Home Run,home_run,False,660821,660261,Jesús Sánchez,Shintaro Fujinami,0,0,1,783967f6-9d3e-4eb0-bfa8-0b1e4f17659e,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,,0.5660000000000001,0.073,0.001,,0.08,,-1.47,-81.55,,98.4,,84.4,75.7,,,0.243,,0.75,94.0,92.0,93.0,138.0,95.0,100.0,0.162,0.19899999999999998,1.27,-1.4,88.3,92.8,0.243,0.171,0.235
8,2023-06-02,717927,Strikeout,strikeout,True,493329,660261,Yuli Gurriel,Shintaro Fujinami,0,0,0,fa073c44-c31c-45c9-95d9-a1aeac5e7f99,660261.0,shintarofujinami,Fujinami,Right,Shintaro Fujinami,7.18,4.8,79.0,92.0,112.0,94.0,0.7340000000000001,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.16699999999999998,0.37799999999999995,0.42,,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,,0.5660000000000001,0.073,0.001,,0.08,,-1.47,-81.55,,98.4,,84.4,75.7,,,0.243,,0.75,94.0,92.0,93.0,138.0,95.0,100.0,0.162,0.19899999999999998,1.27,-1.4,88.3,92.8,0.243,0.171,0.235
9,2023-06-02,717927,Groundout,field_out,True,649557,665795,Aledmys Díaz,Edward Cabrera,0,0,0,5ab30556-6c79-4413-a65b-8fe95da632ff,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.34700000000000003,92.9,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.09300000000000001,0.27899999999999997,0.081,0.23399999999999999,0.314,0.19,-0.3,-0.71,-0.37,1.29,96.2,96.1,88.2,84.6,0.186,0.24,0.211,0.28,0.222,,,,,,,,,,,,,,,
