,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,FC_ba,CU_ba,ST_ba,FF_ba,CH_ba,SL_ba,FS_ba
10,2023-05-12,718206,Flyout,field_out,True,656305,675911,Matt Chapman,Spencer Strider,1,0,0,8d825f20-8dd8-48d7-9b26-ac0c03790df6,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
11,2023-05-12,718206,Groundout,field_out,True,672386,675911,Alejandro Kirk,Spencer Strider,1,0,0,13c7872c-a700-452c-9bf3-ecb8ed9c4dee,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
12,2023-05-12,718206,Flyout,field_out,True,518595,605135,Travis d'Arnaud,Chris Bassitt,0,0,0,e4ffd01b-18a6-4939-a4c1-ba3929710a84,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.09300000000000001,0.153,0.033,0.136,0.126,0.065,-3.9,-1.13,-3.07,2.11,-0.72,0.67,1.71,92.4,87.8,82.6,91.9,75.6,70.7,0.22,0.274,0.192,0.197,0.333,0.189,0.227,0.375
13,2023-05-12,718206,Lineout,field_out,True,671739,605135,Michael Harris II,Chris Bassitt,1,0,0,ed2bed07-13aa-4517-9967-496d032ab573,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.09300000000000001,0.153,0.033,0.136,0.126,0.065,-3.9,-1.13,-3.07,2.11,-0.72,0.67,1.71,92.4,87.8,82.6,91.9,75.6,70.7,0.22,0.274,0.192,0.197,0.333,0.189,0.227,0.375
14,2023-05-12,718206,Strikeout,strikeout,True,606115,605135,Orlando Arcia,Chris Bassitt,0,0,0,c968f05d-e11d-49a6-b33e-6c92741563f9,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.45899999999999996,84.1,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.39299999999999996,0.09300000000000001,0.153,0.033,0.136,0.126,0.065,-3.9,-1.13,-3.07,2.11,-0.72,0.67,1.71,92.4,87.8,82.6,91.9,75.6,70.7,0.22,0.274,0.192,0.197,0.333,0.189,0.227,0.375
15,2023-05-12,718206,Hit By Pitch,hit_by_pitch,False,474832,675911,Brandon Belt,Spencer Strider,1,1,0,b94feeb2-f1cf-409d-b8dd-3c8e63bcf45f,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
16,2023-05-12,718206,Strikeout,strikeout,True,593160,675911,Whit Merrifield,Spencer Strider,0,0,0,11b6fc14-677f-4c51-8353-d129afe82665,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
17,2023-05-12,718206,Single,single,False,595281,675911,Kevin Kiermaier,Spencer Strider,0,0,1,10ea82f9-9096-48b5-8b9c-751289719410,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
18,2023-05-12,718206,Strikeout,strikeout,True,543807,675911,George Springer,Spencer Strider,0,0,0,14c66b62-901f-461e-9167-828d087d93e2,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
19,2023-05-12,718206,Lineout,field_out,True,666182,675911,Bo Bichette,Spencer Strider,1,0,0,60d8f7b9-ba2b-4341-8415-a92886397ecf,675911.0,spencerstrider,Strider,Right,Spencer Strider,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.32799999999999996,0.32299999999999995,0.142,0.354,0.43799999999999994,87.0,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,,0.33799999999999997,,0.073,0.4,,,,1.67,,0.97,97.2,,,,85.6,,,,,,0.256,0.122,0.154,
