,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,CH_ba,ST_ba,CU_ba,FC_ba,SI%,wSI/C,vSI,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-09-16,716561,Strikeout,strikeout,True,650490,680570,Yandy Díaz,Grayson Rodriguez,0,0,0,014da3fb-27a9-4d82-a016-89e46b38eece,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,76.0,90.0,86.0,0.496,0.052000000000000005,0.14800000000000002,0.081,0.22399999999999998,-0.83,-1.59,1.92,-0.49,1.7,97.4,90.0,82.4,79.9,0.342,0.201,0.153,0.176,0.333,,,,,,,,,,,,,,
1,2023-09-16,716561,Groundout,field_out,True,664040,680570,Brandon Lowe,Grayson Rodriguez,1,0,0,3e738e87-fc18-48fc-ac56-ffd04f15b29a,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,76.0,90.0,86.0,0.496,0.052000000000000005,0.14800000000000002,0.081,0.22399999999999998,-0.83,-1.59,1.92,-0.49,1.7,97.4,90.0,82.4,79.9,0.342,0.201,0.153,0.176,0.333,,,,,,,,,,,,,,
2,2023-09-16,716561,Strikeout,strikeout,True,668227,680570,Randy Arozarena,Grayson Rodriguez,0,0,0,70e7705b-49a5-430a-b972-b04c9db2270a,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,76.0,90.0,86.0,0.496,0.052000000000000005,0.14800000000000002,0.081,0.22399999999999998,-0.83,-1.59,1.92,-0.49,1.7,97.4,90.0,82.4,79.9,0.342,0.201,0.153,0.176,0.333,,,,,,,,,,,,,,
3,2023-09-16,716561,Single,single,False,683002,607192,Gunnar Henderson,Tyler Glasnow,0,0,0,1a17f400-62cf-4ab1-aac8-fa277fe572fb,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.43200000000000005,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,90.1,83.9,0.236,,,0.095,,0.004,-7.7,96.4,0.254,,,,,,,,,,
4,2023-09-16,716561,Walk,walk,False,668939,607192,Adley Rutschman,Tyler Glasnow,0,0,1,0c01d8e3-0eac-4718-8e41-32a247cd7ea8,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.43200000000000005,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,90.1,83.9,0.236,,,0.095,,0.004,-7.7,96.4,0.254,,,,,,,,,,
5,2023-09-16,716561,Strikeout,strikeout,True,623993,607192,Anthony Santander,Tyler Glasnow,0,0,1,acc4423e-8540-42e5-be01-c4273b268441,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.43200000000000005,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,90.1,83.9,0.236,,,0.095,,0.004,-7.7,96.4,0.254,,,,,,,,,,
6,2023-09-16,716561,Single,single,False,656811,607192,Ryan O'Hearn,Tyler Glasnow,0,0,1,1fa5b712-fa67-4f14-be8f-137b3396ca4c,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.43200000000000005,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,90.1,83.9,0.236,,,0.095,,0.004,-7.7,96.4,0.254,,,,,,,,,,
7,2023-09-16,716561,Grounded Into DP,grounded_into_double_play,True,669720,607192,Austin Hays,Tyler Glasnow,1,0,1,976ef020-835e-492c-8b20-7e746d5e687b,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.43200000000000005,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,90.1,83.9,0.236,,,0.095,,0.004,-7.7,96.4,0.254,,,,,,,,,,
8,2023-09-16,716561,Strikeout,strikeout,True,666139,680570,Josh Lowe,Grayson Rodriguez,0,0,0,748c1d9d-19a6-486b-8701-144cfcc1c940,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,76.0,90.0,86.0,0.496,0.052000000000000005,0.14800000000000002,0.081,0.22399999999999998,-0.83,-1.59,1.92,-0.49,1.7,97.4,90.0,82.4,79.9,0.342,0.201,0.153,0.176,0.333,,,,,,,,,,,,,,
9,2023-09-16,716561,Flyout,field_out,True,622534,680570,Manuel Margot,Grayson Rodriguez,0,0,0,10765f8c-8a95-49f4-9218-25348afedbef,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,76.0,90.0,86.0,0.496,0.052000000000000005,0.14800000000000002,0.081,0.22399999999999998,-0.83,-1.59,1.92,-0.49,1.7,97.4,90.0,82.4,79.9,0.342,0.201,0.153,0.176,0.333,,,,,,,,,,,,,,
