,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,SI_ba,CH_ba,CU_ba,FF_ba,FC_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,FS%,wFS/C,vFS,SL_ba,FS_ba
61,2023-06-09,717832,Groundout,field_out,True,669242,669270,Tommy Edman,Joel Kuhnel,1,1,0,5222192a-f821-4f33-a1ca-aca72bfda532,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
62,2023-06-09,717832,Walk,walk,False,680574,608717,Matt McLain,Chris Stratton,1,0,0,3654d3c6-2690-476c-b763-7f316cdc4687,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
63,2023-06-09,717832,Strikeout,strikeout,True,663697,608717,Jonathan India,Chris Stratton,0,0,0,dd2b1cee-59d9-4b8a-9f42-06a0aa4adbc3,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
64,2023-06-09,717832,Single,single,False,682829,608717,Elly De La Cruz,Chris Stratton,1,0,1,214c3870-0d14-43ac-8a65-a578cb5491f7,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
65,2023-06-09,717832,Walk,walk,False,668715,608717,Spencer Steer,Chris Stratton,0,0,1,c36394c5-eadf-466d-aa5b-7209f2629488,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
66,2023-06-09,717832,Sac Fly,sac_fly,True,663886,608717,Tyler Stephenson,Chris Stratton,0,0,1,9293e6a5-33db-493d-b829-cff61eb7c139,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
67,2023-06-09,717832,Double,double,False,656413,608717,Stuart Fairchild,Chris Stratton,0,0,1,78767f95-a57a-4d8e-b263-9fec39df198a,608717.0,chrisstratton,"Stratton, C",Right,Chris Stratton,3.92,3.58,82.2,104.0,108.0,106.0,0.805,8.82,2.72,7.51,0.87,0.85,0.361,0.335,0.139,0.335,0.43200000000000005,86.8,103.0,104.0,109.0,128.0,105.0,110.0,104.0,105.0,103.0,,,,,,,,0.547,,0.188,0.07200000000000001,1.96,,,-1.19,0.46,93.1,,,80.8,,0.158,0.323,0.188,,105.0,103.0,111.0,0.193,-0.54,86.9,,,,,0.246,
68,2023-06-09,717832,Groundout,field_out,True,686759,606149,TJ Hopkins,Giovanny Gallegos,0,0,0,32e27cb7-b66d-49b6-9910-58a2b3da6443,606149.0,giovannygallegos,Gallegos,Right,Giovanny Gallegos,4.42,4.16,55.0,100.0,101.0,100.0,0.662,9.65,1.96,8.84,1.8,0.76,0.272,0.418,0.158,0.405,0.39899999999999997,87.5,74.0,95.0,90.0,,,,78.0,100.0,90.0,,,,,,,,0.502,,,0.035,0.42,,,,-7.01,93.7,,,,,0.667,,0.267,,129.0,101.0,111.0,0.46299999999999997,0.05,85.0,,,,,0.214,
69,2023-06-09,717832,Groundout,field_out,True,657557,669270,Paul DeJong,Joel Kuhnel,0,0,0,2eac8079-2393-4d4f-b82b-f26db989ea70,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
70,2023-06-09,717832,Single,single,False,691023,669270,Jordan Walker,Joel Kuhnel,0,0,0,4a745c96-42aa-4f93-9320-7c060e170134,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
71,2023-06-09,717832,Walk,walk,False,666185,669270,Dylan Carlson,Joel Kuhnel,0,0,1,be9e7d03-2ca6-4bb8-bfcf-bbae24cc1c67,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
72,2023-06-09,717832,Flyout,field_out,True,680977,669270,Brendan Donovan,Joel Kuhnel,1,0,1,7684ab7e-e203-49b9-b2bb-ca45acd8265d,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
73,2023-06-09,717832,Lineout,field_out,True,502671,669270,Paul Goldschmidt,Joel Kuhnel,0,0,0,9c54dd26-7f61-4f0b-8452-f0b1bd1ab54c,669270.0,joelkuhnel,Kuhnel,Right,Joel Kuhnel,5.54,6.82,13.0,102.0,86.0,99.0,0.82,2.08,3.46,11.08,1.38,2.33,0.265,0.34700000000000003,0.22399999999999998,0.36700000000000005,0.456,89.1,87.0,107.0,107.0,,,,77.0,96.0,85.0,87.0,106.0,109.0,,,,0.226,0.395,,,0.154,0.34,,6.74,,-12.74,94.2,,94.8,,0.188,0.556,,0.313,,101.0,105.0,106.0,0.226,-1.5,85.5,,,,,0.273,
74,2023-06-09,717832,Flyout,field_out,True,666181,606149,Will Benson,Giovanny Gallegos,0,0,0,cd855dec-99cd-466d-bf9e-426709fcde31,606149.0,giovannygallegos,Gallegos,Right,Giovanny Gallegos,4.42,4.16,55.0,100.0,101.0,100.0,0.662,9.65,1.96,8.84,1.8,0.76,0.272,0.418,0.158,0.405,0.39899999999999997,87.5,74.0,95.0,90.0,,,,78.0,100.0,90.0,,,,,,,,0.502,,,0.035,0.42,,,,-7.01,93.7,,,,,0.667,,0.267,,129.0,101.0,111.0,0.46299999999999997,0.05,85.0,,,,,0.214,
75,2023-06-09,717832,Groundout,field_out,True,621028,606149,Kevin Newman,Giovanny Gallegos,1,0,0,12e63c52-e6bb-4675-9189-d5c6e1e88e42,606149.0,giovannygallegos,Gallegos,Right,Giovanny Gallegos,4.42,4.16,55.0,100.0,101.0,100.0,0.662,9.65,1.96,8.84,1.8,0.76,0.272,0.418,0.158,0.405,0.39899999999999997,87.5,74.0,95.0,90.0,,,,78.0,100.0,90.0,,,,,,,,0.502,,,0.035,0.42,,,,-7.01,93.7,,,,,0.667,,0.267,,129.0,101.0,111.0,0.46299999999999997,0.05,85.0,,,,,0.214,
76,2023-06-09,717832,Strikeout,strikeout,True,680574,606149,Matt McLain,Giovanny Gallegos,0,0,0,c13a2ef1-9cd8-4b1f-a211-511c4835f67b,606149.0,giovannygallegos,Gallegos,Right,Giovanny Gallegos,4.42,4.16,55.0,100.0,101.0,100.0,0.662,9.65,1.96,8.84,1.8,0.76,0.272,0.418,0.158,0.405,0.39899999999999997,87.5,74.0,95.0,90.0,,,,78.0,100.0,90.0,,,,,,,,0.502,,,0.035,0.42,,,,-7.01,93.7,,,,,0.667,,0.267,,129.0,101.0,111.0,0.46299999999999997,0.05,85.0,,,,,0.214,
