,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vSL,FF_ba,ST_ba,CH_ba,FC_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,CU_ba,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2023-04-23,718460,Strikeout,strikeout,True,542932,671106,Jon Berti,Logan Allen,0,0,0,e23a09c2-ad87-41b8-a581-789542abc8cb,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-04-23,718460,Strikeout,strikeout,True,643265,671106,Garrett Cooper,Logan Allen,0,0,0,5a1ff4ae-9ddd-4b54-9769-eba8effdd526,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-04-23,718460,Double,double,False,624585,671106,Jorge Soler,Logan Allen,0,0,0,ad0b7e70-3752-48bc-8bcf-2dde661fbcc6,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-04-23,718460,Groundout,field_out,True,650559,671106,Bryan De La Cruz,Logan Allen,0,0,0,3cb7263a-d9ba-4a20-a54b-f3e71a646261,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-04-23,718460,Groundout,field_out,True,680757,666200,Steven Kwan,Jesús Luzardo,1,1,0,d14b75d8-7fe8-493b-9b95-cfeecc7fb2e0,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,111.0,97.0,105.0,68.0,87.0,76.0,0.457,0.004,0.289,0.21,0.93,0.74,-0.26,-0.09,96.7,91.4,85.1,0.232,,0.248,,0.233,82.0,100.0,97.0,0.04,-0.81,96.5,0.314,,,,,,,,,,,,,,,,,,,,
5,2023-04-23,718460,Flyout,field_out,True,642708,666200,Amed Rosario,Jesús Luzardo,0,0,0,6c5cf7df-4dcd-4a11-afd4-cd9c11e4584e,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,111.0,97.0,105.0,68.0,87.0,76.0,0.457,0.004,0.289,0.21,0.93,0.74,-0.26,-0.09,96.7,91.4,85.1,0.232,,0.248,,0.233,82.0,100.0,97.0,0.04,-0.81,96.5,0.314,,,,,,,,,,,,,,,,,,,,
6,2023-04-23,718460,Groundout,field_out,True,608070,666200,José Ramírez,Jesús Luzardo,0,0,0,c5244ec8-0ebc-467c-a4ff-827efa6f01dd,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.28600000000000003,0.38299999999999995,0.163,0.373,0.402,88.3,93.0,99.0,100.0,106.0,103.0,100.0,111.0,97.0,105.0,68.0,87.0,76.0,0.457,0.004,0.289,0.21,0.93,0.74,-0.26,-0.09,96.7,91.4,85.1,0.232,,0.248,,0.233,82.0,100.0,97.0,0.04,-0.81,96.5,0.314,,,,,,,,,,,,,,,,,,,,
7,2023-04-23,718460,Strikeout,strikeout,True,541645,671106,Avisaíl García,Logan Allen,0,0,0,f9dc7d6f-9b2f-4a55-bb10-6c1ba8cbc180,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-04-23,718460,Groundout,field_out,True,665862,671106,Jazz Chisholm Jr.,Logan Allen,1,0,0,5ae03dc8-73d7-4b9d-95d1-3c3519e15d3a,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-04-23,718460,Groundout,field_out,True,516416,671106,Jean Segura,Logan Allen,1,0,0,6e7fae88-a1e8-4a7c-a641-817a4df3f2e9,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,79.3,0.257,0.263,0.191,0.462,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
