,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,SV_ba,CH_ba,FF_ba,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FC_ba,SL_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-07-30,717201,Single,single,False,650859,621244,Luis Rengifo,José Berríos,1,1,0,502de5c9-625d-4d22-9289-29cd4ba25bab,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.29600000000000004,0.185,0.72,0.61,0.31,-0.38,94.3,93.8,82.6,0.255,0.216,0.245,0.254,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-07-30,717201,Flyout,field_out,True,660271,621244,Shohei Ohtani,José Berríos,1,0,0,66a7927a-2b02-4012-bf3f-b00d70a40613,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.29600000000000004,0.185,0.72,0.61,0.31,-0.38,94.3,93.8,82.6,0.255,0.216,0.245,0.254,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-07-30,717201,Single,single,False,666160,621244,Mickey Moniak,José Berríos,0,0,1,739eadd6-5d31-4c34-a5a8-975a32e3ca6d,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.29600000000000004,0.185,0.72,0.61,0.31,-0.38,94.3,93.8,82.6,0.255,0.216,0.245,0.254,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-07-30,717201,Pop Out,field_out,True,519058,621244,Mike Moustakas,José Berríos,1,0,0,1eb8cd22-9bd4-4369-8d56-22972978c2e6,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.29600000000000004,0.185,0.72,0.61,0.31,-0.38,94.3,93.8,82.6,0.255,0.216,0.245,0.254,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-07-30,717201,Strikeout,strikeout,True,642136,621244,Matt Thaiss,José Berríos,0,0,1,a28fea64-cb9e-440f-8554-1ca57de85e7c,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,116.0,104.0,110.0,96.0,103.0,99.0,92.0,104.0,99.0,0.315,0.204,0.29600000000000004,0.185,0.72,0.61,0.31,-0.38,94.3,93.8,82.6,0.255,0.216,0.245,0.254,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-07-30,717201,Flyout,field_out,True,593160,542881,Whit Merrifield,Tyler Anderson,0,0,0,a2a21492-5e52-4adc-893a-e192c37d0d23,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.33799999999999997,-1.25,-3.61,-0.33,0.08,90.1,88.5,72.9,0.36,,0.238,0.301,105.0,76.0,95.0,104.0,103.0,98.0,0.22399999999999998,0.001,0.006999999999999999,0.48,-4.72,-1.06,85.1,90.1,78.1,0.239,0.2,,,,,,,
6,2023-07-30,717201,Single,single,False,666182,542881,Bo Bichette,Tyler Anderson,1,0,0,e5893048-6030-42ae-a78d-4ddb3b75c7b3,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.33799999999999997,-1.25,-3.61,-0.33,0.08,90.1,88.5,72.9,0.36,,0.238,0.301,105.0,76.0,95.0,104.0,103.0,98.0,0.22399999999999998,0.001,0.006999999999999999,0.48,-4.72,-1.06,85.1,90.1,78.1,0.239,0.2,,,,,,,
7,2023-07-30,717201,Single,single,False,665489,542881,Vladimir Guerrero Jr.,Tyler Anderson,0,0,1,76fb8236-5f2a-45c2-a78a-355e8306a634,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.33799999999999997,-1.25,-3.61,-0.33,0.08,90.1,88.5,72.9,0.36,,0.238,0.301,105.0,76.0,95.0,104.0,103.0,98.0,0.22399999999999998,0.001,0.006999999999999999,0.48,-4.72,-1.06,85.1,90.1,78.1,0.239,0.2,,,,,,,
8,2023-07-30,717201,Strikeout,strikeout,True,656305,542881,Matt Chapman,Tyler Anderson,0,0,0,97326a9e-c7b1-482a-89d8-50a278a5b710,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.33799999999999997,-1.25,-3.61,-0.33,0.08,90.1,88.5,72.9,0.36,,0.238,0.301,105.0,76.0,95.0,104.0,103.0,98.0,0.22399999999999998,0.001,0.006999999999999999,0.48,-4.72,-1.06,85.1,90.1,78.1,0.239,0.2,,,,,,,
9,2023-07-30,717201,Flyout,field_out,True,543807,542881,George Springer,Tyler Anderson,0,0,0,66fc7800-d0d6-472b-a4c3-8f0d59ff2a8d,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.24600000000000002,0.401,0.182,0.289,0.406,80.0,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.33799999999999997,-1.25,-3.61,-0.33,0.08,90.1,88.5,72.9,0.36,,0.238,0.301,105.0,76.0,95.0,104.0,103.0,98.0,0.22399999999999998,0.001,0.006999999999999999,0.48,-4.72,-1.06,85.1,90.1,78.1,0.239,0.2,,,,,,,
