,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,CH_ba,SI_ba,ST_ba,FF_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,SL_ba
10,2023-07-09,717422,Groundout,field_out,True,678662,657277,Ezequiel Tovar,Logan Webb,1,0,0,3ae38f62-91f6-480e-8005-2b5b41196016,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
11,2023-07-09,717422,Flyout,field_out,True,624424,607536,Michael Conforto,Kyle Freeland,0,0,0,f4aac421-e77a-437b-9354-43f812f2ffe8,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
12,2023-07-09,717422,Single,single,False,682641,607536,Luis Matos,Kyle Freeland,0,0,0,b3b65be7-b5b3-4805-9be3-2de936473540,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
13,2023-07-09,717422,Flyout,field_out,True,573262,607536,Mike Yastrzemski,Kyle Freeland,1,0,0,980096c3-7565-407b-a620-4df6135d5629,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
14,2023-07-09,717422,Flyout,field_out,True,669477,607536,Casey Schmitt,Kyle Freeland,0,0,0,34baa25c-4853-4d28-8b1a-bde81040b392,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
15,2023-07-09,717422,Strikeout,strikeout,True,605612,657277,Harold Castro,Logan Webb,0,0,0,cca6b277-18fc-4648-b408-e6726646adac,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
16,2023-07-09,717422,Double,double,False,686668,657277,Brenton Doyle,Logan Webb,0,0,0,7f1db984-6edb-4f06-9318-c9343a8ce5b2,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
17,2023-07-09,717422,Groundout,field_out,True,595777,657277,Jurickson Profar,Logan Webb,0,0,1,4cbbe1c2-42ac-432c-8fb1-f5354d10f518,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
18,2023-07-09,717422,Groundout,field_out,True,592178,657277,Kris Bryant,Logan Webb,0,0,0,e2c103dc-001d-4df9-959c-fe41da19b269,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
19,2023-07-09,717422,Flyout,field_out,True,689172,607536,Brett Wisely,Kyle Freeland,0,0,0,68104c5a-4312-4962-9957-786a0e492e5e,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
