,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,CH_ba,ST_ba,FC_ba,FF_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,SL_ba
0,2023-09-13,716604,Groundout,field_out,True,663457,502043,Lars Nootbaar,Kyle Gibson,0,0,0,b1764f0f-debc-4a15-9112-3201e37b8ec3,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
1,2023-09-13,716604,Walk,walk,False,502671,502043,Paul Goldschmidt,Kyle Gibson,1,0,0,690de690-9153-48d4-99cc-e5a9a63affc5,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
2,2023-09-13,716604,Grounded Into DP,grounded_into_double_play,True,676475,502043,Alec Burleson,Kyle Gibson,1,0,1,85107292-342b-4e9a-b0bf-7c9f95164b8a,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
3,2023-09-13,716604,Flyout,field_out,True,668939,680723,Adley Rutschman,Drew Rom,1,0,0,ba5220d8-059c-417b-8432-ff44b8776cf0,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,87.4,79.4,,0.351,,0.289,,0.333,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,
4,2023-09-13,716604,Walk,walk,False,663624,680723,Ryan Mountcastle,Drew Rom,1,0,0,95c607ea-615c-4d82-8608-f1f1cea00c7b,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,87.4,79.4,,0.351,,0.289,,0.333,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,
5,2023-09-13,716604,Strikeout,strikeout,True,623993,680723,Anthony Santander,Drew Rom,0,0,0,7b352073-eb10-41b6-8f00-fb7954cc1364,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,87.4,79.4,,0.351,,0.289,,0.333,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,
6,2023-09-13,716604,Flyout,field_out,True,669720,680723,Austin Hays,Drew Rom,0,0,0,89404db6-3864-4b38-8695-4e397b28aec3,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,87.4,79.4,,0.351,,0.289,,0.333,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,
7,2023-09-13,716604,Groundout,field_out,True,641933,502043,Tyler O'Neill,Kyle Gibson,0,0,0,5b7b5215-3e77-4f67-9a27-9de1ed1ab959,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
8,2023-09-13,716604,Groundout,field_out,True,680700,502043,Richie Palacios,Kyle Gibson,0,0,0,df912a34-fd71-4bd4-8c2d-9e5c6d739e53,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
9,2023-09-13,716604,Walk,walk,False,691023,502043,Jordan Walker,Kyle Gibson,1,0,0,1eb648cd-6cfd-49f4-9d1f-0e516ceb711a,502043.0,kylegibson,Gibson,Right,Kyle Gibson,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.39399999999999996,85.5,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,0.17,-0.69,-1.02,-0.08,2.01,0.01,-0.29,92.1,89.8,91.9,81.6,79.5,0.289,0.288,0.147,0.345,0.287,0.279,,,,,,,,
