,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,CH_ba,CU_ba,FF_ba,FC_ba,SL_ba,SI_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SL%,KC%,wSL/C,wKC/C,vSL,vKC,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-28,717983,Flyout,field_out,True,457705,594835,Andrew McCutchen,Marco Gonzales,0,0,0,333e7fa7-f298-498b-80ce-6b06cb9cea36,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-28,717983,Strikeout,strikeout,True,668804,594835,Bryan Reynolds,Marco Gonzales,0,0,0,8876face-10e3-4c86-b4a3-a47208669b3f,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-28,717983,Strikeout,strikeout,True,656582,594835,Connor Joe,Marco Gonzales,0,0,0,5fc5f94b-b2fc-41d8-83bc-ae87e6aab678,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-28,717983,Flyout,field_out,True,641487,682847,J.P. Crawford,Luis L. Ortiz,0,0,0,fb365857-e8e8-445a-a025-640d527471d0,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.383,,0.246,0.294,,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-28,717983,Groundout,field_out,True,664034,682847,Ty France,Luis L. Ortiz,0,0,0,7b80b567-c2fe-42d7-85c5-404ea3cd0a8b,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.383,,0.246,0.294,,,,,,,,,,,,,,,,,,,,,,,
5,2023-05-28,717983,Home Run,home_run,False,677594,682847,Julio Rodríguez,Luis L. Ortiz,1,0,0,a63922bd-5143-4462-9971-116d0b10af4d,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.383,,0.246,0.294,,,,,,,,,,,,,,,,,,,,,,,
6,2023-05-28,717983,Walk,walk,False,672284,682847,Jarred Kelenic,Luis L. Ortiz,1,0,0,a260aa94-4808-43d7-bf00-5b31355650d5,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.383,,0.246,0.294,,,,,,,,,,,,,,,,,,,,,,,
7,2023-05-28,717983,Strikeout,strikeout,True,553993,682847,Eugenio Suárez,Luis L. Ortiz,0,0,0,5adac6ad-c4ae-4239-9482-5e3754b4f53b,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,0.383,,0.246,0.294,,,,,,,,,,,,,,,,,,,,,,,
8,2023-05-28,717983,Walk,walk,False,467793,594835,Carlos Santana,Marco Gonzales,0,0,0,5bddf9de-5fa2-4d77-b47a-c389c132e7cd,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-05-28,717983,Lineout,field_out,True,666801,594835,Rodolfo Castro,Marco Gonzales,0,0,0,0b283c6f-9407-4ec9-bcef-2ed1e207e403,594835.0,marcogonzales,"Gonzales, M",Left,Marco Gonzales,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.20199999999999999,0.46,0.129,0.294,0.429,79.9,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,92.0,104.0,90.0,0.002,0.366,0.08800000000000001,0.242,0.302,-1.28,-2.98,6.42,1.1,1.36,89.0,85.9,88.8,79.3,0.222,0.294,0.333,0.389,,,,,,,,,,,,,,,,,,,,,,,,,
