,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,CH_ba,SI_ba,FF_ba,CU_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-09-05,716708,Home Run,home_run,False,664774,543294,LaMonte Wade Jr.,Kyle Hendricks,0,0,0,fc04de8b-5ed4-4f97-bf14-abd80f2003f4,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-09-05,716708,Pop Out,field_out,True,573262,543294,Mike Yastrzemski,Kyle Hendricks,0,0,0,a6d8dae5-f4e9-43e5-b3bc-c20edc94aaef,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-09-05,716708,Flyout,field_out,True,527038,543294,Wilmer Flores,Kyle Hendricks,0,0,0,939f5d72-00b7-44da-a91a-297e8d6258da,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-09-05,716708,Groundout,field_out,True,592626,543294,Joc Pederson,Kyle Hendricks,1,0,0,8ca5d27f-cad0-42ad-8147-5bcd0a4c0434,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-09-05,716708,Strikeout,strikeout,True,643565,676254,Mike Tauchman,Ryan Walker,0,0,0,f8ed2fbd-614e-4f5c-a3f2-00e024374b36,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,3.23,3.06,61.1,101.0,115.0,104.0,0.7140000000000001,11.45,3.52,8.95,1.17,1.18,0.233,0.42100000000000004,0.233,0.18899999999999997,0.418,,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,0.496,,0.001,,,0.41,-5.8,,,94.8,72.7,,0.279,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,,,,,,,,,,,,,,,,,,,,,
5,2023-09-05,716708,Strikeout,strikeout,True,663538,676254,Nico Hoerner,Ryan Walker,0,0,0,d02ad822-da0c-46ca-a26c-2c0dab43bfe9,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,3.23,3.06,61.1,101.0,115.0,104.0,0.7140000000000001,11.45,3.52,8.95,1.17,1.18,0.233,0.42100000000000004,0.233,0.18899999999999997,0.418,,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,0.496,,0.001,,,0.41,-5.8,,,94.8,72.7,,0.279,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,,,,,,,,,,,,,,,,,,,,,
6,2023-09-05,716708,Walk,walk,False,664023,676254,Ian Happ,Ryan Walker,1,0,0,fa08d2c1-7dc3-4bd4-a818-c24489588fa4,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,3.23,3.06,61.1,101.0,115.0,104.0,0.7140000000000001,11.45,3.52,8.95,1.17,1.18,0.233,0.42100000000000004,0.233,0.18899999999999997,0.418,,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,0.496,,0.001,,,0.41,-5.8,,,94.8,72.7,,0.279,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,,,,,,,,,,,,,,,,,,,,,
7,2023-09-05,716708,Walk,walk,False,641355,676254,Cody Bellinger,Ryan Walker,1,0,1,c9cd439e-80d6-4fb1-92d5-218ccfa5c737,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,3.23,3.06,61.1,101.0,115.0,104.0,0.7140000000000001,11.45,3.52,8.95,1.17,1.18,0.233,0.42100000000000004,0.233,0.18899999999999997,0.418,,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,0.496,,0.001,,,0.41,-5.8,,,94.8,72.7,,0.279,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,,,,,,,,,,,,,,,,,,,,,
8,2023-09-05,716708,Lineout,field_out,True,621020,676254,Dansby Swanson,Ryan Walker,1,0,0,eda66bf5-b4d1-4f75-ac13-c4a388d12e8f,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,3.23,3.06,61.1,101.0,115.0,104.0,0.7140000000000001,11.45,3.52,8.95,1.17,1.18,0.233,0.42100000000000004,0.233,0.18899999999999997,0.418,,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,0.496,,0.001,,,0.41,-5.8,,,94.8,72.7,,0.279,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,,,,,,,,,,,,,,,,,,,,,
9,2023-09-05,716708,Strikeout,strikeout,True,666165,543294,Blake Sabol,Kyle Hendricks,0,0,0,b2ddc4df-2bab-4994-ab7c-b643ba3f46da,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,3.74,4.13,137.0,105.0,60.0,93.0,0.8009999999999999,6.11,1.77,9.07,0.85,1.36,0.196,0.43799999999999994,0.233,0.249,0.38299999999999995,80.7,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,0.349,0.205,0.035,0.41100000000000003,-1.61,0.04,0.0,1.43,87.8,87.5,73.3,0.18,0.318,0.38,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
