,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FS_ba,SI_ba,CU_ba,SL_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,FF_ba,CH_ba
0,2023-08-12,717029,Flyout,field_out,True,543760,502171,Marcus Semien,Alex Cobb,1,0,0,d0edb2ee-7aea-4d72-afe7-e32924e2eb2b,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,
1,2023-08-12,717029,Home Run,home_run,False,608369,502171,Corey Seager,Alex Cobb,0,0,0,b94fdd23-dcb4-4054-917f-2e46e9795655,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,
2,2023-08-12,717029,Groundout,field_out,True,663993,502171,Nathaniel Lowe,Alex Cobb,0,0,0,a73100ae-420e-4822-ae60-517378c91a01,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,
3,2023-08-12,717029,Groundout,field_out,True,666969,502171,Adolis García,Alex Cobb,1,1,0,11c31dbf-39d8-4b90-bacd-35680302d2a0,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,
4,2023-08-12,717029,Flyout,field_out,True,596103,571760,Austin Slater,Andrew Heaney,0,0,0,5a1d0c0f-3506-4f0c-8f33-bdc0c7379a68,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,,,,0.259,84.0,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.16899999999999998,-3.87,-0.11,74.4,0.236,0.274
5,2023-08-12,717029,Flyout,field_out,True,642731,571760,Thairo Estrada,Andrew Heaney,1,0,0,285029c5-1c32-4e60-8a4d-1fac7a9af7e2,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,,,,0.259,84.0,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.16899999999999998,-3.87,-0.11,74.4,0.236,0.274
6,2023-08-12,717029,Double,double,False,527038,571760,Wilmer Flores,Andrew Heaney,1,1,0,b1624a5d-5242-43ec-880b-2059db5364b5,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,,,,0.259,84.0,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.16899999999999998,-3.87,-0.11,74.4,0.236,0.274
7,2023-08-12,717029,Single,single,False,672275,571760,Patrick Bailey,Andrew Heaney,0,0,1,90085672-491a-47e1-a7de-7269db7d8179,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,,,,0.259,84.0,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.16899999999999998,-3.87,-0.11,74.4,0.236,0.274
8,2023-08-12,717029,Groundout,field_out,True,605204,571760,J.D. Davis,Andrew Heaney,0,0,0,1415bf0b-89ab-47d0-9e98-0df89e66c7cf,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.34299999999999997,0.39899999999999997,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,,,,0.259,84.0,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.16899999999999998,-3.87,-0.11,74.4,0.236,0.274
9,2023-08-12,717029,Strikeout,strikeout,True,641598,502171,Mitch Garver,Alex Cobb,0,0,0,0d3f6b4d-aa6d-4ea4-9ad5-193cceb687fb,502171.0,alexcobb,Cobb,Right,Alex Cobb,3.87,4.73,151.1,102.0,91.0,100.0,0.8079999999999999,7.79,2.2,9.69,1.13,2.6,0.21600000000000003,0.43,0.142,0.35600000000000004,0.39899999999999997,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,115.0,95.0,103.0,78.0,103.0,103.0,0.397,0.003,0.38799999999999996,0.051,0.162,-3.47,0.2,0.33,-1.31,-1.38,95.8,89.5,94.5,86.2,83.6,0.239,0.28,0.379,0.333,,,,,,,,,,,,,,
