,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,FF_ba,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SL_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,CU_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-18,716954,Single,single,False,593160,664028,Whit Merrifield,Brett Kennedy,0,0,0,b3c31a4f-2c52-4c9a-8e6e-2b8b6eed825d,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-18,716954,Lineout,field_out,True,474832,664028,Brandon Belt,Brett Kennedy,1,0,0,96fbb4fc-fa70-4ba6-bd8a-fb0ef4eeedcf,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-18,716954,Strikeout,strikeout,True,665489,664028,Vladimir Guerrero Jr.,Brett Kennedy,0,0,1,c439b7f4-b63d-4788-ad4d-a0f469df0c16,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-18,716954,Walk,walk,False,624415,664028,Cavan Biggio,Brett Kennedy,1,0,0,778ea378-83c3-4361-9726-f7ae9ad5e664,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-18,716954,Strikeout,strikeout,True,656305,664028,Matt Chapman,Brett Kennedy,0,0,0,a022efda-3c06-4e9d-b708-cd2c18d05a5a,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-18,716954,Flyout,field_out,True,670770,621244,TJ Friedl,José Berríos,1,0,0,aa4a35dc-d9d8-4a3b-ad95-a57a9034371b,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,0.315,0.204,,0.185,0.72,0.61,,-0.38,94.3,93.8,,0.254,0.245,0.255,116.0,104.0,110.0,0.29600000000000004,0.31,82.6,0.216,,,,,,,,,,,,,,,,,
6,2023-08-18,716954,Groundout,field_out,True,680574,621244,Matt McLain,José Berríos,0,0,0,e0aab6cb-2feb-4cb5-98f0-a7e60cc8f9fb,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,0.315,0.204,,0.185,0.72,0.61,,-0.38,94.3,93.8,,0.254,0.245,0.255,116.0,104.0,110.0,0.29600000000000004,0.31,82.6,0.216,,,,,,,,,,,,,,,,,
7,2023-08-18,716954,Strikeout,strikeout,True,682829,621244,Elly De La Cruz,José Berríos,0,0,0,2524a89d-3df2-4b3a-a3f0-48cea3c87b3b,621244.0,joseberrios,Berríos,Right,José Berríos,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,84.1,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,0.315,0.204,,0.185,0.72,0.61,,-0.38,94.3,93.8,,0.254,0.245,0.255,116.0,104.0,110.0,0.29600000000000004,0.31,82.6,0.216,,,,,,,,,,,,,,,,,
8,2023-08-18,716954,Groundout,field_out,True,672386,664028,Alejandro Kirk,Brett Kennedy,1,0,0,7efdf3b6-ef1d-4672-a7fc-b5a464b744c3,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-08-18,716954,Double,double,False,662139,664028,Daulton Varsho,Brett Kennedy,1,0,0,73965604-0df6-4770-9ed5-e7cd87c039f2,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
10,2023-08-18,716954,Lineout,field_out,True,669289,664028,Santiago Espinal,Brett Kennedy,0,0,0,62ab3ba8-6675-4ad0-be77-c2eecab41281,664028.0,brettkennedy,"Kennedy, B",Right,Brett Kennedy,6.5,4.93,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.32799999999999996,0.423,83.6,77.0,100.0,99.0,79.0,95.0,84.0,77.0,86.0,73.0,92.0,81.0,83.0,0.14800000000000002,0.516,0.055,0.281,0.86,-5.98,-1.89,-1.37,92.9,91.9,83.8,0.188,0.308,0.455,,,,,,,,,,,,,,,,,,,,,,,,
