,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,FC_ba,SI_ba,CH_ba,CU_ba,ST_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
46,2023-08-04,717134,Single,single,False,656811,641360,Ryan O'Hearn,Phil Bickford,0,0,1,07e4bb0f-c674-43b5-8695-ff2e9304ddd3,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,87.5,117.0,97.0,88.0,,,,116.0,100.0,101.0,,,,99.0,101.0,101.0,,,,,0.71,,0.26899999999999996,,0.02,1.26,,,-3.45,,0.89,93.7,,,83.9,,0.183,,,0.2,,,0.325,,,,,,,,,,,,,
47,2023-08-04,717134,Single,single,False,602104,641360,Ramón Urías,Phil Bickford,1,0,1,5cc2c324-544c-4f3d-9ef2-ccf629c95320,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,87.5,117.0,97.0,88.0,,,,116.0,100.0,101.0,,,,99.0,101.0,101.0,,,,,0.71,,0.26899999999999996,,0.02,1.26,,,-3.45,,0.89,93.7,,,83.9,,0.183,,,0.2,,,0.325,,,,,,,,,,,,,
48,2023-08-04,717134,Double,double,False,543510,641360,James McCann,Phil Bickford,0,0,1,6f6fdec1-bd69-49fd-8b0b-8f3f70a9ab31,641360.0,philbickford,Bickford,Right,Phil Bickford,4.95,4.8,67.1,100.0,112.0,101.0,0.727,10.16,5.21,7.89,1.07,0.57,0.292,0.384,0.168,0.319,0.38799999999999996,87.5,117.0,97.0,88.0,,,,116.0,100.0,101.0,,,,99.0,101.0,101.0,,,,,0.71,,0.26899999999999996,,0.02,1.26,,,-3.45,,0.89,93.7,,,83.9,,0.183,,,0.2,,,0.325,,,,,,,,,,,,,
49,2023-08-04,717134,Walk,walk,False,663630,657585,Ryan McKenna,Reed Garrett,0,0,1,c03881bd-435e-4eb0-802c-f4f0ed802517,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
50,2023-08-04,717134,Sac Fly,sac_fly,True,668939,657585,Adley Rutschman,Reed Garrett,0,0,1,768f7eb8-16f0-44ad-95db-2ebbbb4b0bab,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
51,2023-08-04,717134,Groundout,field_out,True,663624,657585,Ryan Mountcastle,Reed Garrett,1,1,1,d819b87d-e9c4-453b-9657-66f6882798ef,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
52,2023-08-04,717134,Groundout,field_out,True,643446,657508,Jeff McNeil,Mike Baumann,1,0,0,a666b6ba-5078-45e1-aaf6-cec7f0bb886a,657508.0,mikebaumann,Baumann,Right,Mike Baumann,3.76,5.37,64.2,98.0,114.0,101.0,0.779,8.49,4.59,7.24,0.97,1.04,0.28800000000000003,0.305,0.13,0.316,0.43,88.7,86.0,90.0,88.0,,,,115.0,99.0,98.0,,,,102.0,91.0,92.0,,,,,0.514,,0.209,,0.024,0.35,,,1.44,,-3.93,96.4,,,91.7,,0.225,,,0.4,0.192,,0.24,123.0,103.0,114.0,0.253,0.63,87.4,,,,,,,
53,2023-08-04,717134,Flyout,field_out,True,516782,657508,Starling Marte,Mike Baumann,0,0,0,0fa13218-75ef-4c66-91fc-ca454f1d7a12,657508.0,mikebaumann,Baumann,Right,Mike Baumann,3.76,5.37,64.2,98.0,114.0,101.0,0.779,8.49,4.59,7.24,0.97,1.04,0.28800000000000003,0.305,0.13,0.316,0.43,88.7,86.0,90.0,88.0,,,,115.0,99.0,98.0,,,,102.0,91.0,92.0,,,,,0.514,,0.209,,0.024,0.35,,,1.44,,-3.93,96.4,,,91.7,,0.225,,,0.4,0.192,,0.24,123.0,103.0,114.0,0.253,0.63,87.4,,,,,,,
54,2023-08-04,717134,Groundout,field_out,True,683146,657508,Brett Baty,Mike Baumann,0,0,0,52a9d433-86a6-47dd-b694-51ad1092a6f3,657508.0,mikebaumann,Baumann,Right,Mike Baumann,3.76,5.37,64.2,98.0,114.0,101.0,0.779,8.49,4.59,7.24,0.97,1.04,0.28800000000000003,0.305,0.13,0.316,0.43,88.7,86.0,90.0,88.0,,,,115.0,99.0,98.0,,,,102.0,91.0,92.0,,,,,0.514,,0.209,,0.024,0.35,,,1.44,,-3.93,96.4,,,91.7,,0.225,,,0.4,0.192,,0.24,123.0,103.0,114.0,0.253,0.63,87.4,,,,,,,
55,2023-08-04,717134,Double,double,False,683002,657585,Gunnar Henderson,Reed Garrett,0,0,0,2b337391-1c17-4328-9cb1-b45699bc4515,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
