,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CU_ba,CH_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,SI_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-08-16,716965,Single,single,False,668939,605483,Adley Rutschman,Blake Snell,0,0,0,ecb741a8-4139-4b61-8a91-0a3891f2f942,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-16,716965,Flyout,field_out,True,663624,605483,Ryan Mountcastle,Blake Snell,0,0,1,4c3e1ffc-0f81-442a-a090-e8a2e9c50286,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-16,716965,Sac Fly,sac_fly,True,623993,605483,Anthony Santander,Blake Snell,1,1,1,365c0d73-8a8d-4cb8-aa12-ba73f36bd8b1,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-16,716965,Strikeout,strikeout,True,683002,605483,Gunnar Henderson,Blake Snell,0,0,0,2d057479-2798-4afb-9af2-ef3481f2d826,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-16,716965,Groundout,field_out,True,673490,665152,Ha-Seong Kim,Dean Kremer,0,0,0,13197acb-075a-4853-93bd-aa2449cbaa2b,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.08900000000000001,0.12300000000000001,0.43,-1.43,-2.29,-1.4,94.6,82.8,78.1,0.252,0.347,0.26,,84.0,106.0,99.0,104.0,106.0,102.0,0.145,0.239,0.02,1.81,88.8,91.9,0.222,0.269,0.25,,,,,,,
5,2023-08-16,716965,Single,single,False,665487,665152,Fernando Tatis Jr.,Dean Kremer,1,0,0,2c280a5a-698a-474f-b8fc-da65d0f140ee,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.08900000000000001,0.12300000000000001,0.43,-1.43,-2.29,-1.4,94.6,82.8,78.1,0.252,0.347,0.26,,84.0,106.0,99.0,104.0,106.0,102.0,0.145,0.239,0.02,1.81,88.8,91.9,0.222,0.269,0.25,,,,,,,
6,2023-08-16,716965,Walk,walk,False,665742,665152,Juan Soto,Dean Kremer,1,0,1,ac2aa28a-8d0f-4928-8900-cc227d00982f,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.08900000000000001,0.12300000000000001,0.43,-1.43,-2.29,-1.4,94.6,82.8,78.1,0.252,0.347,0.26,,84.0,106.0,99.0,104.0,106.0,102.0,0.145,0.239,0.02,1.81,88.8,91.9,0.222,0.269,0.25,,,,,,,
7,2023-08-16,716965,Lineout,field_out,True,592518,665152,Manny Machado,Dean Kremer,1,0,0,65117002-39c2-484f-992f-503188e565c6,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.08900000000000001,0.12300000000000001,0.43,-1.43,-2.29,-1.4,94.6,82.8,78.1,0.252,0.347,0.26,,84.0,106.0,99.0,104.0,106.0,102.0,0.145,0.239,0.02,1.81,88.8,91.9,0.222,0.269,0.25,,,,,,,
8,2023-08-16,716965,Pop Out,field_out,True,593428,665152,Xander Bogaerts,Dean Kremer,0,0,0,8e803d8f-8a16-44ca-afae-57cfaffb951d,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.08900000000000001,0.12300000000000001,0.43,-1.43,-2.29,-1.4,94.6,82.8,78.1,0.252,0.347,0.26,,84.0,106.0,99.0,104.0,106.0,102.0,0.145,0.239,0.02,1.81,88.8,91.9,0.222,0.269,0.25,,,,,,,
9,2023-08-16,716965,Flyout,field_out,True,676059,605483,Jordan Westburg,Blake Snell,0,0,0,0f5c9cc6-441f-427a-8ed9-ddc19c13c709,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
10,2023-08-16,716965,Walk,walk,False,669720,605483,Austin Hays,Blake Snell,0,0,0,bec68238-3718-417f-a529-a34f66bb5d6a,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
11,2023-08-16,716965,Grounded Into DP,grounded_into_double_play,True,656775,605483,Cedric Mullins,Blake Snell,0,0,1,cc8aa381-ad7d-48da-a52a-0822aa02a7d5,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,88.4,81.0,0.255,0.079,0.185,0.123,,,,,,,,,,,,,,,,,,,,,,
