,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FS_ba,SL_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vSI,FC_ba,SI_ba,CH_ba,ST_ba
0,2023-06-13,717776,Lineout,field_out,True,641313,664062,Tim Anderson,Tony Gonsolin,1,0,0,78e98f46-e84e-4dea-9235-8fa8bd78c376,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,,
1,2023-06-13,717776,Strikeout,strikeout,True,643217,664062,Andrew Benintendi,Tony Gonsolin,0,0,0,d06cff3d-3faa-4c13-90fd-4835c0bbdc33,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,,
2,2023-06-13,717776,Walk,walk,False,673357,664062,Luis Robert Jr.,Tony Gonsolin,1,0,0,f9051448-24f3-4e8e-bbfc-67bf5eb3ca6a,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,,
3,2023-06-13,717776,Lineout,field_out,True,683734,664062,Andrew Vaughn,Tony Gonsolin,0,0,1,3d5f67fa-7047-4bb3-8a1d-267bf0ceefb3,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,,,,,,,,,
4,2023-06-13,717776,Strikeout,strikeout,True,605141,458681,Mookie Betts,Lance Lynn,0,0,0,c7315165-7481-4082-abca-14534f83d036,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
5,2023-06-13,717776,Walk,walk,False,518692,458681,Freddie Freeman,Lance Lynn,1,0,0,0a767abf-3685-4317-b2ff-ca64a41a318e,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
6,2023-06-13,717776,Home Run,home_run,False,669257,458681,Will Smith,Lance Lynn,0,0,1,f3ba75a6-43fc-45db-a603-02393e58ba71,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
7,2023-06-13,717776,Single,single,False,518792,458681,Jason Heyward,Lance Lynn,1,0,0,47d9d5aa-bcc5-41d6-9923-ebb3fc6664b7,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
8,2023-06-13,717776,Strikeout,strikeout,True,502110,458681,J.D. Martinez,Lance Lynn,0,0,0,1e1c742c-ad10-462a-92fa-7f55c8f44696,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
9,2023-06-13,717776,Home Run,home_run,False,444482,458681,David Peralta,Lance Lynn,0,0,1,07bab1fc-51b9-4b3e-b142-d9a82243a3ba,458681.0,lancelynn,Lynn,Right,Lance Lynn,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.24100000000000002,0.419,0.17,0.32,0.40299999999999997,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,,,,0.43700000000000006,,0.063,0.07400000000000001,-0.4,,-3.65,-2.24,92.4,,83.0,80.8,0.255,,0.286,0.208,84.9,56.0,95.0,90.0,93.0,95.0,87.0,104.0,105.0,99.0,0.126,0.23,0.07,-0.35,1.21,-1.23,88.7,91.4,0.273,0.239,0.302,
