,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,wFA/C,wFC/C,wSL/C,vFA,vFC,vSL,ST_ba,FF_ba,FC_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,KC%,CH%,wSI/C,wCU/C,wKC/C,wCH/C,vSI,vCU,vKC,CU_ba,SI_ba,CH_ba,SL_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ KC,Loc+ KC,Pit+ KC
0,2023-08-11,717039,Hit By Pitch,hit_by_pitch,False,663457,669395,Lars Nootbaar,Dylan Coleman,0,0,0,27e73c85-5fe9-492e-b30a-2c703f14b6e1,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-11,717039,Walk,walk,False,502671,669395,Paul Goldschmidt,Dylan Coleman,1,0,1,0c7fac0b-9662-4f77-a8a2-404b2ab79393,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-11,717039,Grounded Into DP,grounded_into_double_play,True,571448,669395,Nolan Arenado,Dylan Coleman,0,0,1,3bdbabec-e6e1-4e54-a7e7-b54fc34d0e74,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-11,717039,Walk,walk,False,669357,669395,Nolan Gorman,Dylan Coleman,0,0,0,58c8c099-6698-425f-b87c-0c4b041be4e9,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-11,717039,Walk,walk,False,575929,669395,Willson Contreras,Dylan Coleman,1,0,1,99ff2599-faef-4fdc-9e50-91bc1a8540ad,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-11,717039,Flyout,field_out,True,641933,669395,Tyler O'Neill,Dylan Coleman,0,0,0,23096b8a-6ef6-48e4-87bb-83ef0716ea65,669395.0,dylancoleman,Coleman,Right,Dylan Coleman,8.84,5.55,18.1,86.0,103.0,89.0,0.693,10.31,9.33,8.84,1.47,0.95,0.275,0.51,0.196,0.314,0.355,107.0,81.0,79.0,105.0,86.0,95.0,90.0,88.0,90.0,0.376,0.266,0.358,-1.43,0.1,-2.34,95.2,90.1,80.8,0.222,0.294,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-08-11,717039,Single,single,False,672580,425794,Maikel Garcia,Adam Wainwright,0,0,0,de93b584-2f63-48ee-9042-602ef0a39c98,425794.0,adamwainwright,Wainwright,Right,Adam Wainwright,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.18600000000000003,0.439,0.129,0.33899999999999997,0.425,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,-1.48,-0.27,-13.9,85.7,82.9,75.6,,0.326,0.344,81.4,66.0,84.0,80.0,129.0,102.0,110.0,87.0,99.0,89.0,0.314,0.306,0.002,0.05,-3.36,-1.5,6.39,-3.6,86.9,71.5,65.7,0.291,0.394,0.389,,,,,,,,,,,
7,2023-08-11,717039,Single,single,False,677951,425794,Bobby Witt Jr.,Adam Wainwright,0,0,1,18c5123b-1e0e-4e7f-a89e-f6e86b2e0306,425794.0,adamwainwright,Wainwright,Right,Adam Wainwright,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.18600000000000003,0.439,0.129,0.33899999999999997,0.425,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,-1.48,-0.27,-13.9,85.7,82.9,75.6,,0.326,0.344,81.4,66.0,84.0,80.0,129.0,102.0,110.0,87.0,99.0,89.0,0.314,0.306,0.002,0.05,-3.36,-1.5,6.39,-3.6,86.9,71.5,65.7,0.291,0.394,0.389,,,,,,,,,,,
8,2023-08-11,717039,Flyout,field_out,True,686681,425794,Michael Massey,Adam Wainwright,0,0,1,ed79719d-73f1-494a-b9da-b9ea4b6f7808,425794.0,adamwainwright,Wainwright,Right,Adam Wainwright,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.18600000000000003,0.439,0.129,0.33899999999999997,0.425,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,-1.48,-0.27,-13.9,85.7,82.9,75.6,,0.326,0.344,81.4,66.0,84.0,80.0,129.0,102.0,110.0,87.0,99.0,89.0,0.314,0.306,0.002,0.05,-3.36,-1.5,6.39,-3.6,86.9,71.5,65.7,0.291,0.394,0.389,,,,,,,,,,,
9,2023-08-11,717039,Double,double,False,521692,425794,Salvador Perez,Adam Wainwright,0,0,1,0eee72a4-d1b2-4e11-a6cf-459fdcd317aa,425794.0,adamwainwright,Wainwright,Right,Adam Wainwright,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.18600000000000003,0.439,0.129,0.33899999999999997,0.425,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,-1.48,-0.27,-13.9,85.7,82.9,75.6,,0.326,0.344,81.4,66.0,84.0,80.0,129.0,102.0,110.0,87.0,99.0,89.0,0.314,0.306,0.002,0.05,-3.36,-1.5,6.39,-3.6,86.9,71.5,65.7,0.291,0.394,0.389,,,,,,,,,,,
