,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,FC_ba,SI_ba,CH_ba,CU_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,SL_ba
0,2023-05-16,718154,Home Run,home_run,False,666160,665152,Mickey Moniak,Dean Kremer,1,0,0,d988d7c9-da7e-44e9-a4b5-27d4a43e1ba5,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.08900000000000001,0.12300000000000001,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,91.9,82.8,78.1,0.252,0.222,0.269,0.26,0.347,0.25,,,,,,,,
1,2023-05-16,718154,Strikeout,strikeout,True,545361,665152,Mike Trout,Dean Kremer,0,0,0,7915367f-1b23-4b9d-b1c2-d71f4c0df924,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.08900000000000001,0.12300000000000001,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,91.9,82.8,78.1,0.252,0.222,0.269,0.26,0.347,0.25,,,,,,,,
2,2023-05-16,718154,Flyout,field_out,True,660271,665152,Shohei Ohtani,Dean Kremer,0,0,0,1331860c-2a02-4ea4-be64-efad86c3cc85,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.08900000000000001,0.12300000000000001,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,91.9,82.8,78.1,0.252,0.222,0.269,0.26,0.347,0.25,,,,,,,,
3,2023-05-16,718154,Single,single,False,621493,665152,Taylor Ward,Dean Kremer,1,1,0,5220f68b-cd77-4eb8-9e1e-73a6d097655b,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.08900000000000001,0.12300000000000001,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,91.9,82.8,78.1,0.252,0.222,0.269,0.26,0.347,0.25,,,,,,,,
4,2023-05-16,718154,Flyout,field_out,True,642136,665152,Matt Thaiss,Dean Kremer,1,1,0,6d90a5fe-d062-486d-bf54-caf31e1e2ea1,665152.0,deankremer,Kremer,Right,Dean Kremer,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,85.3,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.08900000000000001,0.12300000000000001,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,91.9,82.8,78.1,0.252,0.222,0.269,0.26,0.347,0.25,,,,,,,,
5,2023-05-16,718154,Strikeout,strikeout,True,656775,681217,Cedric Mullins,Chase Silseth,0,0,0,68f86c31-93ef-4bc4-8817-9a065e9eee66,681217.0,chasesilseth,Silseth,Right,Chase Silseth,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.11699999999999999,0.401,0.41100000000000003,,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,0.14800000000000002,0.349,0.084,0.22899999999999998,0.024,,-1.53,3.24,1.39,1.7,-5.15,,95.0,90.3,94.3,82.0,79.4,0.255,0.167,0.344,,0.333,0.171,84.0,108.0,116.0,0.16699999999999998,1.35,87.2,0.137,0.143
6,2023-05-16,718154,Single,single,False,668939,681217,Adley Rutschman,Chase Silseth,0,0,0,2b65767a-94e2-4daa-bc51-c788ad92ac36,681217.0,chasesilseth,Silseth,Right,Chase Silseth,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.11699999999999999,0.401,0.41100000000000003,,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,0.14800000000000002,0.349,0.084,0.22899999999999998,0.024,,-1.53,3.24,1.39,1.7,-5.15,,95.0,90.3,94.3,82.0,79.4,0.255,0.167,0.344,,0.333,0.171,84.0,108.0,116.0,0.16699999999999998,1.35,87.2,0.137,0.143
7,2023-05-16,718154,Strikeout,strikeout,True,623993,681217,Anthony Santander,Chase Silseth,0,0,0,e328c306-eb8e-4bc8-8a62-7914262e6260,681217.0,chasesilseth,Silseth,Right,Chase Silseth,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.11699999999999999,0.401,0.41100000000000003,,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,0.14800000000000002,0.349,0.084,0.22899999999999998,0.024,,-1.53,3.24,1.39,1.7,-5.15,,95.0,90.3,94.3,82.0,79.4,0.255,0.167,0.344,,0.333,0.171,84.0,108.0,116.0,0.16699999999999998,1.35,87.2,0.137,0.143
8,2023-05-16,718154,Single,single,False,669720,681217,Austin Hays,Chase Silseth,0,0,1,01bd33e3-51f8-43e5-ba9f-40245a52b339,681217.0,chasesilseth,Silseth,Right,Chase Silseth,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.11699999999999999,0.401,0.41100000000000003,,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,0.14800000000000002,0.349,0.084,0.22899999999999998,0.024,,-1.53,3.24,1.39,1.7,-5.15,,95.0,90.3,94.3,82.0,79.4,0.255,0.167,0.344,,0.333,0.171,84.0,108.0,116.0,0.16699999999999998,1.35,87.2,0.137,0.143
9,2023-05-16,718154,Walk,walk,False,683002,681217,Gunnar Henderson,Chase Silseth,1,0,1,03904deb-ccf6-4356-8e70-64907b1a5405,681217.0,chasesilseth,Silseth,Right,Chase Silseth,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.11699999999999999,0.401,0.41100000000000003,,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,0.14800000000000002,0.349,0.084,0.22899999999999998,0.024,,-1.53,3.24,1.39,1.7,-5.15,,95.0,90.3,94.3,82.0,79.4,0.255,0.167,0.344,,0.333,0.171,84.0,108.0,116.0,0.16699999999999998,1.35,87.2,0.137,0.143
