,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SI_ba,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,wFC/C,wFS/C,wKC/C,vFC,vFS,vKC,ST_ba,FS_ba,FC_ba,vSC (sc),SC%,wSC/C,SC_ba
0,2023-04-23,718456,Single,single,False,665487,686753,Fernando Tatis Jr.,Drey Jameson,1,0,0,2b741d02-a8c4-4c79-ae13-62f89ea27037,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-04-23,718456,Single,single,False,665742,686753,Juan Soto,Drey Jameson,0,0,1,e4c462cd-1ad5-4680-971e-a0a523d52c7e,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-04-23,718456,Fielders Choice Out,fielders_choice_out,True,592518,686753,Manny Machado,Drey Jameson,0,0,1,d435e8d0-4604-419c-9a2d-cf727c182fe9,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-04-23,718456,Walk,walk,False,593428,686753,Xander Bogaerts,Drey Jameson,0,0,1,bf883d76-a503-49c5-8c9e-d67fd5f0a295,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-04-23,718456,Sac Fly,sac_fly,True,630105,686753,Jake Cronenworth,Drey Jameson,1,0,1,2ee343dc-4de1-44fa-931c-ac73cd78a149,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-04-23,718456,Double,double,False,572761,686753,Matt Carpenter,Drey Jameson,1,0,1,960699af-e894-4c8b-8fe8-873380fd1589,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-04-23,718456,Walk,walk,False,673490,686753,Ha-Seong Kim,Drey Jameson,1,0,0,19f6ce58-9a27-4303-a4bb-23e87cb368c5,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-04-23,718456,Walk,walk,False,663757,686753,Trent Grisham,Drey Jameson,0,0,1,e017f11b-06ae-421b-9ab1-b1aff7feb057,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-04-23,718456,Strikeout,strikeout,True,543592,686753,Austin Nola,Drey Jameson,0,0,0,e4cd7a65-f962-48d6-8d3c-ffd119753054,686753.0,dreyjameson,Jameson,Right,Drey Jameson,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,89.1,95.0,94.0,93.0,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,0.298,0.272,0.261,0.037000000000000005,0.132,-0.7,-0.74,0.4,1.43,2.95,97.0,95.0,85.4,80.8,0.362,0.279,0.158,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-04-23,718456,Groundout,field_out,True,668942,506433,Josh Rojas,Yu Darvish,1,0,0,a8f1c910-710a-4258-af08-f1b636174042,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,0.18600000000000003,0.16699999999999998,0.363,0.051,0.001,-1.74,0.46,-0.68,1.37,-1.35,94.7,94.3,84.0,72.3,0.319,0.253,0.432,,0.13,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.08900000000000001,0.077,0.066,2.4,1.21,3.06,90.9,89.2,79.3,0.256,0.167,0.2,,,,
