,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba
0,2023-05-02,718334,Flyout,field_out,True,592885,663372,Christian Yelich,Ryan Feltner,1,0,0,9a67564c-8057-4773-ad98-daa76894f0c5,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
1,2023-05-02,718334,Single,single,False,608385,663372,Jesse Winker,Ryan Feltner,0,0,0,6c710606-a233-4b7e-aaae-85154ed9b058,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
2,2023-05-02,718334,Strikeout,strikeout,True,642715,663372,Willy Adames,Ryan Feltner,0,0,0,8822996a-e4d4-49f8-a0c7-5c6c56f00ce5,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
3,2023-05-02,718334,Double,double,False,642133,663372,Rowdy Tellez,Ryan Feltner,0,0,1,309da40a-b44e-45db-b8f7-4745e1da3100,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
4,2023-05-02,718334,Groundout,field_out,True,661388,663372,William Contreras,Ryan Feltner,0,0,0,a930b804-2e8b-42ae-bd04-4ffedf174449,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
5,2023-05-02,718334,Flyout,field_out,True,595777,642547,Jurickson Profar,Freddy Peralta,0,0,0,51b5482b-e949-478d-8758-6ba513430138,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.124,0.146,0.89,,0.36,0.2,0.15,94.4,,82.4,76.9,0.213,0.203,,0.224,0.214,,,,,,,,
6,2023-05-02,718334,Walk,walk,False,592178,642547,Kris Bryant,Freddy Peralta,1,0,0,1f04a0ee-6d5b-47d7-b032-42b5b89d78be,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.124,0.146,0.89,,0.36,0.2,0.15,94.4,,82.4,76.9,0.213,0.203,,0.224,0.214,,,,,,,,
7,2023-05-02,718334,Strikeout,strikeout,True,641857,642547,Ryan McMahon,Freddy Peralta,0,0,0,9d5c9ee7-8711-4072-8c9d-00f84e27056d,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.124,0.146,0.89,,0.36,0.2,0.15,94.4,,82.4,76.9,0.213,0.203,,0.224,0.214,,,,,,,,
8,2023-05-02,718334,Groundout,field_out,True,543068,642547,C.J. Cron,Freddy Peralta,1,0,0,ae45710e-5634-4aaa-ba20-e7982cc62b34,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,88.6,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.124,0.146,0.89,,0.36,0.2,0.15,94.4,,82.4,76.9,0.213,0.203,,0.224,0.214,,,,,,,,
9,2023-05-02,718334,Groundout,field_out,True,605119,663372,Brian Anderson,Ryan Feltner,0,0,0,c99f9278-d4dd-4b12-b7d3-5adde928468c,663372.0,ryanfeltner,Feltner,Right,Ryan Feltner,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.24100000000000002,0.331,0.188,0.248,0.44799999999999995,84.1,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,95.0,106.0,105.0,0.17300000000000001,0.278,0.313,0.08900000000000001,0.147,-0.01,-4.88,1.27,-2.31,2.91,94.8,94.3,88.6,79.7,0.25,0.178,0.475,0.08,0.333,,,,,,,,
