,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,ST_ba,FF_ba,CU_ba,FC_ba,CH_ba,SL_ba,KC%,wKC/C,vKC,FS%,wFS/C,vFS,FS_ba
13,2023-04-19,718512,Home Run,home_run,False,677950,663765,Alek Thomas,Jake Woodford,1,0,1,2dc24789-cb83-4178-ba11-040824d29317,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
14,2023-04-19,718512,Groundout,field_out,True,672695,663765,Geraldo Perdomo,Jake Woodford,1,0,0,99edb500-df29-4ea6-8721-1cd4a8c5b0ec,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
15,2023-04-19,718512,Groundout,field_out,True,645444,663765,Jose Herrera,Jake Woodford,0,0,0,35f8881b-0e18-4c5f-8983-ec17ba4d914e,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
16,2023-04-19,718512,Single,single,False,600301,518516,Taylor Motter,Madison Bumgarner,0,0,0,2a5fd7fe-044e-497b-a235-55f0f071c8b4,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
17,2023-04-19,718512,Flyout,field_out,True,668800,518516,Andrew Knizner,Madison Bumgarner,1,0,0,e7b1eafa-4d17-4361-acb0-a963f371f9ff,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
18,2023-04-19,718512,Walk,walk,False,669242,518516,Tommy Edman,Madison Bumgarner,1,0,1,c7c3bef8-8fce-499e-9274-10a8c35b2c26,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
19,2023-04-19,718512,Flyout,field_out,True,666185,518516,Dylan Carlson,Madison Bumgarner,1,0,0,20809cb0-cdf7-4f3a-b6db-25d2b7ce371b,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
20,2023-04-19,718512,Walk,walk,False,502671,518516,Paul Goldschmidt,Madison Bumgarner,1,0,1,897a333f-0a62-4c2c-9f0a-e99cb1f8993d,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
21,2023-04-19,718512,Groundout,field_out,True,571448,518516,Nolan Arenado,Madison Bumgarner,0,0,0,69a0a39d-12e0-4e53-acca-7c25a3beaf7a,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
22,2023-04-19,718512,Strikeout,strikeout,True,668942,663765,Josh Rojas,Jake Woodford,0,0,0,1056ffce-db86-4ea1-8e73-b72bcbd0aed6,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
