,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,CU_ba
0,2023-09-10,716652,Strikeout,strikeout,True,668939,678394,Adley Rutschman,Brayan Bello,0,0,0,8ffad81b-650c-4490-aa9a-85080ca7d285,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,
1,2023-09-10,716652,Groundout,field_out,True,683002,678394,Gunnar Henderson,Brayan Bello,0,0,0,24283084-11b9-4faf-a838-3585d3511159,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,
2,2023-09-10,716652,Pop Out,field_out,True,623993,678394,Anthony Santander,Brayan Bello,1,1,0,fa28382f-d240-4127-a67f-b4ae0f69aa9e,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,
3,2023-09-10,716652,Flyout,field_out,True,678882,680570,Ceddanne Rafaela,Grayson Rodriguez,0,0,0,2f46977d-83ff-4b31-87d3-1f6dd97fe4d8,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052000000000000005,0.14800000000000002,0.22399999999999998,-0.83,-1.59,,1.92,1.7,97.4,90.0,,82.4,,0.201,0.342,,0.333,146.0,97.0,101.0,0.081,-0.49,79.9,0.153,0.176
4,2023-09-10,716652,Strikeout,strikeout,True,646240,680570,Rafael Devers,Grayson Rodriguez,0,0,0,8898d0f3-83b9-4396-8a37-d37ad8863cad,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052000000000000005,0.14800000000000002,0.22399999999999998,-0.83,-1.59,,1.92,1.7,97.4,90.0,,82.4,,0.201,0.342,,0.333,146.0,97.0,101.0,0.081,-0.49,79.9,0.153,0.176
5,2023-09-10,716652,Single,single,False,457759,680570,Justin Turner,Grayson Rodriguez,1,0,0,4b0f0810-9b4c-497e-84f8-a39b9ff1d914,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052000000000000005,0.14800000000000002,0.22399999999999998,-0.83,-1.59,,1.92,1.7,97.4,90.0,,82.4,,0.201,0.342,,0.333,146.0,97.0,101.0,0.081,-0.49,79.9,0.153,0.176
6,2023-09-10,716652,Walk,walk,False,671213,680570,Triston Casas,Grayson Rodriguez,1,0,1,17c3994b-c69a-47e2-b92c-fa66fa6f7f83,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052000000000000005,0.14800000000000002,0.22399999999999998,-0.83,-1.59,,1.92,1.7,97.4,90.0,,82.4,,0.201,0.342,,0.333,146.0,97.0,101.0,0.081,-0.49,79.9,0.153,0.176
7,2023-09-10,716652,Flyout,field_out,True,657077,680570,Alex Verdugo,Grayson Rodriguez,1,0,0,9943c713-a5b5-473a-bc4a-791665be3915,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052000000000000005,0.14800000000000002,0.22399999999999998,-0.83,-1.59,,1.92,1.7,97.4,90.0,,82.4,,0.201,0.342,,0.333,146.0,97.0,101.0,0.081,-0.49,79.9,0.153,0.176
8,2023-09-10,716652,Single,single,False,656811,678394,Ryan O'Hearn,Brayan Bello,0,0,0,1451108d-e763-4aa4-b5e8-0b11c28b742f,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,
9,2023-09-10,716652,Single,single,False,656775,678394,Cedric Mullins,Brayan Bello,1,1,1,e6a15b70-86e1-451c-b205-931b8dd28c95,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,
